Ripuarian	Icelandic	probability
b	b̥	0.952
b	b̥_j	0.049
d	d̥	0.37
d	θ	0.357
d	ð	0.235
d	-	0.033
f	f	0.704
f	v_ʏ	0.14
f	p	0.093
f	v	0.033
f	-	0.033
h	h	0.85
h	ç	0.127
j	ɡ̊	0.486
j	-	0.243
j	ˈuː	0.14
j	ɟ̊	0.096
k	kʰ	0.211
k	d̥_ʏ	0.117
k	ɡ̊_ʏ	0.115
k	k	0.085
k	ð	0.074
l	l	0.469
l	l̥	0.381
l	ɡ̊_l	0.059
l	l_ʏ	0.034
l	l_ɡ̊	0.028
m	m	0.585
m	m_ʏ	0.269
m	-	0.059
m	p	0.052
m	j	0.036
n	n	0.406
n	-	0.253
n	n̥	0.148
n	nː	0.062
n	ˈɑːu̯	0.035
p	v_ʏ	0.644
p	ʰp	0.173
p	p	0.059
s	s	0.39
s	t_ʏ	0.241
s	t	0.206
s	sː	0.05
s	ʰt	0.049
t	ð	0.274
t	t	0.261
t	-	0.201
t	r_ð	0.108
t	ð_ʏ	0.08
v	v	0.795
v	p	0.112
v	-	0.049
x	ʰt	0.485
x	ɣ	0.251
x	j	0.144
x	k	0.096
z	s	1.0
ŋ	ŋ	0.36
ŋ	n	0.332
ŋ	ʏ	0.14
ŋ	nː	0.091
ŋ	ɲ	0.048
ŋ_k	ʰk	1.0
ɐ	r̥	0.348
ɐ	r	0.341
ɐ	ɪ	0.27
ɐ	-	0.034
ɕ	k	0.163
ɕ	ɣ	0.159
ɕ	ɡ̊	0.139
ɕ	-	0.121
ɕ	ʰt	0.091
ə	a	0.675
ə	-	0.125
ə	n̥	0.065
ə	ʏ	0.043
ə	ɑu̯	0.037
ə_l	l	0.468
ɣ	ɟ̊	0.361
ɣ	j	0.361
ɣ	ɡ̊	0.194
ɪ	ŋ	0.574
ɪ	u	0.269
ʀ	r	0.832
ʀ	ˈoːu̯	0.06
ʀ	r_j	0.06
ʀ	-	0.049
ʃ	s	0.854
ʃ	s_c	0.131
ʋ	v	0.605
ʋ	-	0.341
ʋ	ˈu	0.052
ʦ	tʰ	0.557
ʦ	t	0.141
ʦ	r̥_t	0.122
ʦ	d̥	0.093
ʦ	ɣ	0.07
ˈa	ˈaː	0.298
ˈa	ˈa	0.296
ˈa	ˈɑu̯	0.127
ˈa	ˈœ	0.076
ˈa	ˈɪ	0.062
ˈaʊ̯	ˈœːy̯	0.506
ˈaʊ̯	ˈœː	0.253
ˈaʊ̯	ˈiː	0.091
ˈaʊ̯	ˈuː	0.056
ˈaː	ˈaː	0.321
ˈaː	ˈɑu̯	0.18
ˈaː	ˈa	0.157
ˈaː	ˈɛːi̯	0.09
ˈaː	ˈaːi̯	0.09
ˈe	ˈɪ	0.302
ˈe	ˈɪː	0.295
ˈe	ˈɛ	0.272
ˈe	ˈiː	0.094
ˈeɪ̯	ˈiː	0.871
ˈeɪ̯	ˈɛ	0.042
ˈeː	j	0.559
ˈeː	ˈɛːi̯	0.166
ˈeː	ˈaː	0.065
ˈeː	ˈʏː	0.065
ˈeː	ˈɛi̯	0.055
ˈiː	ˈiː	0.411
ˈiː	ˈoːu̯_r̥	0.215
ˈiː	ˈɪ	0.108
ˈiː	ˈɑːu̯	0.108
ˈiː	j_ˈoːu̯	0.076
ˈo	ˈʏ	0.381
ˈo	ˈu	0.381
ˈo	ˈoːu̯	0.219
ˈoː	ˈoːu̯	0.334
ˈoː	ˈɑːu̯	0.135
ˈoː	ˈaːu̯	0.121
ˈoː	ˈɔ	0.106
ˈoː	ˈœːy̯	0.092
ˈu	ˈʏː	0.574
ˈu	ˈʏ	0.269
ˈuː	ˈuː	0.456
ˈuː	ˈœːy̯	0.294
ˈuː	ˈɛːi̯	0.135
ˈuː	ˈɑːu̯	0.047
ˈuː	ˈʏ	0.045
ˈyː	ˈʏ	0.381
ˈyː	ˈɛːi̯	0.219
ˈyː	ˈiː	0.219
ˈyː	ˈʏː	0.135
ˈøː	ˈɑːu̯	0.242
ˈøː	ˈeːi̯	0.242
ˈøː	ˈaːi̯	0.214
ˈøː	ˈiː	0.092
ˈøː	ˈai̯	0.036
ˈœ	ˈɪ	0.432
ˈœ	ˈʏ	0.32
ˈœ	ˈai̯	0.211
ˈɔ	ˈɔ	0.212
ˈɔ	ˈʏ_t	0.107
ˈɔ	ˈou̯	0.096
ˈɔ	ˈɪ	0.096
ˈɔ	ˈœː	0.096
ˈɔʏ̯	ˈiː	1.0
ˈɛ	ˈɛ	0.237
ˈɛ	ˈa	0.224
ˈɛ	ˈɛː	0.153
ˈɛ	ˈɪ	0.108
ˈɛ	ˈou̯	0.081
ˈɛː	ˈɛ	0.245
ˈɛː	ˈœ	0.239
ˈɛː	ˈa	0.208
ˈɛː	j_ˈɛ	0.134
ˈɛː	ˈɛː	0.102
ˈɪ	ˈi	0.312
ˈɪ	ˈiː	0.266
ˈɪ	ˈɪː	0.102
ˈɪ	ˈa	0.067
ˈɪ	ˈɔu̯	0.063
ˈʊ	ˈɔ	1.0
ˈʏ	ˈi	0.422
ˈʏ	ˈou̯	0.242
ˈʏ	ˈiː	0.141
ˈʏ	ˈai̯	0.092
