Mainland North Frisian	Mainland North Frisian	probability
ˈʏ_#>	ˈʊ_#>	1.0
ˈɔu̯	-	1.0
ˈɒː_d	ˈa_s	1.0
ˈœː	ˈɔɪ̯	1.0
ˈœ_lʲ	ˈɔ_ɫ	1.0
ˈuː_l	ˈa_ɫ	1.0
ˈuː	ˈɔɪ̯	1.0
ˈu	-	1.0
ˈa_ʀ	ˈa_ʀ	1.0
ʃ_#>	ʃ_#>	1.0
ɛi̯	-	1.0
ə_v̥_#>	b_#>	1.0
z̥	-	1.0
z_ə	z	1.0
z	s	1.0
x	χ	1.0
w	ˈaɪ̯_ɡ	1.0
t_ə	t_ə	1.0
s_t	s_t	1.0
p_ə	f_n	1.0
nʲ	n	1.0
n_#>	#>	1.0
m	m	1.0
lʲ	ɫ_t	1.0
l	ɫ	1.0
k_ə	χ	1.0
j_ˈa	ˈɛ	1.0
h	h	1.0
f	f	1.0
dʲ	t	1.0
d_ə	ɡ_n	1.0
<#_ˈuː	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
v	v	0.92
ʀ	ʀ	0.903
b	b	0.882
n	n	0.806
ˈɒ	ˈa	0.778
tʲ	s	0.75
p	f	0.75
ˈɛː	ˈɛ	0.714
ˈɒː	-	0.714
ˈyː	ˈɔɪ̯	0.714
d	d	0.714
ʃ	ʃ	0.625
ŋ	ŋ	0.615
ˈaː	ˈʊ	0.6
j	-	0.6
i	ɪ_k	0.6
d̥	t	0.6
k	k	0.565
s	z	0.538
#>	ɡ_#>	0.529
ˈʏ	ˈɔɪ̯	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈai̯	ˈaɪ̯	0.5
ˈai̯	-	0.5
v_ə	f	0.5
v_ə	b_n	0.5
j_ə	ɡ_n	0.5
j_ə	ɡ	0.5
<#	<#_ˈɔɪ̯	0.5
<#	<#_ˈa	0.5
ˈœ	ˈʊ	0.455
t	ʦ	0.455
ˈi	ˈaɪ̯	0.45
ˈɛ	ˈɪ	0.429
ˈa	ˈɪ	0.429
ˈiː	ˈɛɪ̯	0.421
ˈʊ	ˈʊ	0.409
ˈɛi̯	ˈɔ	0.4
ˈi	ˈɪ	0.4
ˈaː	ˈɔ	0.4
j	ɡ	0.4
i	-	0.4
d̥	d	0.4
t	t	0.394
ə	ə	0.386
ʃ	-	0.375
ˈɔː	ˈɔ	0.364
ˈœ	ˈa	0.364
ˈeː	ˈɛ	0.364
ˈeː	ˈɔ	0.364
ə	n	0.364
ˈʏ	-	0.357
k	χ	0.348
ˈiː	ˈɪ	0.316
s	ʃ	0.308
ˈɛi̯	ˈɪ	0.3
ˈɛi̯	ˈɛ	0.3
#>	d_#>	0.294
ˈɛː	ˈɔ	0.286
ˈɛ	ˈɪ_ʀ	0.286
ˈɛ	ˈa	0.286
ˈɒː	ˈa	0.286
ˈyː	-	0.286
d	t	0.286
ˈɔː	-	0.273
ˈeː	ˈa	0.273
tʲ	d	0.25
p	p	0.25
ŋ	-	0.231
ˈɒ	-	0.222
ˈa	ˈaɪ̯	0.214
ˈa	-	0.214
ˈʊ	ˈɪ	0.182
ˈʊ	ˈa	0.182
ˈɔː	ˈɪ	0.182
ˈɔː	ˈa	0.182
ˈœ	ˈɔ	0.182
ə	ə_n	0.182
#>	n_#>	0.176
ˈiː	ˈɛ	0.158
ŋ	ŋ_ɡ	0.154
t	s	0.152
ˈi	ˈɛ	0.15
ˈʏ	ˈʊ	0.143
ˈa	ˈɛ	0.143
ˈʊ	-	0.136
b	-	0.118
ˈiː	ˈɔɪ̯	0.105
ˈʊ	v_ˈɔ	0.091
k	k_ˈɛ	0.087
n	n_d	0.083
v	-	0.08
n	ˈɪ_n	0.056
n	n_t	0.056
s	ʃ_v	0.051
s	z_ˈʊ	0.051
s	s	0.051
