Swedish	Old Norse	probability
a	ɑ	0.721
a	a	0.179
b	b	1.0
d	ð	0.525
d	d	0.445
e	-	1.0
f	f	0.974
h	h	1.0
j	ɟ	0.341
j	j	0.289
j	ç	0.186
j	ɣ	0.094
j	-	0.079
jː	ʝː	1.0
k	k	0.707
k	c	0.253
kʰ	kʰ	0.919
kʰ	cʰ	0.081
kː	k	0.464
kː	kː	0.376
kː	cː	0.16
l	l	0.868
l	lː	0.082
l	l̥	0.05
lː	lː	0.686
lː	l	0.314
m	m	0.894
m	mː	0.083
mː	m	0.545
mː	mː	0.455
n	n	0.785
n	nː	0.133
nː	nː	0.729
nː	n	0.146
nː	ð	0.125
p	p	1.0
pː	p	0.738
pː	pː	0.262
r	r	0.843
r	rː	0.066
rː	rː	0.678
rː	ð	0.322
s	s	0.939
sː	sː	1.0
t	t	0.99
tʰ	θ	0.519
tʰ	tʰ	0.451
tː	t	0.663
tː	tː	0.337
v	v	0.877
v	f	0.052
ŋ	ŋ	0.667
ŋ	ɣ	0.307
ŋː	ŋ	1.0
ɔ	ɑː	1.0
ɕ	cʰ	0.842
ɕ	tʰ	0.087
ɕ	θ	0.072
ɖ	r_ð	1.0
ɛ	i	0.526
ɛ	-	0.414
ɛ	u	0.06
ɡ	ɣ	0.494
ɡ	ɡ	0.448
ɡː	ɡː	0.8
ɡː	ɟː	0.2
ɧ	s	0.539
ɧ	c	0.461
ɪ	i	0.646
ɪ	ɑ	0.354
ɳ	r_n	1.0
ɳː	n	1.0
ɵ	ɑ	0.738
ɵ	u	0.262
ʈː	r_t	1.0
ʊ	u	1.0
ˈa	ˈɑ	0.694
ˈa	ˈɔ	0.15
ˈa	ˈa	0.131
ˈeː	ˈɛi̯	0.538
ˈeː	ˈi	0.172
ˈeː	ˈe	0.156
ˈeː	ˈɑː	0.076
ˈiː	ˈiː	0.818
ˈiː	ˈeː	0.147
ˈoː	ˈɑː	0.581
ˈoː	ˈo	0.103
ˈoː	ˈu	0.096
ˈoː	ˈɑ	0.091
ˈoː	ˈɛi̯	0.065
ˈoː	ˈɛː	0.064
ˈuː	ˈoː	0.607
ˈuː	ˈo	0.264
ˈuː	ˈyː	0.083
ˈyː	ˈyː	0.532
ˈyː	j_ˈoː	0.314
ˈyː	ˈuː	0.113
ˈæ	ˈe	0.5
ˈæ	ˈɑ	0.5
ˈæː	ˈɛː	0.628
ˈæː	j	0.24
ˈæː	ˈeː	0.076
ˈæː	ˈe	0.057
ˈøː	ˈøː	0.392
ˈøː	ˈɑu̯	0.285
ˈøː	ˈɔ	0.069
ˈøː	ˈɛː	0.061
ˈœ	ˈɔ	0.335
ˈœ	ˈɑu̯	0.235
ˈœ	ˈy	0.167
ˈœ	ˈøː	0.091
ˈœ	ˈøy̯	0.08
ˈœː	ˈy	0.595
ˈœː	ˈøy̯	0.405
ˈɑː	ˈɑ	0.625
ˈɑː	ˈe	0.232
ˈɑː	w	0.087
ˈɔ	ˈo	0.52
ˈɔ	ˈu	0.319
ˈɔ	ˈoː	0.065
ˈɔ	ˈy	0.052
ˈɛ	ˈɛ	0.388
ˈɛ	ˈe	0.236
ˈɛ	ˈi	0.183
ˈɛ	ˈɑ	0.069
ˈɛ	ˈɛi̯	0.05
ˈɛː	ˈɔ	0.258
ˈɛː	ˈeː	0.203
ˈɛː	ˈe	0.202
ˈɛː	ˈɛi̯	0.148
ˈɛː	ˈɛ	0.084
ˈɛː	ˈɑ	0.084
ˈɪ	ˈi	0.851
ˈɪ	ˈoː	0.101
ˈɵ	ˈu	0.866
ˈɵ	ˈo	0.103
ˈʉː	ˈuː	0.486
ˈʉː	ˈoː	0.234
ˈʉː	ˈu	0.107
ˈʉː	ˈyː	0.088
ˈʊ	ˈu	0.555
ˈʊ	ˈɔː	0.247
ˈʊ	ˈo	0.198
ˈʏ	ˈy	0.851
ˈʏ	ˈyː	0.149
