Franco-Provençal	Corsican	probability
a	a	1.0
b	b	1.0
d	d	1.0
i	a	1.0
k	k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
z	ʧ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ˈa	ˈa	1.0
ˈĩ	ˈi_n	1.0
ˈɔ	ˈɔ	1.0
e	a	0.121
j	j	0.051
t	tː	0.081
v	p	0.21
w	-	0.121
w	ˈo	0.251
w	ˈɔ	0.381
ð	-	0.191
ə	a	0.571
ʁ	r_e	0.121
ˈɔ̃	ˈɔ_n	0.221
ˈɛ	ˈɛ	0.791
ˈɛː	ˈɛ	0.941
t	s_t	0.102
w	ˈu	0.202
ð	ɟ	0.282
ə	i	0.12
ə	e	0.262
ʃ	-	0.082
ʎ	-	0.752
ˈaː	ˈa_t	0.062
ˈo	ˈo	0.172
l	lː	0.153
l	l	0.463
s	-	0.103
ˈi	ˈi	0.643
ˈo	ˈu	0.113
ˈɑː	ˈa	0.953
j	ˈe	0.384
o	u	0.944
v	v	0.764
ʁ	r	0.664
ˈe	ˈe	0.094
ˈe	ˈɛ	0.164
ˈu	ˈu	0.074
ˈɛ̃	u	0.754
j	-	0.565
s	s	0.595
ʁ	e_r	0.115
ˈe	u	0.175
ˈe	ˈa	0.25
ˈo	ˈɔ	0.715
ˈoː	ˈo	0.095
ˈoː	ˈɔ	0.905
ˈø	u	0.15
ˈø	ˈɔ	0.85
ˈɑ̃	ˈa_ŋ	0.065
o	o	0.056
ʁ	-	0.066
ˈi	ˈe	0.216
ˈu	ˈɔ	0.926
ˈɑ̃	ˈa_n	0.756
l	-	0.067
l	j	0.117
s	ʧ	0.287
ð	r	0.527
ˈi	ˈɛ	0.097
f	f	0.978
l	lː_u	0.178
t	t	0.818
ʃ	k	0.918
ʎ	ʎ	0.248
ˈaː	ˈa	0.938
ˈe	-	0.208
ˈɛ̃	ˈɛ_n	0.078
e	-	0.879
ˈe	ˈi	0.109
ˈɑ̃	ˈa	0.179
ˈɔ̃	n	0.779
ˈɛ	ˈe	0.209
ˈɛː	ˈa	0.059
ˈɛ̃	ɲ_u	0.169
