Romansch	Western Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
p	p	1.0
r	r	1.0
s	s	1.0
u	u	1.0
w	-	1.0
ŋ	-	1.0
ɲ	ɲ	1.0
ʥ	-	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈiː	ˈi	1.0
ˈuː	ˈu	1.0
ˈɔː	ˈɔ	1.0
j	j	0.321
ˈa	ˈe	0.11
ˈɛː	ˈɛ	0.491
l	-	0.092
l	l	0.752
ɡ	ɡ	0.882
ʨ	t	0.052
ˈa	ˈa	0.482
ʨ	k	0.723
ˈu	ˈyː	0.093
ˈɔ	ˈa	0.553
t	t	0.974
ə	e	0.114
ˈa	-	0.244
ˈe	-	0.654
ˈɛ	ˈɛ	0.794
v	ʋ	0.965
ə	-	0.095
ʃ	z	0.145
ʨ	ʧ	0.225
ˈi	ˈĩː	0.265
l	j	0.156
n	-	0.206
n	ɲ	0.236
ʎ	ˈø	0.206
ʎ	-	0.76
ˈa	ˈãː	0.116
ˈe	ˈe	0.346
ˈi	ˈy	0.336
ˈɛ	ˈe	0.206
ʃ	s	0.827
ˈu	ˈu	0.907
n	n	0.558
ə	a	0.778
ɡ	-	0.118
ˈɔ	ˈøː	0.098
j	-	0.679
ˈi	ˈi	0.399
ˈɔ	ˈɔ	0.349
ˈɛː	ˈɛ_l	0.509
