Portuguese	Neapolitan	probability
f	f	1.0
i	i	1.0
p	p	1.0
w̃	n_ə	1.0
ɐ̃	ə	1.0
ɡ	ɡ	1.0
ˈẽ	ˈɛ_n	1.0
ˈĩ	ˈi_n	1.0
ˈõ	ˈu	1.0
β	p	1.0
b	v	0.221
k	k	0.81
n	-	0.081
n	n	0.801
s	ʦː	0.181
ɐ	a	0.121
ɨ	-	0.051
ʃ	ʃː	0.091
ˈo	ˈo	0.191
ˈɐ̃	ˈa	0.571
ˈɛ	ˈɛ	0.571
b	-	0.262
l	lː	0.32
t	tː	0.272
z	-	0.562
ɐ	ˈa	0.052
ɫ	ɾ	0.852
ɲ	n	0.632
ɾ	r	0.102
ʁ	r	0.672
ʎ	-	0.352
ʒ	j	0.322
ˈe	ˈi	0.442
ˈi	i	0.092
ˈi	ˈi	0.852
ˈo	w_ˈɔ	0.242
ˈɐ	ˈi	0.172
ˈɐ̃	ˈa_n	0.362
ˈɔ	ˈu	0.22
ˈa	l_ˈa	0.153
ˈe	ə	0.13
ˈu	ˈo	0.083
ˈɔ	w_ˈɔ	0.193
d	-	0.104
j	ə	0.264
k	kː	0.074
l	l	0.624
m	m	0.784
v	<#_w	0.134
ɨ	e	0.114
ɨ	ə	0.674
ɾ	ɾ	0.864
ˈɛ	ˈe	0.104
k	ŋ_k	0.075
s	ʃː	0.055
u	o	0.085
v	-	0.085
ð	t	0.965
ɣ	-	0.115
ʁ	-	0.305
ʃ	ʃ	0.085
ˈi	ˈe	0.055
ˈɐ	-	0.175
ˈɐ	ˈa	0.545
ˈɛ	j_ˈɛ	0.325
d	nː	0.06
d	d	0.836
j	-	0.626
l	sː	0.056
m	mː	0.216
s	s	0.416
ɨ	i	0.16
ʃ	-	0.36
ˈɐ̃	ˈu	0.066
b	b	0.517
j	kː_j	0.067
s	ʃ	0.307
t	t	0.667
w	ə	0.167
ɣ	k	0.707
ʃ	ʃ_ə	0.157
ʃ	s	0.307
ˈa	ˈa	0.847
ˈu	ˈu	0.917
n	nː	0.118
u	ə	0.878
w	w	0.588
z	ʃ	0.438
ɐ	ə	0.748
ɣ	ɡ	0.178
ɫ	l_ə	0.148
ɲ	ɲː	0.368
ʒ	ʤ	0.678
ˈe	ˈe	0.428
ˈo	ˈu	0.298
ˈɐ	ˈe	0.108
ˈɔ	ˈo	0.128
ˈɔ	ˈɔ	0.458
v	v	0.699
w	u_l	0.199
ʎ	kː_j	0.129
ʎ	ʎː	0.519
ˈo	ˈɔ	0.269
