Saterland Frisian	Saterland Frisian	probability
ˈʊ_ŋ	ɲ	1.0
ˈɛ_l	l	1.0
ˈɔːɪ̯	ˈɛ_ɡː	1.0
ˈœː	ˈʊ_ŋ	1.0
ˈøː	ˈʉː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoː_#>	ˈoː_#>	1.0
ˈiːu̯	ˈeː	1.0
ˈiː_r	ɾ	1.0
ˈiː_d	ˈiː	1.0
ˈeːu̯	ˈeː	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈaːu̯	ʉ	1.0
ˈaːi̯	-	1.0
ˈa_p	ʰpː	1.0
ˈa	-	1.0
ɪ	-	1.0
ɣ_j	j	1.0
ə_r	ɾ	1.0
ə_#>	#>	1.0
ŋ_k	ʰkː	1.0
ŋ_#>	ŋː_#>	1.0
ŋ	ŋː	1.0
z	s	1.0
x_t	ʰtː	1.0
w	ʋ	1.0
t_#>	#>	1.0
s_k	ʂ	1.0
s_#>	s_#>	1.0
r	ɾ	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_d	lː	1.0
k_ˈoː	kʰ_ˈɑ	1.0
k_ə	k	1.0
k_#>	k_#>	1.0
j_ˈoː	ˈyː	1.0
j_ə	ɑ	1.0
i	e	1.0
f_#>	ʋ_#>	1.0
f	f	1.0
d_ə	ɾ	1.0
d_#>	#>	1.0
<#_ˈi	<#_ˈeː	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
m	m	0.92
b	b	0.913
h	h	0.905
r_#>	ɾ_#>	0.9
s	s	0.867
ɣ	ɡ	0.857
l	l	0.84
<#_d	<#_d	0.824
p	p	0.818
<#_l	<#_l	0.818
t	t	0.778
l_#>	l_#>	0.75
n	n	0.744
ˈi	ˈiː	0.727
v	ʋ	0.704
ˈʊ	ˈʉ	0.692
ˈɪ	ˈɪ	0.615
ˈɔ	-	0.571
x_#>	ɡ_#>	0.556
ˈeː	ˈæɪ̯	0.533
ˈɛː	ˈʏ	0.5
ˈɛː	-	0.5
ˈaː	ˈɑ	0.5
ˈaː	-	0.5
ˈoːu̯	ˈuː	0.455
k	k	0.455
ˈɛ	ˈɛ	0.444
ə	ɑ	0.44
ˈɔ	ˈɑ	0.429
#>	ɡ_#>	0.429
d	d	0.412
ˈoː	ˈæʉ̯	0.375
ˈiː	ˈɪ	0.364
k	ç	0.364
ˈuː	ˈʉː	0.348
ˈɛ	ˈɑː	0.333
ˈeː	-	0.333
ə	e	0.333
x	ˈɔ	0.333
x	ɡː	0.333
x	-	0.333
j	-	0.333
#>	ɾ_#>	0.286
#>	ɑ_#>	0.286
ˈɛɪ̯	ˈøː	0.278
ˈɛɪ̯	-	0.278
ˈɔː	ˈɑː	0.278
ˈɔː	ˈɑ	0.278
ˈiː	ˈiː	0.273
ˈi	ˈeː	0.273
j	j	0.267
l_#>	#>	0.25
ˈɪ	-	0.231
ˈɛ	-	0.222
x_#>	ʋ_#>	0.222
x_#>	#>	0.222
v	-	0.222
ˈoː	ˈʉː	0.208
ˈoː	-	0.208
ˈoːu̯	ˈɑ	0.182
ˈiː	ˈoː	0.182
ˈiː	-	0.182
p	pʰ	0.182
k	ɡ	0.182
<#_l	<#	0.182
n	nː	0.179
d	ɾ	0.176
d	-	0.176
<#_d	<#	0.176
ˈuː	ˈʉ	0.174
ˈɛɪ̯	ˈuː	0.167
ˈɛɪ̯	ˈoː	0.167
ˈɔː	ˈɔ	0.167
ˈɔː	-	0.167
l	lː	0.16
ˈʊ	ˈʏ	0.154
ˈʊ	-	0.154
ˈɪ	ˈɛ	0.154
ɣ	-	0.143
t	ʰtː	0.139
ˈoːu̯	ˈoː	0.136
ˈoːu̯	-	0.136
ˈeː	ˈœʏ̯	0.133
j	ˈʏ	0.133
j	ɡ	0.133
j	d	0.133
ˈuː	ˈɔ	0.13
ˈoː	ˈɑ	0.125
d	ˈɑː	0.118
d	tʰ	0.118
ˈɛɪ̯	ˈæː	0.111
ˈɔː	j_ˈœ	0.111
s	ʂ	0.111
r_#>	#>	0.1
h	j	0.095
ə	ə	0.093
ˈoːu̯	ˈʊ	0.091
ˈuː	ˈyː	0.087
ˈuː	ˈuː	0.087
ˈuː	ˈoː	0.087
ˈuː	-	0.087
b	-	0.087
ˈoː	ˈoː	0.083
t	-	0.083
ə	-	0.08
m	mː	0.08
n	-	0.077
v	kʰ_ʋ	0.074
