Zeelandic	Old Frisian	probability
ˈɑu̯	ˈa_l	1.0
ˈɑ_n	ˈoː	1.0
ˈøː	ˈu	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈi̯aː	1.0
ʋ	w	1.0
ɪ	i	1.0
ə_ɫ	ə_l	1.0
ŋ	ŋ	1.0
w	-	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iː	iː	1.0
i	ə	1.0
d_ɾ	d_r	1.0
d_ə	ə	1.0
b	b	1.0
ɫ	l	0.964
t	t	0.96
p	p	0.957
ɾ	r	0.93
z	s	0.902
n	n	0.902
k	k	0.901
ˈyː	ˈuː	0.861
ˈæ	ˈe	0.858
v	f	0.827
d̥	d	0.806
ˈu	ˈu	0.755
s	s	0.731
ə	ə	0.722
ˈɪ	ˈi	0.68
ˈɪə̯	ˈɛː	0.629
ˈʊə̯	ˈaː	0.61
ˈæi̯	ˈɛː	0.6
ˈuː	ˈoː	0.507
d	θ	0.503
ˈɒː	ˈe	0.5
ˈɒː	ˈa	0.5
ə_n	ə_n	0.495
ˈeː	ˈe	0.494
ˈuː	ˈeː	0.493
ˈɑ	ˈa	0.492
ˈiː	ˈi̯aː	0.465
d	d	0.459
ˈi	ˈiː	0.447
ˈɛː	ˈeː	0.416
ˈæi̯	ˈaː	0.4
ˈi	ˈi	0.384
ˈʏ	ˈe	0.373
ˈɪə̯	-	0.371
ˈʏ	ˈu	0.353
ˈɔ	ˈu	0.34
ˈeː	ˈi	0.338
ˈɑ	ˈɔː	0.305
ˈiː	ˈi̯uː	0.287
ˈʏ	ˈo	0.275
ˈɔ	ˈo	0.273
s	s_k	0.269
ˈʊə̯	ˈɔː	0.267
ə_n	n	0.258
x	ɣ	0.255
ə_n	ə	0.247
ˈu	ˈoː	0.245
x	j	0.207
ˈɑ	ˈe	0.203
d̥	θ	0.194
x	x	0.192
ˈɪ	-	0.184
ˈɛː	ˈe	0.18
ˈɛː	ˈɔː	0.174
v	v	0.173
ˈeː	ˈi̯uː	0.169
x	k	0.169
ˈiː	-	0.168
ˈi	-	0.168
ə	-	0.145
ˈæ	ˈi	0.142
ˈɔ	ˈe	0.141
ˈyː	ˈiː	0.139
ˈɪ	ˈe	0.136
ˈɔ	-	0.128
ˈʊə̯	ˈɛː	0.124
ˈɛː	ˈa	0.121
ˈɔ	ˈuː	0.118
ˈɛː	ˈaː	0.109
x	ɡː	0.103
k	ʦ	0.099
z	-	0.098
ˈiː	ˈiː	0.08
x	ʣ	0.074
n	nː	0.072
ɾ	r_ə	0.07
ə	ɡ_ə	0.059
ə	e	0.052
