Danish	Nynorsk Norwegian	probability
ˈʌˀ	-	1.0
ˈɛː	ˈɑː	1.0
ˈɔː	ˈoː	1.0
ˈɔˀ	ˈoː	1.0
ˈɒˀ	ˈoː_ɾ	1.0
ˈœː	ˈøː	1.0
ˈø	ˈʏ	1.0
ˈæˀ	ˈɑː	1.0
ˈæ_ð̞ˠ	ˈɑː	1.0
ˈæ	ˈɑ	1.0
ˈuː	ˈʉː	1.0
ˈoː	ˈuː	1.0
ˈoˀ	ˈuː	1.0
ˈiˀ	ˈiː	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈe_s	ˈɛ_s	1.0
ʨ	tʰ	1.0
ʁ	ɾ	1.0
ə_ð̞ˠ	ʉ	1.0
ɕ	s	1.0
ɐˀ	ɾ	1.0
ŋˀ	ŋː	1.0
wˀ	m	1.0
s_ɡ̊	ʂ	1.0
s_l	s_l	1.0
pʰ	pʰ	1.0
mˀ	m	1.0
m	m	1.0
jˀ	ɡ	1.0
j_ˈɛ	ˈæ	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
l	l	0.946
s	s	0.892
nˀ	nː	0.884
ʦʰ	tʰ	0.846
n	n	0.837
ˈuˀ	ˈʉː	0.816
ˈu	ˈʉ	0.809
ʋ	ʋ	0.766
ɐ	ɾ	0.755
b̥	b	0.719
ˈiː	ˈiː	0.714
ð̞ˠ	t	0.672
ˈyː	ˈyː	0.667
ˈɔ	ˈɔ	0.662
kʰ	kʰ	0.626
ˈɛˀ	ˈeː	0.6
ˈɑˀ	ˈɑ_ɾ	0.6
ˈøː	ˈøː	0.6
ˈeˀ	ˈæɪ̯	0.595
ˈœ	-	0.578
lˀ	lː	0.569
ˈo	ˈuː	0.551
ˈœˀ	-	0.549
ˈɛ	-	0.543
ˈe	ˈɪ	0.539
ə	ɑ	0.521
ˈøˀ	ˈæʉ̯	0.511
ˈyˀ	ˈʉː	0.5
ˈyˀ	ˈyː	0.5
ˈy	ˈʏ	0.5
ˈy	ˈʉ	0.5
w	ʋ	0.496
ˈøˀ	ˈœ	0.489
ŋ	ŋ	0.484
j	j	0.464
ˈɑ	ˈɑ	0.454
ˈœˀ	ˈæʉ̯	0.451
d̥	d	0.444
ˈʌ	-	0.433
lˀ	l	0.431
ˈœ	ˈʏ	0.422
ə	e	0.409
ˈɛˀ	ˈæː	0.4
ˈɑˀ	-	0.4
ˈøː	ˈœʏ̯	0.4
ˈe	ˈɛ	0.389
kʰ	ç	0.374
ˈɛ	ˈɛ	0.342
ˈɔ	-	0.338
ˈyː	-	0.333
ˈiː	-	0.286
ˈɑ	ˈɛ	0.282
w	ɡ	0.273
b̥	p	0.268
ˈɑ	ˈeː	0.263
ŋ	ŋː	0.262
ŋ	ɲ	0.254
d̥	t	0.252
ɡ̊	k	0.231
w	-	0.231
ˈʌ	ˈʊ	0.226
ˈo	ˈʊ	0.224
ˈo	ˈɔ	0.224
ð̞ˠ	-	0.21
j	k	0.208
d̥	ʰtː	0.208
ɡ̊	ɡ	0.202
j	-	0.194
ˈu	ˈʉ_n	0.191
ˈuˀ	-	0.184
ɡ̊	ɡː	0.183
ˈʌ	ˈɑ	0.175
ˈʌ	ˈɔ	0.166
n	nː	0.163
ˈeˀ	ˈeː	0.158
ʦʰ	ç	0.154
ˈeˀ	ˈøː	0.144
ʋ	kʰ_ʋ	0.14
ɡ̊	j	0.138
j	ˈæɪ̯	0.135
ð̞ˠ	ˈeː_t	0.118
nˀ	d_ə	0.116
ˈɛ	ˈæː	0.115
ˈeˀ	ˈoː	0.104
ɐ	e_ɾ	0.101
s	ʂ	0.099
ɡ̊	ʰkː	0.096
ʋ	-	0.093
d̥	-	0.083
ɡ̊	-	0.079
ɐ	ɾ_e	0.074
ˈe	-	0.072
ɡ̊	jː	0.071
ə	-	0.07
ɐ	ɾ_ɑ	0.07
l	j	0.054
