Emilian	Ladin	probability
#>	#>	0.974
<#	<#	1.0
<#_v	<#	1.0
a	a	0.94
a	-	0.059
b	b	0.95
b	m	0.058
d	d	0.681
d	t	0.117
d	-	0.097
d	r	0.081
d_#>	#>	0.514
e	e	0.569
e	-	0.218
e	j	0.095
f	f	1.0
i	e	0.475
i	i	0.428
i	ˈe	0.082
j	j	0.542
j	-	0.255
j	l	0.196
k	k	0.534
k	ʨ	0.404
l	l	0.921
l	w	0.058
l_#>	#>	1.0
m	m	0.971
n	n	0.892
o	-	0.66
o	ˈɛ	0.174
p	p	0.949
p	f	0.051
r	r	0.949
r	-	0.052
r_#>	#>	1.0
r_ˈɛ	ˈe	0.514
s	s	0.643
s	ʃ	0.298
t	t	0.911
u	o	0.648
u	u	0.275
u	-	0.071
v	v	0.629
v	f	0.154
v	-	0.141
w	-	0.626
w	ɡ	0.202
w	ˈo	0.143
z	ʒ	0.281
z	w_ʃ	0.259
z	ʃ	0.22
z	s	0.127
z	ʧ	0.086
ð	ʒ	0.724
ð	ʤ	0.113
ð	ʦ	0.094
ð	ɲ	0.059
ŋ	n	0.723
ŋ	ŋ	0.158
ŋ	-	0.104
ɡ	ɡ	0.507
ɡ	k	0.343
ɡ	-	0.085
ɡ	ʥ	0.057
ɲ	ɲ	0.76
ɲ	-	0.123
ɲ	ʥ	0.087
ʤ	ɡ_l	0.549
ʤ	d	0.214
ʤ	ʥ	0.11
ʧ	d_l	0.614
ʧ	k_l	0.246
ʧ	l	0.115
ˈa	ˈe	0.467
ˈa	ˈa	0.372
ˈa	ˈɛ	0.104
ˈaː	ˈa	0.836
ˈaː	ˈɛ	0.102
ˈaː	ˈo	0.059
ˈe	ˈi	0.71
ˈe	ˈe	0.091
ˈe	ˈa	0.069
ˈe	-	0.054
ˈe	ˈɛ	0.053
ˈe	j	0.051
ˈi	ˈi	0.412
ˈi	j	0.184
ˈiː	ˈi	0.445
ˈiː	j	0.33
ˈiː	j_ˈɛ	0.126
ˈiː	ˈe	0.083
ˈo	ˈu	0.417
ˈo	ˈo	0.191
ˈo	o	0.123
ˈo	ˈɔ	0.123
ˈo	w	0.067
ˈo	ˈe	0.06
ˈuː	ˈu	0.446
ˈuː	w_ˈɛ	0.331
ˈuː	ˈo	0.208
ˈæ	ˈɛ	0.608
ˈæ	ˈe	0.388
ˈɔ	ˈɔ	0.585
ˈɔ	ˈe	0.129
ˈɔ	w	0.098
ˈɔ	ˈo	0.098
ˈɔ	-	0.08
ˈɔː	ˈɔ	0.423
ˈɔː	w_ˈɛ	0.39
ˈɔː	w	0.143
ˈɔː_l	ˈi	1.0
ˈɛ	ˈɛ	0.736
ˈɛ	ˈa	0.146
ˈɛ_r	ˈe	1.0
ˈɛː	ˈɛ	0.752
ˈɛː	ˈa	0.242
ˈʌ	ˈo	0.743
ˈʌ	ˈɔ	0.246
ˈʌu̯	ˈo	0.536
ˈʌu̯	ˈo_w	0.389
ˈʌu̯	o	0.06
θ	ʨ	0.373
θ	ʧ	0.284
θ	ʦ	0.211
θ	d	0.072
θ	t	0.06
