Sixian	Sixian	probability
⁵⁵_#>	#>	1.0
⁵⁵	d_s	1.0
⁵_#>	#>	1.0
ʨ	ʔ_s	1.0
ʦʰ	sʰ	1.0
ɨ	ɯ_s	1.0
ɕ	s	1.0
ŋ̍	-	1.0
ŋ_⁵⁵	ŋ_s	1.0
¹¹_#>	#>	1.0
²⁴_#>	#>	1.0
²_#>	#>	1.0
w_³¹	u_ʔ	1.0
w	-	1.0
u_³¹	aː_ʔ	1.0
p̚	b	1.0
p	p	1.0
o_³¹	uː_ʔ	1.0
o_²⁴	aː_l	1.0
o_j	ɯː	1.0
n_⁵⁵	n_s	1.0
n_¹¹	ŋ	1.0
n_³¹	n_ʔ	1.0
n	n	1.0
m	m	1.0
l	r	1.0
k̚	ɡ	1.0
k_w	kʷ	1.0
k	k	1.0
j_⁵⁵	d_s	1.0
j_e	eː	1.0
a_²⁴	r_aː	1.0
<#_ʦʰ	<#	1.0
<#_ɲ	<#_ŋ	1.0
<#_v	<#	1.0
<#_h	<#	1.0
#>	ʔ_#>	1.0
ŋ	ŋ	0.917
ʨʰ	-	0.667
ʦ	t	0.667
t̚	d	0.615
ɲ	n_i	0.6
³¹	-	0.6
v	m	0.6
j_u	u	0.6
pʰ	b	0.571
h	h	0.571
<#_kʰ	<#_ɡ	0.556
t	t	0.5
t	lʼ	0.5
i	i	0.45
<#_kʰ	<#	0.444
o	aː	0.44
tʰ	lʼ	0.429
pʰ	pʰ	0.429
j	-	0.429
h	kʰ	0.429
ɲ	n	0.4
³¹	a_ʔ	0.4
v	ɡʷ	0.4
j_u	o	0.4
e	e	0.4
t̚	ɡ	0.385
f	p	0.364
f	-	0.364
o	a	0.36
j	l	0.357
ʨʰ	ʦʰ	0.333
ʦ	ʔ_s	0.333
s	h	0.333
e	ɯː	0.333
<#	<#_q	0.333
u	u	0.296
tʰ	l̥ʰ	0.286
tʰ	d	0.286
f	b	0.273
u	ɯ	0.259
a	eː	0.227
s	z	0.222
s	s_r	0.222
s	s	0.222
j	i	0.214
a	r_aː	0.182
i	ɯ	0.15
i	r_ɯ	0.15
i	e	0.15
u	oː	0.148
a	uː	0.136
a	aː	0.136
a	-	0.136
e	iː	0.133
e	-	0.133
<#	<#_ʔ	0.133
<#	<#_ɡ	0.133
<#	<#_ŋ	0.133
<#	<#_r	0.133
<#	<#_n	0.133
u	ɯ_ʔ	0.111
u	-	0.111
i	-	0.1
a	r_eː	0.091
a	o	0.091
ŋ	-	0.083
o	ɯː	0.08
o	oː	0.08
u	i_u	0.074
