Franco-Provençal	Emilian	probability
a	a	0.913
a	-	0.083
b	b	0.977
d	d	0.891
e	-	0.664
e	e	0.237
e	a	0.098
eː	e	0.646
eː	-	0.354
f	f	0.848
f	v	0.084
f	-	0.056
i	a	0.48
i	i	0.184
i	-	0.168
i	ˈɛ	0.168
ĩ	i	0.666
ĩ	ŋ	0.334
j	-	0.578
j	j	0.184
j	ˈe	0.09
j	ˈiː	0.057
k	k	0.792
k	ʧ	0.141
k	ɡ	0.066
l	l	0.842
l	j	0.104
m	m	0.974
n	n	0.755
n	ŋ_n	0.131
n	-	0.081
o	i	0.563
o	u	0.147
o	ˈe	0.139
o	a	0.093
p	p	0.958
s	s	0.575
s	θ	0.308
s	ð	0.058
s	-	0.058
t	t	0.581
t	s_t	0.228
t	t_e	0.087
u	u	0.828
u	ˈo	0.172
v	v	0.854
v	-	0.076
v	p	0.051
w	ˈuː	0.366
w	ˈo	0.217
w	ˈʌu̯	0.217
w	w	0.103
y	u	1.0
z	z	0.933
z	ʤ	0.067
ð	d	0.468
ð	ð	0.369
ð	v	0.163
ɔ	u	0.819
ɔ	ˈʌu̯	0.106
ɔ	a	0.075
ɔ̃	u	0.654
ɔ̃	-	0.346
ə	a	0.549
ə	e	0.274
ə	-	0.147
ɛ	-	1.0
ɛ̃	i	1.0
ɡ	ɡ	0.751
ɡ	w	0.232
ɲ	ɲ	0.896
ɲ	n	0.104
ʁ	r	0.751
ʁ	-	0.109
ʁ	r_e	0.069
ʃ	k	0.654
ʃ	z	0.293
ʎ	j	0.607
ʎ	ʧ	0.189
ʎ	ʤ	0.083
ʎ	l	0.078
ʒ	ð	0.443
ʒ	ɲ	0.283
ʒ	-	0.101
ʒ	b	0.08
ʒ	ʤ	0.072
ˈa	ˈɛ	0.514
ˈa	ˈaː	0.353
ˈa	-	0.054
ˈe	ˈɛ	0.263
ˈe	ˈe	0.26
ˈe	-	0.242
ˈe	e	0.113
ˈe	ˈo	0.079
ˈeː	ˈa	0.506
ˈeː	ˈɛ	0.249
ˈeː	ˈiː	0.221
ˈi	ˈiː	0.442
ˈi	ˈe	0.233
ˈi	-	0.107
ˈi	ˈi	0.1
ˈi	ˈa	0.052
ˈĩ	ˈe	0.574
ˈĩ	ˈa_ŋ	0.235
ˈĩ	a	0.122
ˈĩ	ˈe_ŋ	0.069
ˈo	ˈo	0.266
ˈo	ˈʌu̯	0.255
ˈo	ˈɔ	0.164
ˈo	ˈɔː	0.155
ˈo	ˈaː	0.11
ˈoː	ˈɔː	0.501
ˈoː	ˈɛ_l	0.156
ˈoː	ˈaː	0.109
ˈoː	ˈuː	0.085
ˈoː	ˈɔ	0.057
ˈu	ˈuː	0.321
ˈu	ˈɔ	0.272
ˈu	ˈo	0.136
ˈu	u	0.136
ˈu	ˈʌ	0.085
ˈu	ˈɔː	0.05
ˈy	ˈʌu̯	1.0
ˈø	ˈʌu̯	0.327
ˈø	ˈɔː	0.282
ˈø	j	0.144
ˈø	ˈɛ	0.131
ˈø	ˈuː	0.116
ˈɑ̃	ˈa_ŋ	0.668
ˈɑ̃	ˈaː	0.321
ˈɔ	ˈɛ	0.378
ˈɔ	ˈaː	0.163
ˈɔ	ˈɔː	0.157
ˈɔ	ˈæ	0.121
ˈɔ	-	0.064
ˈɔ̃	ŋ	0.549
ˈɔ̃	ˈʌ	0.228
ˈɔ̃	ˈo	0.223
ˈɛ	ˈɛ	0.442
ˈɛ	ˈɛː	0.219
ˈɛ	-	0.132
ˈɛ	ˈaː	0.077
ˈɛ	ˈe	0.067
ˈɛː	ˈa	1.0
ˈɛ̃	ˈæ	0.449
ˈɛ̃	ŋ	0.213
ˈɛ̃	ˈa_ŋ	0.167
ˈɛ̃	ɲ	0.107
ˈɛ̃	ˈe_ŋ	0.063
