Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈi	1.0
ˈo_w	ˈɔ_ɛ	1.0
ˈi_r	ˈi_ɾ	1.0
ʧʲ	-	1.0
ʦʲ	t_ɔ	1.0
ʃ_ˈa	s_ˈɛ	1.0
ʃ_t	s_k	1.0
ɨ	-	1.0
v	b	1.0
u_#>	u_#>	1.0
t_#>	t_u_#>	1.0
s_#>	z_u_#>	1.0
r_u	ɔ_ɾ	1.0
r_n	r	1.0
r_b	ɾ_b	1.0
r_#>	l_u_#>	1.0
p_t	t	1.0
p_l	p_ɾ	1.0
o	-	1.0
nʲ	ɔ_z	1.0
n_ˈa	n_ˈa	1.0
n_ʧʲ	m_b	1.0
n_#>	n_u_#>	1.0
m_n	n_ʣ	1.0
m_e	m_ɛ	1.0
l_o̯ˈa	ɾ_ˈɔ	1.0
l_#>	ɖː_u_#>	1.0
kʲ	j_u	1.0
k_ə	ɣ_ɛ	1.0
k_#>	ɣ_u_#>	1.0
j_#>	#>	1.0
f_r	f	1.0
f	f	1.0
e̯ˈa_r	ˈɛ_ɾ	1.0
e_r	ɛ_ɾ	1.0
e_d	ˈɛ	1.0
a	a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_k	1.0
<#_ʤ	<#_b	1.0
<#_ʒ	<#_ʣ	1.0
<#_z	<#	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
s	s	0.931
m	m	0.882
ˈa	ˈa	0.854
o̯ˈa	ˈɔ	0.846
b	b	0.846
r	ɾ	0.841
ə	a	0.84
ˈɨ	ˈa	0.8
p	p	0.8
e	ɛ	0.788
k	k	0.757
ʧ	ɣ	0.75
<#	<#_i	0.692
ˈu	ˈu	0.684
n	n	0.659
ˈi	ˈi	0.645
j	j	0.625
ʧ_e	k_i	0.6
ʃ	s	0.6
z	d	0.6
j_ˈe	ˈɛ	0.6
e̯ˈa	ˈi	0.6
t	t	0.586
w	u	0.556
l	ɾ	0.556
ˈo	ˈo	0.524
ʤ	ɡ	0.5
ʤ	-	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
#>	u_#>	0.451
ɡ	ɡ	0.444
w	-	0.444
i	i	0.444
ʦ	-	0.429
t	ð	0.414
ʧ_e	ɛ	0.4
ʃ	-	0.4
z	-	0.4
j_ˈe	ˈe	0.4
e̯ˈa	-	0.4
j	-	0.375
ˈe	ˈi	0.346
ɡ	b	0.333
u	u	0.333
i	e	0.333
d	i	0.333
d	d	0.333
d	-	0.333
ʦ	ʦ	0.286
ʦ	t	0.286
u	ɔ	0.267
ʧ	k	0.25
ˈo	ˈɔ	0.238
ˈo	ˈu	0.238
ɡ	-	0.222
l	ɖː	0.222
l	u	0.222
i	ˈi	0.222
#>	ɛ_#>	0.216
ˈu	ˈɔ	0.211
ˈɨ	-	0.2
ˈe	ˈɛ	0.192
ˈe	ˈe	0.192
n	nː	0.171
ˈe	ɛ	0.154
o̯ˈa	-	0.154
b	-	0.154
<#	<#_b	0.154
<#	<#_a	0.154
k	ɣ	0.135
u	ˈɔ	0.133
u	ɛ	0.133
u	o	0.133
ˈi	ˈɛ	0.129
m	-	0.118
#>	ɔ̆_#>	0.118
#>	a_#>	0.118
ˈe	ɾ	0.115
p	β	0.1
p	-	0.1
ˈa	-	0.098
ˈi	ˈe	0.097
ə	u	0.08
r	l	0.079
n	-	0.073
e	u	0.071
e	a	0.071
s	z	0.069
ˈi	ɛ	0.065
ˈi	-	0.065
#>	u_z_ŭ_#>	0.059
k	k_ɾ	0.054
k	i_ɣ	0.054
ˈu	ˈo	0.053
ˈu	-	0.053
