Portuguese	Portuguese	probability
ˈɨ	-	1.0
ˈɛ	ˈɛ	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈy	1.0
ˈo_ɾ	l_ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈĩ	ˈi	1.0
ˈi_ɲ	ˈi	1.0
ˈi_ɐ	ˈi_ɔ	1.0
ˈa	ˈa	1.0
ʎ_u	ˈɛ_l	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ʁ	ʀ	1.0
ɾ_ˈɐ	ɾ_j	1.0
ɾ_ɨ	ɾ_e	1.0
ɾ_ɐ	ɾ_ɔ	1.0
ɾ_u_#>	#>	1.0
ɾ_t	ʀ_t	1.0
ɾ_n_u_#>	ʀ_#>	1.0
ɾ_k	ʀ_k	1.0
ɾ_#>	#>	1.0
ɫ_s	l_s	1.0
ɨ_#>	#>	1.0
ɨ	e	1.0
ɣ_u	k	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ	u	1.0
ð_ɨ	t	1.0
v_ɨ	w	1.0
v_ɐ	β_ɔ	1.0
v_u	w	1.0
ũ	e_m	1.0
u_#>	#>	1.0
t_ɨ_#>	n_#>	1.0
t_ɐ	t_ɔ	1.0
t_u_#>	n_#>	1.0
s_u	ʦ	1.0
s	s	1.0
õ	u_n	1.0
o	u	1.0
n	n	1.0
m_j	nː	1.0
l	l	1.0
k	k	1.0
j̃	e	1.0
j_ʃ	s	1.0
j_u	ˈɛ_ʧ	1.0
j_t	ʧ	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
ẽ	e_n	1.0
b	b	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
m	m	0.971
p	p	0.929
ˈi	ˈi	0.88
ʒ	ʤ	0.867
ʃ_#>	s_#>	0.846
d	d	0.842
ˈu	ˈy	0.762
ɐ	ɔ	0.72
β	β	0.714
ˈẽ	ˈɛ	0.714
z	z	0.714
s_ɨ	s_e	0.714
ˈɐ̃_w̃_#>	ˈa_#>	0.7
t	t	0.7
ˈɐ̃	ˈa	0.667
ˈõ	ˈu	0.667
ˈe	ˈe	0.667
ʎ	ʎ	0.667
ɫ	l	0.625
ð	ð	0.611
ɲ	ɲ	0.6
w	-	0.6
v	b	0.6
ˈe_ɾ	ɾ_e	0.571
ˈɔ	ˈɔ	0.545
ɾ	ɾ	0.476
ʃ	s	0.45
#>	l_#>	0.444
ˈe_ɾ	e	0.429
ˈɐ	j	0.417
ɲ	n	0.4
w	w	0.4
j	ˈɛ	0.4
ˈo	ˈu	0.378
ɫ	-	0.375
ˈɔ	ˈu	0.364
j	-	0.35
ˈɐ̃	ˈa_n	0.333
ˈɐ	ˈa	0.333
ˈõ	ˈu_n	0.333
ʎ	l	0.333
ɐ̃	u	0.333
ɐ̃	a	0.333
ɐ̃	-	0.333
#>	e_#>	0.333
u	u	0.303
ˈɐ̃_w̃_#>	ˈu_#>	0.3
ʃ	ʦ	0.3
t	ʧ	0.3
ˈo	ˈɔ	0.297
β	-	0.286
ˈẽ	ˈɛ_n	0.286
ɾ	ʀ	0.286
z	-	0.286
s_ɨ	s	0.286
v	β	0.267
ɐ	a	0.256
ˈɐ	ˈe	0.25
j	j	0.25
ˈu	ˈu	0.238
ð	t	0.222
#>	ɔ_#>	0.222
ˈo	ɥ	0.189
u	e	0.182
ð	-	0.167
d	-	0.158
ʃ_#>	#>	0.154
ʃ	p_l	0.15
ʒ	-	0.133
v	w	0.133
u	w	0.121
u	i	0.121
ˈi	-	0.12
ʃ	k_l	0.1
ˈɔ	ˈa	0.091
u	l	0.091
ˈe	ˈɛ	0.083
ˈe	ˈe_j	0.083
ˈe	j_ˈe	0.083
ˈe	e	0.083
ˈo	ˈu_n	0.081
ɾ	ˈi	0.071
ɾ	-	0.071
p	s	0.071
u	ʤ_e	0.061
u	k	0.061
u	-	0.061
ˈo	ɥ_ˈɛ	0.054
