Friulian	Friulian	probability
ˈɛ_s	ˈɔ_sː	1.0
ˈɔː	w	1.0
ˈɔ_l	ˈu_kː	1.0
ˈi_n	n	1.0
ˈeː_#>	ˈɛ_#>	1.0
ˈeː	ˈe	1.0
ˈe_r	ˈi_ɾ	1.0
ˈaː_f	ˈa_p	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa_tː	1.0
ʤ	ʤ	1.0
ɟ	ɡ	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
t_ˈaː	t_ˈa	1.0
p_l	k_j	1.0
p	p	1.0
l_#>	lː_ə_#>	1.0
k_l	k_j	1.0
j_ˈɛ	ˈɛ	1.0
i_s	a_s	1.0
f_l	ʃ	1.0
f_#>	v_ə_#>	1.0
d_ˈu	t_ˈu	1.0
c_e	kː_ə	1.0
c	k	1.0
a_r	ə_ɾ	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
#>	ə_#>	0.975
f	f	0.944
k	k	0.92
v	v	0.88
w	w	0.857
e	ə	0.857
ˈa	ˈa	0.853
ˈu	ˈu	0.846
m	m	0.815
n	n	0.806
ˈɔ	ˈɔ	0.75
l	l	0.727
ˈi	ˈi	0.714
z	-	0.714
u	u	0.667
r	ɾ	0.654
ʧ	ʃ	0.65
ˈɛ	ˈɛ	0.647
ŋ	n	0.63
o	u	0.625
j	j	0.619
t	t	0.548
ɡ	ɡ	0.545
ˈo	ˈu	0.542
ɲ	ɲː	0.538
i	ə	0.531
s	s	0.514
ˈe	ˈe	0.5
s_#>	ə_#>	0.5
s_#>	#>	0.5
<#_ʤ	<#_j	0.5
<#_ʤ	<#	0.5
<#_v	<#_w	0.5
<#_v	<#	0.5
<#	<#_l	0.5
<#	<#_a	0.5
ˈuː	ˈu	0.462
ˈoː	ˈu	0.444
b	b	0.438
d	d	0.407
ˈiː	ˈɛ	0.4
ˈiː	ˈi	0.4
ˈe	ˈi	0.389
ˈuː	w_ˈɔ	0.385
ɲ	n	0.385
o	-	0.375
d	t	0.37
ˈoː	ˈu_j	0.333
u	-	0.333
s	ʃ	0.324
b	v	0.312
z	s	0.286
i	i	0.281
ɡ	k	0.273
ŋ	ŋ	0.259
ˈɔ	ˈo	0.25
ˈo	ˈo	0.25
t	tː	0.238
j	-	0.238
ˈɛ	j_ˈɛ	0.235
ˈoː	ˈo	0.222
d	ɾ	0.222
r	r	0.212
ˈo	ˈɔ	0.208
ˈiː	ˈi_ɾ	0.2
ʧ	-	0.2
n	nː	0.194
m	mː	0.185
ɡ	-	0.182
ˈuː	ˈɔ	0.154
ˈu	-	0.154
ʧ	ʦː	0.15
w	-	0.143
t	-	0.143
j	ʎː	0.143
s	ʃː	0.135
i	j_ə	0.125
b	bː	0.125
b	-	0.125
v	p	0.12
ˈɛ	ˈe	0.118
ˈe	-	0.111
ŋ	ə	0.111
l	w	0.091
l	kː	0.091
l	-	0.091
ˈa	ˈɔ	0.088
k	ɡ	0.08
e	-	0.079
ɲ	ɲ	0.077
r	-	0.077
ˈi	ˈɛ	0.071
ˈi	ˈɔ	0.071
ˈi	ˈi_ʎː	0.071
ˈi	j_ˈɛ	0.071
i	-	0.062
ˈa	ˈa_t	0.059
r	ɾ_n	0.058
f	fː	0.056
