Faroese	East Franconian	probability
ˈʏ	-	1.0
ˈʊ̯iː_ɹ	ˈiː_ɐ	1.0
ˈʊ̯iː	ˈaɪ̯	1.0
ˈʊ_ʤ̊ː	ˈaɪ̯	1.0
ˈɪ_ɡ̊	ˈaʊ̯	1.0
ˈɛ_ɡ̊	ˈuː	1.0
ˈɔ̯aː_ɹ	ˈoː_ɐ	1.0
ˈɔːu̯_w	ˈuː_d̥	1.0
ˈɔːi̯	-	1.0
ˈøː_ɹ	ɐ_d̥	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈeː	ˈɛ	1.0
ˈaːi̯	ˈaː	1.0
ˈai̯	ˈaː	1.0
ʰʧ	ɡ̊	1.0
ʰt͡n̥	z̥_ɐ	1.0
ʰt_ʊ	ç_d̥	1.0
ʰp	f	1.0
ʰk	ŋ	1.0
ʧ	-	1.0
ʤ̊ː	-	1.0
ʤ̊	-	1.0
ʊ_ɹ	d̥	1.0
ʊ	ɐ	1.0
ʈ	ʦ	1.0
ɹ_ʊ	ɐ	1.0
ɲ	ŋ	1.0
ɪ_ɹ	ɐ	1.0
ɪ	-	1.0
ɡ̊ː	ɡ̊_n	1.0
ɡ̊_ʊ	ç	1.0
ɡ̊_ɹ	ɡ̊_r	1.0
ɡ̊_a	a	1.0
ŋ	ŋ	1.0
w	ɾ	1.0
v̥	-	1.0
v_ʊ	b̥	1.0
v_a	m	1.0
t͡n̥	ɐ_n	1.0
t͡l̥	l	1.0
tʰ_ɹ	d̥_r	1.0
t_ʊ	s	1.0
t_a	z̥_n	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r	-	1.0
pʰ	b̥͡v̥	1.0
n̥	-	1.0
nː	n	1.0
mː	-	1.0
m_j	m	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ˈa	ˈa	1.0
k_ʊ	ç	1.0
j_ʊ	d̥	1.0
j_a	d̥_n	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b̥	b̥	1.0
a_ŋ	ɪ	1.0
a_n	eː	1.0
n	n	0.884
ʃ	ʃ	0.855
ˈɪ	ˈɪ	0.774
ˈɔ̯aː	ˈoː	0.75
j	-	0.731
ˈiː	ˈɪ	0.715
ˈœ	-	0.707
ˈʉːu̯	ˈaʊ̯	0.679
s	s	0.656
ˈɛːi̯	ˈaː	0.626
p	f	0.626
ˈa	ˈɒ	0.62
v	v	0.618
ˈʊ	ˈʊ	0.6
ɹ	ɐ	0.595
tʰ	ʦ	0.576
ˈɔ	ˈɒ	0.567
ˈɛ	-	0.56
ˈøː	-	0.559
ˈɔːu̯	ˈuː	0.532
a	n	0.504
k	x	0.503
k	-	0.497
ˈɔːu̯	ˈiː	0.468
ˈøː	ˈiː	0.441
ˈɛ	ˈɛ	0.44
t	ʦ	0.428
tʰ	d̥	0.424
ʰt	x_d̥	0.411
a	a	0.406
t	d̥	0.393
ɡ̊	ŋ	0.381
ˈɛːi̯	ˈuː	0.374
p	v̥	0.374
ɡ̊	-	0.339
ˈʉːu̯	ˈiː	0.321
ʰt	z̥	0.317
s	ʃ	0.293
ɹ	r	0.292
ˈɛːa̯	ˈoː	0.29
ˈiː	-	0.285
ˈa	-	0.28
ʰt	ʦ	0.271
j	ˈɛ	0.269
ˈɔ	ˈʊ	0.254
ˈɔ̯aː	-	0.25
ˈɛːa̯	ˈɒ	0.24
ˈɛːa̯	ˈiː	0.235
ˈʊ	-	0.215
ˈɛːa̯	-	0.193
ˈʊ	ˈɔ	0.185
ˈɔ	ˈɔ	0.179
ɡ̊	ˈuː	0.179
t	s	0.179
ˈœ	ˈɪ	0.175
v	β	0.164
v	-	0.146
ʃ	s	0.145
ˈœ	ˈɔ	0.119
n	n_d̥	0.116
ˈɪ	ˈiː	0.113
ˈɪ	-	0.113
ɹ	-	0.103
ɡ̊	ɣ	0.101
ˈa	ˈaɪ̯	0.1
a	ŋ	0.09
v	f	0.071
s	z̥	0.051
