Gothic	Gothic	probability
θ_s	t	1.0
β_a	b	1.0
β	b	1.0
ˈɛː_w	ˈeː	1.0
ˈɛː	ˈaɪ̯	1.0
ˈuː	ˈaʊ̯	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈaɪ̯	1.0
ˈi_l	ˈɛ_l	1.0
ˈa_n	ˈa_n	1.0
ʍ	v	1.0
ɣ_a	ɡ	1.0
ɡʷ	-	1.0
ɡ_s	ɡ̊	1.0
ɡ_oː	ə	1.0
ɡ	ɡ	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	t	1.0
z	-	1.0
x_s	ɡ̊	1.0
w	v	1.0
u	-	1.0
t_s	s	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
p_a	f	1.0
p	f	1.0
oː_#>	#>	1.0
nː	n	1.0
m	m	1.0
lː	l	1.0
l_s	l	1.0
l	l	1.0
k_s_#>	ʃ_#>	1.0
iː	-	1.0
i	-	1.0
f_s	b̥	1.0
f	f	1.0
e	-	1.0
d_u	d̥	1.0
d_s	d̥	1.0
aː	-	1.0
a_r	ɐ	1.0
a_n	n	1.0
a_#>	#>	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_z	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
#>	ɐ_#>	1.0
n	n	0.962
b	b	0.857
a	ə	0.846
j	-	0.75
d	tʰ	0.75
ˈɛ	ˈɛ	0.667
k	ç	0.667
r	ɐ	0.655
ˈi	ˈɪ	0.654
h	h	0.577
ˈiu̯	ˈiː	0.545
ˈa	ˈa	0.52
θ	d	0.474
t	t	0.45
ˈu	ˈʊ	0.438
ˈɔ	ˈɔ	0.429
ˈeː	ˈaː	0.429
ˈɔː	ˈoː	0.417
s	ʃ	0.389
s	-	0.389
oː	ə	0.375
t	s	0.35
r	ʁ	0.345
ˈɛ	-	0.333
ˈɔː	-	0.333
k	-	0.333
ˈu	ˈɔ	0.312
ˈɔ	ˈʊ	0.286
ˈɔ	ˈoː	0.286
ˈeː	ˈoː	0.286
ˈeː	-	0.286
ˈiu̯	ˈɔʏ̯	0.273
ˈɔː	ˈaʊ̯	0.25
oː	ɐ	0.25
oː	-	0.25
j	j	0.25
d	t	0.25
ˈa	ˈaː	0.24
h	-	0.231
θ	t	0.211
θ	d̥	0.211
t	ʦ	0.2
h	x	0.192
ˈiu̯	-	0.182
ˈi	ˈiː	0.154
a	ɐ	0.154
b	b̥	0.143
ˈu	ˈoː	0.125
ˈu	-	0.125
oː	a	0.125
ˈa	ˈɛ	0.12
ˈa	-	0.12
ˈi	ˈeː	0.115
s	z̥	0.111
s	n	0.111
θ	-	0.105
ˈi	ˈɔ	0.077
