Danish	Middle High German	probability
ˈɛː	ˈɑ	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈɑː	1.0
ˈɔ	ˈuː	1.0
ˈɒː	ɑː	1.0
ˈɒˀ	ˈɑː	1.0
ˈɑː	ˈɑ_s	1.0
ˈɑ_d̥	ɛ	1.0
ˈœː	ˈe	1.0
ˈø_m	mː	1.0
ˈæˀ	ˈɑ	1.0
ˈæ	ˈɑ	1.0
ˈyː	ˈiə̯	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈoˀ	ˈuə̯	1.0
ˈi	ˈi	1.0
ˈeː	ˈɑ	1.0
ʨ	d	1.0
ʁ	r	1.0
ɕ	s	1.0
ɐˀ	r	1.0
ŋˀ	ŋ_ɡ̊	1.0
ŋ	ŋ_ɡ	1.0
wˀ	m	1.0
s_ə	s_ə	1.0
pʰ	-	1.0
mˀ	m_b̥	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	ɡ_ə	1.0
i	i	1.0
h	h	1.0
f	v	1.0
b̥_ə	f_ə	1.0
ə	ə	0.834
ʋ	w	0.82
b̥	b	0.798
n	n	0.783
ˈuˀ	ˈuː	0.724
s	s	0.696
d̥	t	0.689
ˈu	ˈu	0.685
s_ɡ̊	ʃ	0.674
ʦʰ	d	0.662
ˈœˀ	-	0.648
ˈiˀ	ˈiː	0.638
ˈeˀ	ˈei̯	0.634
ˈuː	-	0.631
ˈɑˀ	ˈɑ_r	0.625
ˈe	ˈi	0.622
nˀ	n_d̥	0.611
ˈɑ	ˈɑ	0.596
ɡ̊	kː	0.58
ˈʌ	-	0.579
lˀ	l	0.573
ˈø	-	0.572
ˈyˀ	ˈiə̯	0.571
ˈiː	-	0.571
ˈɔˀ	ˈɑː	0.559
ˈøː	ə	0.5
ˈøː	-	0.5
ˈɛ	ˈɛ	0.497
ɐ	r	0.465
ˈɔˀ	ˈɑ	0.441
w	b_ə	0.439
ˈyˀ	ˈyː	0.429
ˈiː	ˈiː	0.429
ˈø	ˈy	0.428
ˈʌ	ˈɑ	0.421
ˈo	ˈo	0.402
ˈøˀ	ˈoː	0.4
ˈøˀ	-	0.4
ˈo	-	0.397
ð̞ˠ	s̻	0.397
ˈɑˀ	-	0.375
ð̞ˠ	t	0.375
ˈuː	ˈuː	0.369
ˈœ	ˈu	0.358
ˈœ	-	0.358
ʦʰ	ʦ	0.338
s_ɡ̊	ʃː	0.326
ˈu	ˈo	0.315
s	ʃ	0.304
ˈɛ	-	0.302
ˈœ	ˈy	0.285
lˀ	l_b̥	0.282
ˈuˀ	-	0.276
ɐ	ə_r	0.259
ɡ̊	x	0.246
ˈœˀ	ˈoː	0.234
ˈɑ	-	0.221
j	x	0.219
ˈiˀ	ˈi	0.217
j	-	0.208
j	ˈɛ	0.207
ˈo	ˈu	0.201
ˈøˀ	ou̯	0.2
j	h	0.199
nˀ	nː	0.195
nˀ	n	0.195
ˈɑ	ˈɛ	0.183
ɡ̊	k	0.174
d̥	x_t	0.168
w	ɡ	0.159
ˈe	ˈe	0.151
ð̞ˠ	s̻ː	0.15
w	b̥	0.149
ˈeˀ	-	0.148
ˈiˀ	n	0.145
lˀ	lː	0.145
d̥	ʦ	0.143
ə	n	0.138
w	ə	0.127
w	ɡ̊	0.125
ˈœˀ	rː	0.117
ˈe	ˈɑ	0.117
b̥	f	0.114
ɐ	ə	0.113
ˈeˀ	ˈɛ	0.109
ˈeˀ	ˈeː	0.109
ˈe	ˈɛ	0.109
n	n_d	0.102
ˈɛ	ˈei̯	0.101
ˈɛ	x	0.101
j	ɡ̊	0.101
ʋ	w_ˈi	0.1
ɐ	r_ə	0.091
n	nː	0.086
ʋ	-	0.08
ð̞ˠ	d̥	0.078
ɐ	ˈiə̯_r	0.071
j	ˈi	0.065
