Latin	Latin	probability
ˈɪ_ɡ	ˈe	1.0
ˈɛ_n	ˈi_n	1.0
ˈyː	ˈi	1.0
ˈu	-	1.0
ˈoe̯	ˈe	1.0
ˈĩː	ˈi	1.0
ˈiː_w	ˈi	1.0
ˈiː_lʲ	ˈi	1.0
ˈi	ˈi	1.0
ˈeː_ɡ	ˈe	1.0
ˈe	ˈi_w	1.0
ˈae̯	ˈiː	1.0
ʊ̃ː_#>	#>	1.0
ʊ_ɫ	l	1.0
ʊ_s_#>	#>	1.0
ɫ_ˈa	l_ˈa	1.0
ɫ_s	l_s	1.0
ɪ̃	-	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	-	1.0
ɛ_n	e_n	1.0
ɛ_k	i_s	1.0
ɛ_#>	#>	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
w_ɛ̃ː	f	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	d	1.0
t_ˈoː	d_ˈu	1.0
t_ɛ̃ː	t	1.0
t_e	ʧ	1.0
t_ãː	d_e	1.0
sː	s	1.0
s_ˈaː	s_ˈa	1.0
s_ɛ	s_e	1.0
s_t	s_t	1.0
s_i	z	1.0
s_#>	#>	1.0
rː	ˈɛ_r	1.0
r_ɛ_#>	#>	1.0
r_n	r	1.0
r_ãː	r_e	1.0
oː_s	s	1.0
oː_#>	#>	1.0
oː	o	1.0
nː	-	1.0
n_ʊ̃ː	ŋ	1.0
n_ɛ̃ː	ŋ	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	m	1.0
lʲː_ʊ̃ː	ˈɛ_l	1.0
lʲ_i	j	1.0
lʲ	l	1.0
kː	c	1.0
k_ˈa	c_ˈa	1.0
k_ʊ	ˈɔ	1.0
k_ɛ̃ː_#>	#>	1.0
k_ɛ̃ː	s	1.0
k_ɛ	i	1.0
k_t	t	1.0
k_r	k_r	1.0
ĩː	i_n	1.0
iː	i	1.0
h	-	1.0
f	f	1.0
d_ʊ̃ː	t	1.0
d_ɛ̃ː	t	1.0
b_ˈɔ	b_ˈo	1.0
ãː	e	1.0
au̯	-	1.0
a_ɫ	a_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
r	r	0.941
m	m	0.925
ɫ	l	0.875
s	s	0.867
p	p	0.795
w	v	0.759
t	t	0.75
lʲː	l	0.75
ˈʊ	ˈo	0.737
b	b	0.72
ʊ	u	0.714
n	n	0.703
ˈaː	ˈaː	0.677
ˈa	ˈa	0.676
ˈau̯	ˈa_w	0.667
ʊ̃ː	i	0.643
ˈiː	ˈi	0.63
ɛ	i	0.6
t_i	ʧ	0.6
i	-	0.6
eː	i	0.6
d	d	0.6
a	a	0.583
ˈɪ	ˈe	0.579
ˈuː	ˈu	0.579
kʷ	k_w	0.571
aː	-	0.571
ɛ_r	a_r	0.556
<#_k	<#_k	0.542
ˈoː	ˈoː	0.538
ˈeː	ˈe	0.5
ˈaː_t	ˈa_d	0.5
ˈaː_t	ˈa	0.5
ˈa_p	ˈaː_f	0.5
ˈa_p	ˈa_v	0.5
ɛ̃ː	l	0.5
ɛ̃ː	i	0.5
ɔ	o	0.5
j	ʤ	0.5
j	j	0.5
<#	<#_v	0.5
<#	<#_j	0.5
ˈoː	ˈo	0.462
<#_k	<#_c	0.458
ɛ_r	r	0.444
kʷ	ʧ	0.429
aː	a	0.429
ɪ	i	0.417
ɪ	-	0.417
t_i	z	0.4
i	j	0.4
eː	e	0.4
d	-	0.4
ˈɛ	j	0.382
ɡ	ʤ	0.364
k	ʧ	0.348
ˈau̯	ˈɔː	0.333
ˈaː	ˈa	0.323
ɡ	ɡ	0.318
ˈuː	ˈuː	0.316
ˈiː	ˈiː	0.296
ˈɛ	ˈɛ	0.294
ʊ	ˈɛ	0.286
ɛ	-	0.267
ˈa	ˈaː	0.265
ɔ	w	0.25
ɔ	u	0.25
lʲː	ˈɛ_l	0.25
a	e	0.25
ɡ	-	0.227
ʊ̃ː	ŋ	0.214
ˈɔ	w	0.212
ˈɪ	ˈeː	0.211
ˈɪ	-	0.211
ˈɛ	j_ˈɛ	0.206
w	-	0.172
ˈeː	ˈo	0.167
ˈeː	ˈeː	0.167
ˈeː	-	0.167
ɪ	e	0.167
b	v	0.16
p	-	0.159
ˈʊ	ˈu	0.158
t	d	0.156
ˈɔ	ˈuː	0.152
ˈɔ	w_ˈa	0.152
k	ɡ	0.152
k	k	0.152
ʊ̃ː	k	0.143
ɛ	e	0.133
s	z	0.133
k	-	0.13
ˈɔ	ˈɔ	0.121
ˈɔ	w_ˈɛ	0.121
b	-	0.12
ˈɛ	ˈiː	0.118
n	ɲ	0.108
ˈʊ	ˈoː	0.105
ˈuː	ˈo	0.105
t	-	0.094
ˈɔ	ˈo	0.091
ˈɔ	v	0.091
ɡ	ɟ	0.091
a	u	0.083
a	-	0.083
n	ˈi_n	0.081
ɫ	j	0.075
m	-	0.075
ˈiː	-	0.074
w	z_v	0.069
k	s	0.065
k	c	0.065
ˈɔ	-	0.061
ˈa	a	0.059
r	i	0.059
n	ŋ	0.054
n	-	0.054
