North Frisian	Scots	probability
b	b	0.939
d	d	0.735
d	ð	0.138
dʲ	d	1.0
f	f	0.948
f	ʍ	0.052
h	h	1.0
i	əi̯	0.409
i	-	0.35
i	ɪ	0.127
i	i	0.114
j	-	0.796
j	j	0.107
j	e	0.061
k	k	0.516
k	kʰ	0.265
k	-	0.138
k	ʧ	0.057
l	l	0.854
l	ɫ	0.074
l	-	0.071
lʲ	l	0.479
lʲ	r	0.234
lʲ	d	0.143
lʲ	ɫ	0.143
m	m	0.988
n	n	0.905
n	-	0.095
nʲ	n	0.888
nʲ	-	0.112
p	p	0.917
p	pʰ	0.083
r	r	0.969
s	s	0.813
s	θ	0.088
t	t	0.675
t	tʰ	0.181
t	θ	0.112
tʲ	t	0.93
tʲ	θ	0.07
v	w	0.611
v	v	0.259
v	ʍ	0.078
w	-	0.639
w	ˈəi̯	0.361
x	x	1.0
z	t	0.494
z	z	0.393
z	r	0.075
ŋ	ŋ	0.848
ŋ	n	0.152
ə	ə	0.649
ə	-	0.283
ɡ	ɡ	0.881
ɡ	j	0.119
ʃ	ʃ	0.626
ʃ	s	0.239
ʃ	ʧ	0.069
ʃ	k	0.066
ˈa	ˈɪ	0.506
ˈa	ˈɛ	0.269
ˈa	-	0.194
ˈai̯	ˈɪ	0.642
ˈai̯	j	0.239
ˈai̯	ˈe	0.12
ˈaː	ˈɔ	0.579
ˈaː	ˈe	0.269
ˈaː	ˈɪ	0.152
ˈeː	ˈɛ	0.382
ˈeː	ˈi	0.109
ˈeː	ˈɪ	0.104
ˈeː	ˈeː	0.09
ˈeː	ˈiː	0.086
ˈeː	ˈe	0.078
ˈeː	ˈei̯	0.056
ˈeː	ˈɑ	0.056
ˈi	ˈəi̯	0.425
ˈi	ˈɪ	0.381
ˈi	ˈe	0.088
ˈiː	ˈe	0.348
ˈiː	ˈiː	0.234
ˈiː	ˈɛ	0.147
ˈiː	ˈei̯	0.081
ˈiː	ˈɑː	0.074
ˈiː	ˈəi̯	0.066
ˈuː	ˈei̯	0.375
ˈuː	ˈi	0.172
ˈuː	ˈiː	0.106
ˈuː	ˈɑ	0.073
ˈuː	ˈɛ	0.072
ˈuː	ˈɔ	0.065
ˈuː	ˈø	0.054
ˈyː	ˈʉ	0.426
ˈyː	ˈei̯	0.125
ˈyː	ˈe	0.108
ˈyː	ˈeː	0.085
ˈyː	ˈiː	0.057
ˈøː	ˈʉ	0.45
ˈøː	ˈəi̯	0.309
ˈøː	ˈe	0.12
ˈøː	ˈɛ	0.064
ˈøː	ˈei̯	0.056
ˈœ	ˈɑː	0.356
ˈœ	ˈɪ	0.231
ˈœ	ˈø	0.168
ˈœ	ˈʌ	0.105
ˈœ	ˈɑ	0.1
ˈɒ	ˈɪ	0.512
ˈɒ	ˈe	0.257
ˈɒ	ˈɑ	0.115
ˈɒ	ˈɑː	0.115
ˈɒː	ˈɑ	0.418
ˈɒː	ˈe	0.366
ˈɒː	ˈɑː	0.13
ˈɒː	ˈɛ	0.085
ˈɔ	ˈɔ	0.984
ˈɔi̯	ˈɛ	1.0
ˈɔu̯	ˈø	0.364
ˈɔu̯	ˈʌʉ̯	0.329
ˈɔu̯	ˈɪ	0.256
ˈɔu̯	ˈɑː	0.051
ˈɔː	ˈe	0.312
ˈɔː	ˈɔ	0.236
ˈɔː	ˈei̯	0.231
ˈɔː	ˈɑ	0.153
ˈɔː	ˈɪ	0.068
ˈɛ	ˈiː	0.506
ˈɛ	ˈɪ	0.35
ˈɛ	ˈʌ	0.144
ˈɛi̯	ˈiː	0.653
ˈɛi̯	ˈəi̯	0.134
ˈɛi̯	ˈø	0.086
ˈɛi̯	ˈeː	0.067
ˈɛi̯	ˈi	0.061
ˈɛː	ˈe	0.322
ˈɛː	ˈei̯	0.291
ˈɛː	ˈɛ	0.259
ˈɛː	ˈɑː	0.127
ˈʊ	ˈʌ	0.213
ˈʊ	ˈɪ	0.191
ˈʊ	ˈɑ	0.119
ˈʊ	w_ˈɔ	0.117
ˈʊ	ˈi	0.09
ˈʊ	ˈʉ	0.082
ˈʊ	ˈɛ	0.069
ˈʊ	ˈɔ	0.052
ˈʏ	ˈɪ	0.755
ˈʏ	ˈɔ	0.245
