Neapolitan	Sicilian	probability
#>	#>	1.0
<#	<#	0.995
<#_w	<#	1.0
a	a	0.959
a	ˈa	0.051
b	b	1.0
d	d	0.906
d	ɾ	0.088
e	i	0.803
e	ɪ	0.194
f	f	1.0
i	i	0.562
i	ɪ	0.311
i	ˈi	0.079
j	j	0.522
j	-	0.21
j	ɲ	0.111
j	ˈi	0.088
j	m	0.055
j_ə	j	1.0
j_ˈɛ	ˈɛ	1.0
k	k	0.865
k	c	0.122
k_j	c	1.0
l	l	0.554
l	ɖ	0.404
l_w	l	1.0
m	m	0.904
m	-	0.095
n	n	0.983
o	ʊ	0.548
o	ɽ	0.199
o	o	0.125
p	p	1.0
p_w	p	1.0
r	ʐ	0.423
r	ɾ	0.312
r	r	0.245
s	s	0.76
s	ɖ	0.103
s	z	0.068
s	ʃ	0.059
t	t	0.891
t	ʈ	0.093
u	u	0.612
u	-	0.122
u	ʊ	0.106
u	ɪ	0.103
v	v	0.86
v	b	0.115
w	-	0.644
w	w	0.313
w	ʊ	0.051
ŋ	ŋ	1.0
ə	ʊ	0.417
ə	ɪ	0.31
ə	a	0.253
ɡ	ɡ	0.92
ɡ	-	0.075
ɲ	ɲ	0.707
ɲ	n	0.129
ɲ	ɕ	0.088
ɾ	ɾ	0.78
ɾ	r	0.096
ɾ	ɽ	0.069
ʃ	ɕ	0.425
ʃ	ʃ	0.347
ʃ	ʧ	0.093
ʃ	ç	0.092
ʎ	ɟ	1.0
ʤ	ʤ	0.523
ʤ	-	0.169
ʤ	ɲ	0.102
ʤ	r	0.076
ʤ	v	0.076
ʦ	ʦ	1.0
ʧ	ʧ	0.667
ʧ	ɕ	0.333
ˈa	ˈa	0.93
ˈa	ˈa_r	0.05
ˈe	ˈi	0.743
ˈe	ˈe	0.179
ˈe	ˈɛ	0.069
ˈi	ˈi	0.964
ˈo	ˈu	0.626
ˈo	ˈo	0.161
ˈo	ˈɔ	0.137
ˈo	ʊ	0.063
ˈu	ˈu	0.907
ˈu	ˈɔ	0.092
ˈu_m	ˈu	1.0
ˈɔ	ˈɔ	0.897
ˈɔ	w	0.074
ˈɛ	ˈɛ	0.773
ˈɛ	ˈi	0.18
ˈɛ	ɪ	0.052
