Friulian	Friulian	probability
ˈɛ_t	ˈɛ_ʧ	1.0
ˈɔː	ˈoː	1.0
ˈu_ŋ	ˈỹ	1.0
ˈo_ŋ	ˈũ	1.0
ˈo_n	ˈũ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈẽ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_ŋ	ˈẽ	1.0
ˈe_n	ˈeː_n	1.0
ˈaː_t	ˈɑː	1.0
ˈaː_s	ˈɑː_s	1.0
ˈa_ŋ	ˈã	1.0
ˈa_w	ˈɔ	1.0
ˈa_s	ˈa_s	1.0
ˈa_n	ˈã	1.0
ɟ	ʤ	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
v_i_ŋ	ẽ	1.0
s_#>	#>	1.0
s	s	1.0
r_t	r_t	1.0
r_i	e_r	1.0
r	r	1.0
p_l	p_j	1.0
p	p	1.0
l_i	ʧ	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
i_#>	#>	1.0
d_i	d_ˈɛ	1.0
c	k	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
m	m	0.935
f	f	0.935
v	v	0.897
t	t	0.884
a	a	0.867
ɡ	ɡ	0.857
l	l	0.857
d	d	0.857
e	a	0.841
n	n	0.8
w	-	0.727
ɲ	ɲ	0.692
ˈu	ˈyː	0.643
ˈaː	ˈa	0.609
ʤ	ʒ	0.6
ŋ	-	0.6
ˈuː	ˈøː	0.583
o	u	0.583
ˈoː	ˈuː	0.556
ˈiː	ˈi	0.5
z	z	0.5
z	-	0.5
<#_j	<#_l	0.5
<#_j	<#	0.5
ˈɛ	-	0.462
ʧ	ʧ	0.455
ˈo	ˈu	0.45
ˈoː	-	0.444
ˈe	ˈɛ	0.444
ˈi	ˈiː	0.438
ˈuː	ˈyː	0.417
o	-	0.417
ʧ	s	0.409
i	e	0.409
ˈa	ˈɑː	0.406
ˈa	ˈa	0.406
ʤ	-	0.4
ŋ	n	0.4
u	y	0.4
ˈɛ	ˈɛ	0.385
ˈeː	ˈɛ	0.375
ˈeː	ˈeː	0.375
ˈɔ	ˈɔ	0.364
j	-	0.364
i	i	0.318
ɲ	n	0.308
#>	ˈi_#>	0.308
ˈaː	ˈɑː	0.304
ˈiː	ˈeː	0.3
u	u	0.3
u	-	0.3
ˈe	ˈeː	0.278
ˈɔ	ˈœ	0.273
ˈɔ	-	0.273
w	w	0.273
j	j	0.273
ˈo	ˈuː	0.25
ˈeː	-	0.25
#>	n_#>	0.231
#>	l_#>	0.231
#>	k_#>	0.231
ˈu	ˈy	0.214
ˈo	-	0.2
ˈiː	-	0.2
ˈi	-	0.188
j	ɛ	0.182
j	v	0.182
i	-	0.182
ˈe	ˈe	0.167
ˈɛ	ˈeː	0.154
ˈu	-	0.143
ɡ	-	0.143
d	t	0.143
ʧ	-	0.136
n	-	0.133
a	-	0.133
ˈi	ˈi	0.125
ˈi	ˈẽ	0.125
ˈi	j_ˈøː	0.125
ˈe	-	0.111
v	ɡ	0.103
e	e	0.101
ˈo	u	0.1
ˈɔ	ˈo	0.091
i	ĩ	0.091
ˈaː	-	0.087
t	-	0.07
n	ˈũ	0.067
m	-	0.065
f	f_ˈiː	0.065
l	j	0.063
ˈa	ˈɔ	0.062
ˈa	ˈɑː_d	0.062
ˈa	-	0.062
e	-	0.058
