Bokmål Norwegian	North Frisian	probability
ˈʊ	ˈœ	1.0
ˈæɪ̯	ˈiː	1.0
ˈyː	ˈiː	1.0
ˈuː_ɾ	r_d	1.0
ʋ_#>	f_#>	1.0
ʂ	ʃ	1.0
ɾ_#>	#>	1.0
ɪ	i	1.0
ŋː	ŋ	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
tː_ə	tʲ	1.0
tʰ	t	1.0
s_ˈɛ	s_ˈeː	1.0
s_ə	z_ə	1.0
s_k	ʃ	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
nː_#>	s_#>	1.0
mː	m	1.0
m	m	1.0
kʰ	k	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#	<#_ˈuː	1.0
n	n	0.923
l	l	0.914
ʋ	v	0.905
ɾ	r	0.891
ˈʉ	ˈʊ	0.833
nː	n	0.833
ə	ə	0.776
ˈiː	ˈi	0.727
ɳ	r_n	0.714
t	t	0.696
ˈɑː	ˈɒː	0.667
ɡ	ɡ	0.636
k	k	0.636
tː	x	0.625
ˈeː	ˈiː	0.6
lː	l	0.583
ˈʉː	ˈyː	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈa	0.5
ˈœ	ˈʏ	0.5
ˈœ	ˈiː	0.5
ˈæː	ˈeː	0.5
ˈæː	d	0.5
ɾ_ə	ə_r	0.5
ɾ_ə	r	0.5
kː	ŋ_k	0.5
kː	k	0.5
j	h	0.5
j	-	0.5
ˈɛ	ˈa	0.429
ˈeː	ˈɛː	0.4
tː	t	0.375
ˈuː	ˈɔ	0.364
ɡ	j	0.364
#>	v_#>	0.364
ˈøː	ˈuː	0.357
ˈʏ	ˈʏ	0.333
ˈʏ	ˈeː	0.333
ˈʏ	-	0.333
ˈɪ	ˈi	0.333
ˈɪ	ˈa	0.333
ˈɑː	ˈa	0.333
ˈɑ	ˈɒ	0.316
ˈɛ	ˈiː	0.286
ˈøː	ˈyː_dʲ	0.286
ɳ	r	0.286
ˈuː	ˈœ	0.273
ˈoː	ˈɛi̯	0.273
ˈoː	ˈɔu̯	0.273
ˈoː	ˈuː	0.273
ˈiː	ˈiː	0.273
#>	s_#>	0.273
ˈʉː	ˈøː	0.25
lː	lʲ	0.25
t	tʲ	0.217
ˈøː	ˈɛ	0.214
ˈɑ	ˈœ	0.211
ˈuː	ˈœi̯	0.182
ˈuː	ˈœ_dʲ	0.182
ˈoː	ˈɛː	0.182
k	x	0.182
k	k_ə	0.182
#>	f_#>	0.182
#>	dʲ_ə_#>	0.182
ə	-	0.172
ˈʉ	ˈyː	0.167
ˈɪ	ˈiː	0.167
ˈɪ	ˈai̯	0.167
nː	nʲ	0.167
lː	l_ə	0.167
ˈɑ	ˈʊ	0.158
ˈɛ	ˈɒː	0.143
ˈɛ	ˈɒ	0.143
ˈøː	ˈiː	0.143
ˈʉː	ˈɔː	0.125
ˈʉː	ˈiː	0.125
ˈɑ	ˈɔː	0.105
ˈɑ	ˈuː	0.105
ˈɑ	ˈeː	0.105
ʋ	ə	0.095
t	z	0.087
l	ə_l	0.086
n	nʲ	0.077
ɾ	ə_r	0.065
ə	t	0.052
