Lithuanian	Lithuanian	probability
̂_r	̂	1.0
ˈ_#>	#>	1.0
ʒ	z	1.0
ʑ	z	1.0
ʊ_ˈ	̂	1.0
ɪ_ˈ_s_#>	#>	1.0
ɪ_ˈ	̂	1.0
ɪ_ɫ	uː	1.0
ɪ_#>	i_#>	1.0
ɡʲ_ɛ	ɡ̊	1.0
ɛʊ̯	uː	1.0
ɛɪ̯	i	1.0
ɐʊ̯	-	1.0
ɐɪ̯	eː_̌	1.0
ɐ_ˈ_#>	a_#>	1.0
ɐ_s_#>	#>	1.0
ɐ_r	r	1.0
ɐ_#>	a_#>	1.0
ŋʲ	t	1.0
ŋ	-	1.0
æː	e	1.0
æɪ̯	i	1.0
z	aː_̌	1.0
v	ʋ	1.0
uː	i	1.0
pʲ	p	1.0
p	-	1.0
nʲ_ɪ_ˈ_#>	m_#>	1.0
mʲ	m	1.0
kʲ_æː	k_o	1.0
kʲ	-	1.0
k_tʲ	ʨ	1.0
iː_̌	u	1.0
iə̯	-	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
aʊ̯	uː	1.0
aɪ̯	j	1.0
<#_ɐ	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
ɡ	ɡ	0.867
ɫ	l	0.833
nʲ	-	0.833
tʲ	t	0.8
s_#>	#>	0.786
ʃ	s	0.75
̌	̂	0.742
vʲ	ʋ	0.727
ʊ	-	0.714
ɕ	s	0.714
rʲ	r	0.714
lʲ	ʎ	0.714
ɡʲ	ʒ	0.667
uə̯	a	0.667
̂	̂	0.654
n	-	0.636
m	m	0.625
sʲ	s	0.556
r	r	0.556
t	t	0.538
eː	a	0.538
k	k	0.5
k	-	0.5
iː	iː	0.5
iː	-	0.5
ˈ	̂	0.467
t	-	0.462
ɛ	e	0.455
<#	<#_j	0.455
sʲ	-	0.444
oː	-	0.444
#>	a_#>	0.429
ˈ	-	0.4
ɪ	-	0.4
m	-	0.375
n	n	0.364
aː	-	0.364
ɡʲ	-	0.333
uə̯	-	0.333
oː	a_̂	0.333
s	t	0.308
s	s	0.308
ʊ	a_k	0.286
ɕ	-	0.286
rʲ	-	0.286
lʲ	e	0.286
#>	t_#>	0.286
#>	n_#>	0.286
ɛ	eː_̂	0.273
ɛ	e_̂	0.273
vʲ	ʋ_j	0.273
aː	oː	0.273
ʃ	x	0.25
s	x	0.231
eː	eː	0.231
eː	-	0.231
r	a	0.222
r	-	0.222
oː	a	0.222
s_#>	n_#>	0.214
ɪ	u	0.2
ɪ	eː	0.2
tʲ	-	0.2
ɐ	o	0.192
ɐ	a	0.192
aː	r_a	0.182
aː	o	0.182
<#	<#_ʃ	0.182
<#	<#_ɡ	0.182
<#	<#_d	0.182
ɫ	-	0.167
nʲ	ɲ	0.167
̌	̌	0.161
s	-	0.154
ˈ	̌	0.133
ɡ	-	0.133
̂	̌	0.115
̂	uː_̌	0.115
̂	-	0.115
ɐ	uː	0.115
ɐ	r	0.115
ɐ	o_̌	0.115
ɐ	-	0.115
ɪ	i	0.1
ɪ	e	0.1
̌	-	0.097
ɐ	o_̂	0.077
ɐ	aː	0.077
