Standard German	Standard German	probability
ˈɪ_n	ˈiː_n	1.0
ˈɛː	-	1.0
ˈɔ_ɐ	ˈoːu̯	1.0
ˈɔ_m	ˈuː_m	1.0
ˈoː_t	ˈoː_d	1.0
ˈiː_ɐ_#>	ˈi_#>	1.0
ˈa_n	ˈoːu̯_n	1.0
ʦ	t	1.0
ɡ̊_#>	#>	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɐ_ʦ	t	1.0
ŋ	ŋ	1.0
ç_#>	k_#>	1.0
z̥_#>	s_#>	1.0
z_ˈɛ	s_ˈɛ	1.0
t_ɐ	r	1.0
s_t	s_t	1.0
s	t	1.0
p͡f	p	1.0
n_ə	n_ə	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_s	k_s	1.0
k_n	x	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_n	p_ə	1.0
eː	i	1.0
d̥	d	1.0
a	-	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_j	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
#>	ə_#>	1.0
l	l	0.941
v	v	0.933
f	f	0.926
ʁ	r	0.913
b	b	0.846
<#_tʰ	<#_d	0.824
ɡ	ɣ	0.8
ç	x	0.8
z	s	0.789
f_#>	p_#>	0.714
ˈʏ	ˈɛː	0.667
ˈøː	ˈeː	0.667
ˈyː	ˈɛɪ̯	0.667
ˈuː	ˈoːu̯	0.667
x	x	0.667
ɪ	ɪ	0.6
ˈɪ	ˈɪ	0.591
n	n	0.586
ˈʊ	ˈʊ	0.533
t	d	0.529
ˈɛ_ɐ	ˈɛɪ̯	0.5
ˈɛ_ɐ	ˈiː_r	0.5
ʃ	s_k	0.5
ʃ	s	0.5
d	d	0.5
b̥_#>	f_#>	0.5
b̥_#>	#>	0.5
t	t	0.471
ˈiː	j_ˈoː	0.462
ˈoː	ˈoː	0.444
ˈeː	ˈeː	0.429
ˈaʊ̯	ˈuː	0.421
ˈɔ	ˈoːu̯	0.417
ɐ	ə_r	0.417
ɪ	-	0.4
d	t	0.4
ˈʏ	-	0.333
ˈɛ	-	0.333
ˈɔʏ̯	j_ˈuː	0.333
ˈɔ	ˈɔ	0.333
ˈøː	ˈœː	0.333
ˈyː	-	0.333
ˈoː	ˈuː	0.333
ɐ	r	0.333
x	k	0.333
ˈaː	-	0.316
ˈaʊ̯	ˈoː	0.316
ˈa	ˈɔː	0.31
ˈaɪ̯	ˈeː	0.296
n	ə	0.293
ˈeː	-	0.286
f_#>	#>	0.286
ˈʊ	ˈuː	0.267
ˈaɪ̯	ˈi	0.259
ˈɛ	ˈeː	0.25
ˈɛ	ˈa	0.25
ˈɔ	ˈʊ	0.25
ˈiː	ˈi	0.231
ˈɔʏ̯	ˈyː	0.222
ˈɔʏ̯	ˈuː	0.222
ˈɔʏ̯	-	0.222
ˈoː	-	0.222
ˈaː	ˈɔː	0.211
ˈaʊ̯	-	0.211
z	z	0.211
ˈʊ	ˈɔː	0.2
ç	k	0.2
ˈɪ	ˈiː	0.182
<#_tʰ	<#	0.176
ˈa	ˈoː	0.172
ˈɛ	ˈɛ	0.167
ˈuː	ˈuː	0.167
ˈuː	-	0.167
ˈaː	ˈɛɪ̯	0.158
ˈaː	ˈɛ	0.158
ˈaː	ˈoː	0.158
ˈiː	j	0.154
ˈiː	-	0.154
b	v	0.154
ɡ	-	0.15
ˈeː	ˈiːu̯	0.143
ˈeː	ˈeːu̯	0.143
ˈa	ˈɛː	0.138
ˈɪ	-	0.136
n	j_ə	0.121
ˈaɪ̯	ˈɛɪ̯	0.111
ˈaɪ̯	ˈiː	0.111
ɐ	ˈiː_r	0.111
ˈa	ˈɔ	0.103
ˈa	ˈaː	0.103
ˈa	ˈa	0.103
d	d_ə	0.1
ˈɪ	j_ˈʊ	0.091
ʁ	-	0.087
ɐ	d_ə	0.083
ˈaɪ̯	ˈɛ	0.074
ˈaɪ̯	ˈoː	0.074
ˈaɪ̯	ˈaː	0.074
f	p	0.074
ˈa	ˈɛɪ̯	0.069
v	-	0.067
l	l_v	0.059
ɐ	ˈɔː_r	0.056
ˈaʊ̯	ˈøː	0.053
