Old Frisian	Limburgish	probability
ʦ	k	1.0
ʣ	ɡ	1.0
ɣ̥	ɣ̊	1.0
ɡː	k	1.0
ɡ_ə	ə	1.0
ɡ	ɣ	1.0
ə_r	ʀ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ð	-	1.0
x	x	1.0
v_ə	v_ə	1.0
v	v̥	1.0
tː	t	1.0
s_t	s	1.0
r_n	ʀ_ə	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_t	n_t	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_f	v̥	1.0
kː	-	1.0
k_ə	k	1.0
k_s	s	1.0
k	k	1.0
j_ə	ə	1.0
iː	i	1.0
h_ˈɛː	ɦ	1.0
h_w	β	1.0
h_r	ʀ	1.0
h_l	l	1.0
h	ɦ	1.0
f	v	1.0
dː	j	1.0
bː	b	1.0
b	b	1.0
w	β	0.953
t	t	0.858
r	ʀ	0.817
l	l	0.801
d	d̥	0.768
θ	d	0.748
j	ɣ	0.737
ˈɛː	ˈɛː	0.72
s_k	ʃ	0.684
z	z̥	0.657
ˈi̯aː	ˈeː	0.653
ˈiː	ˈiː	0.649
ˈuː	ˈuː	0.645
ɣ	ɣ	0.592
i	ɪ	0.588
d_ə	j_ə	0.557
ə	ə	0.533
ˈi	ˈɪː	0.514
ˈo	ˈɔ	0.51
s	z	0.499
ˈu	ˈʊː	0.481
s	s	0.454
ˈi̯uː	-	0.447
d_ə	d_ə	0.443
ˈɔː	ˈʊː	0.429
i	ə	0.412
ə	-	0.409
ˈa	ˈaː	0.398
ˈa	ˈɑ	0.373
ˈoː	ˈʊː	0.361
ˈiː	-	0.351
z	-	0.343
s_k	s	0.316
ˈeː	ˈɒː	0.312
ˈaː	ˈu	0.308
ˈeː	-	0.292
ˈi̯uː	ˈeː	0.282
ˈoː	-	0.281
ˈo	ˈɔː	0.273
ˈi̯uː	ˈyː	0.271
ˈe	ˈeː	0.271
j	-	0.263
θ	d̥	0.252
ˈaː	-	0.24
ˈaː	ˈɔː	0.221
ˈoː	ˈoː	0.216
ˈo	ˈøː	0.216
ˈɔː	ˈɒː	0.214
ˈɔː	ˈaː	0.214
ɣ	ɣ̊	0.204
ɣ	-	0.204
ˈuː	-	0.186
r	ʀ_ə	0.183
ˈɛː	-	0.174
ˈi̯aː	ˈiː	0.173
ˈi̯aː	ˈi	0.173
ˈeː	ˈøː	0.173
ˈuː	ˈɔu̯	0.169
ˈeː	ˈeː	0.167
ˈu	-	0.164
ˈa	ˈɑː	0.155
ˈu	ˈɔ	0.154
ˈe	ˈaː	0.153
ˈe	ˈæː	0.152
ˈe	-	0.15
ˈu	ˈoː	0.146
ˈɔː	ˈɑː	0.143
ˈoː	ˈɑː	0.142
t	-	0.142
ˈaː	ˈi	0.129
d	-	0.122
ˈi	ˈɛ	0.111
d	j	0.11
ˈe	ˈɑ	0.107
ˈɛː	ˈi	0.106
l	-	0.102
ˈaː	ˈɛː	0.101
ˈi	ˈɛː	0.1
l	l_ə	0.087
ˈe	ˈɪ	0.081
ˈi	ˈi	0.076
ˈi	ˈeː	0.076
ˈi	ˈɪ	0.075
ˈa	ˈɒː	0.075
ˈe	ˈœ	0.058
ˈeː	ˈi	0.056
ˈu	ˈʊ	0.054
