Galician	Galician	probability
θ_ˈi	s_ˈi	1.0
θ_ɐ	s_a	1.0
θ_#>	ʒ_e_#>	1.0
β_j	sː	1.0
ˈɔ_l	ˈuː	1.0
ˈɑ	ˈa	1.0
ˈu_ɾ	ˈyː	1.0
ˈo_ɾ	ˈuː	1.0
ˈo_w	ˈɔː	1.0
ˈo_j	ˈø	1.0
ˈi_ɾ	ˈiː	1.0
ˈi_ɲ	ŋ	1.0
ˈe_ɾ	e	1.0
ˈe_n	ˈe_ŋ	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_j	ˈa	1.0
ʊ_#>	#>	1.0
ʊ	u	1.0
ɾ_ˈe	ˈeː	1.0
ɾ_ɐ	j_a	1.0
ɾ_#>	#>	1.0
ɪ_#>	#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɑ	a	1.0
ɐ_s	e	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ð_ˈa	ɥ	1.0
ð_ɪ	ˈɛː	1.0
w_ɾ	ˈɔː	1.0
u	u	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
o_s	i	1.0
l_#>	#>	1.0
k	k	1.0
j_t	t	1.0
j_m	y	1.0
f	f	1.0
e_ɾ	e_r	1.0
e_s	s	1.0
d	d	1.0
<#_ˈo	<#	1.0
<#_ˈa	<#_ˈɛː	1.0
<#_ʃ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
<#_a	<#	1.0
l	l	0.939
ɐ	a	0.935
m	m	0.9
ŋ_#>	ŋ_#>	0.867
ɟ	ʤ	0.857
s	s	0.833
ɪ	e	0.793
i	i	0.778
β	v	0.692
ʧ	ʧ	0.667
ɲ	ɲ	0.667
ɾ	r	0.653
b	v	0.633
a	a	0.619
ˈa_l	ˈaː	0.6
ˈa	ˈa	0.583
θ	s	0.579
j	-	0.556
#>	e_#>	0.556
n	ŋ	0.522
ˈi	ˈi	0.5
s_ˈo	s_ˈuː	0.5
s_ˈo	j	0.5
e	e	0.5
<#	<#_l	0.5
<#	<#_a	0.5
n	n	0.478
ˈe	ˈe	0.472
ð	t	0.471
o	-	0.471
ð	-	0.412
ˈɛ	ˈeː	0.409
ˈa_l	ˈaː_r	0.4
w	w	0.4
ʃ	ʤ	0.375
ʃ	ʃ	0.375
b	b	0.367
ˈo	ˈu	0.361
ˈɔ	ˈøː	0.346
ʧ	ʃ	0.333
ɲ	ŋ	0.333
ˈa	ˈaː	0.306
ˈu	ˈy	0.3
w	ˈaː	0.3
w	-	0.3
o	u	0.294
a	-	0.286
ˈɔ	ˈɔː	0.269
ˈu	ˈyː	0.25
ˈu	ˈu	0.25
ʃ	s	0.25
e	j	0.25
o	w	0.235
ˈɛ	ˈe	0.227
ˈe	ˈeː	0.222
j	z	0.222
j	j	0.222
i	-	0.222
#>	ŋ_a_#>	0.222
#>	ŋ_#>	0.222
ˈi	ˈiː	0.208
ɪ	u	0.207
β	-	0.192
ˈɔ	ˈɔ	0.192
ˈɛ	ˈɛː	0.182
ˈɛ	ˈɛ	0.182
ˈi	ˈe	0.167
ˈe	-	0.167
θ	ʒ	0.158
θ	-	0.158
ɟ	-	0.143
ˈo	ˈø	0.139
ŋ_#>	#>	0.133
ˈi	-	0.125
e	r	0.125
e	-	0.125
ɾ	-	0.122
ð	d	0.118
β	b	0.115
ˈɔ	ˈuː	0.115
ˈo	-	0.111
θ	ʃ	0.105
ˈu	ˈuː	0.1
ˈu	-	0.1
s	j	0.1
m	ŋ	0.1
a	ˈɛ	0.095
ˈo	ˈɔ	0.083
ˈo	ˈøː	0.083
ˈo	ˈy	0.083
ˈo	ˈuː	0.083
ˈe	ˈiː	0.083
ɾ	j	0.082
ˈɔ	w	0.077
s	z	0.067
ɾ	ˈaː	0.061
l	-	0.061
ˈo	ˈu_ŋ	0.056
ˈe	ˈe_j	0.056
ˈa	ˈɛː	0.056
ˈa	-	0.056
