Lombard	Bellunese	probability
a	a	0.988
ã	e	0.659
ã	a	0.341
b	b	0.717
b	-	0.283
d	d	0.793
d	-	0.099
d	t	0.061
e	e	0.489
e	-	0.17
e	ˈe	0.14
e	o	0.133
ẽ	o	1.0
f	f	0.821
f	v_e	0.082
f	v_o	0.072
i	i	0.338
i	ˈa	0.334
i	e	0.328
ĩ	i_ŋ	0.78
ĩ	e	0.22
j	j	0.583
j	-	0.268
j	e	0.077
j	ˈe	0.071
k	k	0.866
k	ɡ_o	0.088
l	l	0.911
m	m	0.732
m	ŋ	0.2
m	n	0.068
n	n	1.0
o	o	1.0
p	p	0.948
p	k	0.052
r	r	0.853
r	r_o	0.09
s	s	0.915
t	t	0.821
t	t_o	0.127
u	o	0.789
u	-	0.125
u	e	0.086
ũ	o	1.0
v	v	1.0
w	w	1.0
y	u	0.788
y	o	0.212
z	z	1.0
ɛ	-	0.817
ɛ	ˈa	0.183
ɡ	ɡ	0.862
ɡ	-	0.118
ɲ	ŋ	0.533
ɲ	ɲ	0.449
ʃ	θ	0.508
ʃ	z	0.335
ʃ	s	0.156
ʋ	v	0.946
ʋ	-	0.054
ʤ	ð	0.573
ʤ	-	0.189
ʤ	z	0.087
ʤ	ʧ	0.087
ʤ	ɲ	0.057
ʦ	ð	0.578
ʦ	θ	0.397
ʧ	θ	0.294
ʧ	t	0.279
ʧ	ʧ_o	0.164
ʧ	ʧ	0.079
ʧ	j	0.061
ʧ	ð	0.061
ˈa	ˈa	0.723
ˈa	ˈa_r	0.237
ˈaː	ˈa	1.0
ˈãː	ˈa_ŋ	1.0
ˈe	ˈe	0.762
ˈe	-	0.141
ˈe	ˈɛ	0.097
ˈeː	ˈe	1.0
ˈẽː	ˈe_ŋ	0.789
ˈẽː	ˈe	0.211
ˈi	ˈi	0.613
ˈi	ˈi_r	0.203
ˈi	e	0.093
ˈi	ˈɛ	0.06
ˈiː	ˈi	1.0
ˈĩː	ˈi_ŋ	1.0
ˈu	ˈo	0.791
ˈu	ˈɔ	0.128
ˈu	ˈu	0.081
ˈuː	o	0.647
ˈuː	j	0.353
ˈũː	ˈo_ŋ	1.0
ˈy	ˈu	0.444
ˈy	ˈe	0.436
ˈy	u	0.079
ˈyː	ˈo	0.695
ˈyː	ˈu	0.305
ˈỹː	ˈu	1.0
ˈø	ˈo	0.602
ˈø	ˈɔ	0.398
ˈøː	ˈo	1.0
ˈɔ	ˈɔ	0.678
ˈɔ	ˈo	0.207
ˈɔ	ˈe	0.059
ˈɔ	ˈa	0.056
ˈɛ	ˈɛ	0.774
ˈɛ	ˈe	0.099
ˈɛ	ˈe_r	0.094
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	e	1.0
