Latin	Eastern Lombard	probability
aː	a	1.0
e	-	1.0
eː	i	1.0
f	f	1.0
j	z	1.0
kː	k	1.0
lʲː	l	1.0
oː	-	1.0
tː	t	1.0
ɛ̃ː	-	1.0
ˈau̯	ˈo	1.0
ˈaː	ˈa	1.0
n	ɲ	0.141
ŋ	-	0.061
ɫ	-	0.211
ɫ	l	0.661
ʊ̃ː	-	0.631
ˈa	ˈa	0.961
ae̯	-	0.32
ãː	-	0.12
k	k	0.332
lʲ	-	0.572
n	n	0.682
p	-	0.332
r	-	0.302
w	-	0.532
ˈoː	ˈu	0.872
ˈuː	ˈy	0.512
ˈʊ	ˈu	0.232
b	-	0.13
i	j	0.363
k	-	0.553
kʷ	k_w	0.713
t	t	0.553
w	f	0.233
ɛ	-	0.643
ɡ	-	0.3
ɪ	-	0.803
ˈeː	ˈi	0.053
ˈeː	ˈe	0.653
ˈɔ	ˈo	0.223
iː	-	0.284
ŋ	ŋ	0.464
ɔ	o	0.914
ɡ	ʤ	0.134
ʊ	o	0.134
ˈeː	ˈɛ	0.294
ˈiː	ˈø	0.074
ˈɛ	ˈe	0.24
ˈɪ	ˈi	0.094
ˈɪ	-	0.124
ˈɪ	ˈɛ	0.514
k	ɡ	0.115
m	m	0.95
w	ʋ	0.235
ŋ	n	0.475
ˈiː	-	0.05
d	t	0.106
d	d	0.636
iː	i	0.716
n	-	0.176
s	z	0.116
ɔ	-	0.086
ʊ	-	0.866
ˈiː	ˈi	0.806
ˈɔ	ˈɔ	0.426
ˈɛ	ˈɛ	0.76
b	b	0.87
i	-	0.637
kʷ	w	0.287
s	s	0.837
t	-	0.07
ɛ	e	0.357
ɪ	e	0.197
ˈiː	ˈe	0.07
ˈɔ	ˈø	0.17
a	a	0.908
ae̯	e	0.68
ãː	a	0.88
d	-	0.258
l	l	0.978
lʲ	l	0.428
p	p	0.668
r	r	0.698
t	d	0.208
ɡ	z	0.278
ɡ	ɡ	0.288
ɫ	j	0.128
ˈoː	ˈø	0.128
ˈuː	ˈø	0.488
ˈɔ	ˈu	0.18
ˈɪ	ˈe	0.268
ˈʊ	ˈo	0.768
t	s	0.169
ʊ̃ː	a	0.369
