Swedish	Proto-Germanic	probability
a	ɑ_n	0.388
a	ɔ̃ː	0.217
a	ɔːː	0.108
a	j	0.094
a	ɔː	0.074
b	b	1.0
d	d	0.324
d	d_ɑ	0.112
d	ð_ɑ̃	0.112
d	θ_ɑ̃	0.094
d	ð_ɑ	0.087
e	ɑ̃	0.493
f	ɸ	0.988
f	ð	0.034
h	x	0.941
h	k	0.045
h	-	0.035
j	ˈe	0.251
j	-	0.237
j	ɣ	0.218
j	xʷ	0.122
j	ɣ_ɑ	0.081
j_ˈʉː	ˈeu̯	1.0
jː	j	0.493
k	k	0.279
k	k_ɑ	0.229
k	k_i	0.184
k	k_s	0.129
k	x	0.072
kʰ	k	0.777
kʰ	kʷ	0.122
kʰ	-	0.092
kː	ŋ_k	0.45
kː	k	0.21
kː	kː	0.193
l	l	0.769
l	l_ɑ	0.106
l	ɑ_l	0.05
l	l_ɔː	0.045
l	-	0.03
lː	lː	0.715
lː	d	0.28
m	m	0.722
m	m_ɑ	0.275
mː	m	0.758
mː	mː	0.183
n	n	0.827
n	r	0.06
n	m	0.039
n	ɔːː	0.031
n	nː	0.031
nː	nː	0.378
nː	n_θ	0.256
nː	n	0.2
nː	j	0.078
nː	ɑ̃	0.077
p	p	0.672
p	p_ɑ	0.314
pː	p	1.0
r	r	0.791
r	z	0.142
r	-	0.049
rː	r	0.365
rː	k	0.277
s	s	0.9
s	s_ɑ̃	0.086
sː	s	0.85
sː	sː	0.077
t	t	0.701
t	t_ɑ̃	0.126
t	t_s	0.122
t	θ	0.046
tʰ	t	0.494
tʰ	θ	0.443
tʰ	d	0.062
tː	t	0.614
tː	x_t	0.211
tː	t_ɑ	0.156
v	w	0.421
v	β	0.258
v	ɸ	0.082
v	xʷ	0.08
v	i_ɸ	0.043
ŋ	ɑ̃	0.332
ŋ	ɑ_z	0.24
ŋ	z	0.138
ŋ	x	0.12
ŋ	ɸ	0.087
ŋː	ŋ_ɡ	0.623
ŋː	n_x	0.257
ŋː	ɡʷ	0.1
ɕ	k	0.492
ɕ	θ	0.317
ɕ	t	0.136
ɖ	θ	0.53
ɖ	ð	0.3
ɛ	-	0.212
ɛ	ɔːː	0.158
ɛ	i	0.134
ɛ	ɑ	0.124
ɛ	r_u	0.114
ɡ	ɣ	0.616
ɡ	ɣ_ɑ	0.235
ɡ	k	0.056
ɡ	wː	0.056
ɡ	x	0.048
ɡ_ɛ	ɣ	0.493
ɡː	ɣ_j	0.803
ɡː	jː	0.119
ɧ	s	0.525
ɧ	s_k	0.376
ɧ	-	0.045
ɪ	iː	0.561
ɪ	ɑ	0.21
ɪ	i	0.073
ɳ	n_ɑ̃	0.631
ɳ	r_n	0.165
ɳ	ɔːː	0.107
ɳː	n	0.493
ɵ	ɑ	0.76
ɵ	u	0.239
ʈː	t	1.0
ʊ	w	0.74
ʊ	u_n	0.136
ˈa	ˈɑ	1.0
ˈeː	ˈɑi̯	0.554
ˈeː	ˈi	0.273
ˈeː	ˈiː	0.069
ˈeː	ˈe	0.067
ˈiː	ˈiː	0.641
ˈiː	ˈi_n	0.125
ˈiː	ˈi	0.109
ˈiː	ˈe	0.099
ˈoː	ˈɛː	0.331
ˈoː	ˈu	0.2
ˈoː	ˈɑ_x	0.132
ˈoː	ˈɑ	0.129
ˈoː	ˈɑi̯	0.112
ˈuː	ˈɔː	0.578
ˈuː	ˈu_r	0.19
ˈuː	ˈuː_z	0.141
ˈuː	r	0.081
ˈyː	ˈeu̯	0.367
ˈyː	ˈiu̯	0.242
ˈyː	ˈɔː	0.137
ˈyː	ˈe	0.137
ˈyː	ɑ	0.045
ˈæ	ˈe	0.325
ˈæ	r	0.325
ˈæː	ˈeː	0.488
ˈæː	ˈe	0.241
ˈæː	ˈe_r	0.077
ˈøː	ˈɑu̯	0.54
ˈøː	ˈɔː	0.119
ˈøː	ˈu	0.119
ˈøː	ˈɑ	0.075
ˈøː	ɑ	0.063
ˈœ	ˈu	0.347
ˈœ	ˈɑu̯	0.195
ˈœ	ˈɔː	0.112
ˈœ	ˈeu̯	0.112
ˈœ	ˈuː	0.086
ˈœː	ˈɑu̯	0.493
ˈɑː	ˈɑ	0.876
ˈɑː	-	0.072
ˈɑː	ˈɛː	0.055
ˈɔ	ˈu	0.69
ˈɔ	ˈɑ	0.19
ˈɔ	ˈe	0.096
ˈɛ	ˈɑ	0.441
ˈɛ	ˈi	0.214
ˈɛ	ˈɑi̯	0.138
ˈɛ	ˈe	0.127
ˈɛ	ˈĩː	0.056
ˈɛː	ˈe	0.44
ˈɛː	ˈɑ	0.22
ˈɛː	ˈe_w	0.191
ˈɛː	ˈɑi̯	0.126
ˈɪ	ˈi	0.819
ˈɪ	ˈe	0.099
ˈɪ	w	0.076
ˈɵ	ˈu	0.783
ˈɵ	w_ˈu	0.095
ˈɵ	ˈuː	0.059
ˈɵ	ˈi	0.058
ˈʉː	ˈeu̯	0.278
ˈʉː	ˈuː	0.272
ˈʉː	ˈe	0.162
ˈʉː	ˈu	0.096
ˈʉː	ˈɑu̯	0.064
ˈʊ	ˈu	0.85
ˈʊ	ˈɔː	0.127
ˈʏ	ˈu	0.461
ˈʏ	ˈiu̯	0.392
ˈʏ	ˈe	0.09
