Danish	Yiddish	probability
b̥	b	0.7
b̥	f	0.247
b̥	p	0.056
d̥	t	0.951
d̥	d	0.06
e	ɪ	0.521
f	f	0.944
f	ʃ	0.062
h	h	0.957
h	k	0.057
i	ə	0.395
i	ɪ	0.206
j	χ	0.229
j	-	0.204
j	ɡ	0.204
j	ˈɛ	0.188
j	h	0.147
jˀ	ɡ	1.0
k	χ	0.354
k	k	0.264
k	ŋ_k	0.212
kʰ	k	0.862
kʰ	f	0.103
l	l	1.0
lˀ	l	0.977
m	m	0.833
m	ɛ_m	0.105
m	n	0.063
mˀ	m	0.644
mˀ	f	0.254
n	n	0.863
n	-	0.059
n	n_d	0.051
nˀ	n	0.524
nˀ	n_t	0.224
nˀ	s	0.11
nˀ	d	0.071
nˀ	l	0.068
p	f	1.0
pʰ	f	1.0
s	z	0.506
s	ʃ	0.274
s	s	0.098
s	ʃ_v	0.06
s	-	0.05
s_k	ʃ	0.718
s_k	ʧ	0.276
t	t	0.484
t	χ_t	0.28
t	ʦ	0.175
t	-	0.059
w	b_n	0.359
w	-	0.153
w	b	0.153
w	χ	0.153
w	ˈɔ	0.114
w	ə	0.063
wˀ	v	0.344
wˀ	ɛ	0.344
ð̞ˠ	t	0.476
ð̞ˠ	s	0.454
ð̞ˠ	-	0.052
ð̞ˠ_ə	t	1.0
ŋ	ŋ	0.519
ŋ	ɪ	0.253
ŋ	k	0.174
ŋˀ	ŋ_ɡ	1.0
ɐ	ə	0.543
ɐ	ʀ	0.369
ɐ	-	0.082
ɐˀ	ʀ	1.0
ə	-	0.48
ə	ə	0.208
ə	n	0.163
ə	ɡ_n	0.095
ə	ˈɔɪ̯	0.055
ɡ̊	ɡ	0.666
ɡ̊	k	0.176
ɡ̊	χ	0.088
ɡ̊	-	0.073
ʁ	ʀ	0.951
ʁ	-	0.055
ʋ	v	0.672
ʋ	-	0.168
ʋ	f	0.132
ʦʰ	d	0.383
ʦʰ	ʦ	0.323
ʦʰ	t	0.161
ʦʰ	ʦ_v	0.114
ʨ	d	1.0
ˈa	ˈa	0.589
ˈa	ˈɔ	0.325
ˈa	ˈɛ	0.082
ˈaː	ˈa	1.0
ˈe	ˈɪ	0.711
ˈe	ˈɛ	0.269
ˈeˀ	ˈɛɪ̯	0.576
ˈeˀ	ˈɛ	0.324
ˈeˀ	ˈɪ	0.09
ˈeː	ˈɛ	1.0
ˈi	ˈɪ	0.521
ˈi	ˈaɪ̯	0.074
ˈiˀ	ˈaɪ̯	0.401
ˈiˀ	ˈɪ	0.349
ˈiˀ	ˈɛ	0.238
ˈiː	ˈaɪ̯	0.376
ˈiː	ˈɪ	0.347
ˈiː	ˈɔ	0.229
ˈo	v_ˈɔ	0.418
ˈo	ˈɔ	0.209
ˈo	ˈʊ	0.209
ˈo	ˈa	0.144
ˈoˀ	ˈʊ	0.734
ˈoˀ	-	0.127
ˈoˀ	ˈɛɪ̯	0.117
ˈoː	ˈi	0.257
ˈoː	ˈʊ	0.166
ˈoː	-	0.12
ˈoː	ˈa	0.114
ˈoː	ʀ	0.108
ˈoː	ˈɔ	0.082
ˈu	ˈɔ	0.328
ˈu	v_ˈɔ	0.286
ˈu	ˈʊ	0.255
ˈu	ˈɛ	0.085
ˈuˀ	ˈɔɪ̯	0.75
ˈuˀ	ˈɛ	0.136
ˈuˀ	ˈaɪ̯	0.105
ˈuː	ˈɪ	1.0
ˈy	ˈaɪ̯	0.299
ˈy	ˈɪ	0.299
ˈyˀ	ˈaɪ̯	0.561
ˈyˀ	ˈɪ	0.425
ˈyː	ˈɪ	1.0
ˈæ	ʀ	1.0
ˈæˀ	ˈɔ	1.0
ˈø	ˈɪ	1.0
ˈøː	ˈɔɪ̯	0.74
ˈøː	ˈɛ	0.204
ˈœ	ˈɪ	0.408
ˈœ	ˈɔ	0.229
ˈœ	ˈʊ	0.173
ˈœ	ˈɔɪ̯	0.09
ˈœ	ˈɛ	0.09
ˈœˀ	ˈɔɪ̯	0.52
ˈœˀ	ˈɪ	0.335
ˈœˀ	-	0.125
ˈɑ	ˈa	0.42
ˈɑ	ˈɪ	0.265
ˈɑ	ˈɔ	0.132
ˈɑ	ˈɛ	0.102
ˈɑ	ˈaɪ̯	0.078
ˈɑˀ	ˈɔ	0.269
ˈɑˀ	ˈɛ	0.269
ˈɑˀ	ˈa	0.14
ˈɑː	ˈɔ	1.0
ˈɒ	ˈɔɪ̯	0.521
ˈɒˀ	ˈɔ	1.0
ˈɒː	l	0.521
ˈɔ	ˈʊ	0.66
ˈɔ	ˈɔɪ̯	0.179
ˈɔˀ	ˈɔ	0.646
ˈɔˀ	ˈʊ	0.253
ˈɔˀ	ˈa	0.078
ˈɔː	ˈɛ	0.521
ˈɛ	ˈa	0.527
ˈɛ	ˈɛ	0.214
ˈɛ	ˈaɪ̯	0.072
ˈɛ	ˈɪ	0.072
ˈɛ	ˈɔ	0.071
ˈɛ	ˈɛɪ̯	0.06
ˈɛˀ	ˈaɪ̯	0.28
ˈɛˀ	ˈɛɪ̯	0.28
ˈɛˀ	ˈa	0.182
ˈɛˀ	ˈɛ	0.182
ˈɛː	ˈɔ	0.74
ˈɛː	ˈɛ	0.152
ˈʌ	ˈa	0.291
ˈʌ	ˈɛ	0.268
ˈʌ	ˈɔɪ̯	0.177
ˈʌ	ˈɔ	0.122
ˈʌ	ˈʊ	0.095
ˈʌˀ	ˈɔɪ̯	0.521
