Aromanian	Western Lombard	probability
b	b	1.0
e	-	1.0
f	f	1.0
o̯ˈa	-	1.0
s	s	1.0
v	ʋ	1.0
w	f	1.0
ç	f	1.0
ŋ	-	1.0
ɡ	-	1.0
ʃ	s	1.0
ʣ	ʤ	1.0
ˈɨ	ˈãː	1.0
i	-	0.431
p	-	0.431
ɲ	m	0.661
ʦ	ʦ	0.161
a	ˈa	0.862
e̯ˈa	ˈe	0.172
i	a	0.412
p	k	0.062
ə	-	0.052
ˈa	ˈɛ	0.272
ˈe	ˈe	0.512
ˈo	ˈu	0.122
ˈu	ˈy	0.322
e̯ˈa	ˈɛ	0.623
n	n	0.573
u	-	0.323
ʦ	ʧ	0.373
ˈi	ˈĩː	0.063
k	-	0.284
m	m	0.714
ˈi	-	0.44
ˈo	ˈɔ	0.734
ˈu	ˈũː	0.134
ˈu	ˈu	0.544
d	-	0.055
d	d	0.945
e̯ˈa	ˈe_j	0.205
j	-	0.105
j	ʋ	0.895
l	l	0.965
t	t	0.355
ʎ	l	0.05
ʎ	-	0.95
ˈa	ˈaː	0.25
ˈo	ˈø	0.075
i	e	0.116
k	k	0.716
m	-	0.286
n	-	0.36
r	r	0.406
r	-	0.446
ʦ	-	0.466
ˈi	ˈe	0.06
n	ɲ	0.067
p	p	0.507
t	-	0.387
u	u	0.677
a	-	0.138
r	l	0.108
t	d	0.258
ə	a	0.948
ˈe	ˈɛ	0.488
ˈi	ˈẽː	0.088
ɲ	ɲ	0.339
ˈa	ˈa	0.449
ˈi	ˈi	0.349
ˈo	ˈøː	0.069
