Hessian	Pennsylvania German	probability
ˈɛ̃ː	ˈeː	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_ɐ	ˈaː	1.0
ˈɔ	-	1.0
ˈɑ̃i̯	ˈaɪ̯	1.0
ˈæː	-	1.0
ˈæ	ˈɛː	1.0
ˈuː	ˈuː	1.0
ˈu	ˈʊ	1.0
ˈõː	ˈoː	1.0
ˈoi̯	ˈaɪ̯	1.0
ˈoĩ̯	ˈaɪ̯_n	1.0
ˈĩː	-	1.0
ˈi	ˈɪ	1.0
ˈẽː	ˈeː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ˈãː	ˈeː	1.0
ˈau̯	ˈaʊ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣ̥	s	1.0
ʀ	ɾ	1.0
ɛː	eː	1.0
ɑ	ə	1.0
ɐ_n	ɾ_ə	1.0
ŋ	ŋ	1.0
æ̆	ɑ	1.0
z̥	s	1.0
v̥	f	1.0
v	ʋ	1.0
pʰ	b	1.0
oː	ˈoː	1.0
n	n	1.0
l	l	1.0
kʰ	k	1.0
i	ɪ	1.0
h	h	1.0
f_l	f_l	1.0
f	f	1.0
ə	ə	0.935
m	m	0.916
ˈɑ	ˈa	0.91
s	s	0.891
ˈiː	ˈiː	0.826
p	b	0.811
ɐ	ɑ	0.794
ʒ̊	-	0.766
ˈoː	ˈoː	0.757
x	x	0.753
b̥	b	0.684
d̥	d	0.662
ɡ̊	ɡ	0.654
ɣ̊	x	0.533
ˈo	ˈɔ	0.515
t	d	0.512
j	j	0.512
ˈɑː	ˈɔː	0.507
ˈɛː	ˈeː	0.506
ʃ	ʃ	0.505
ˈaː	ˈɔː	0.495
ˈɛː	-	0.494
t	d̥	0.488
j	-	0.488
ˈo	ˈʊ	0.485
ɣ̊	ɣ	0.467
ʃ	ç	0.419
k	ɡ	0.414
k	ɡ̊	0.408
ˈaː	ˈeː	0.352
ɡ̊	k	0.346
b̥	b̥	0.316
d̥	d̥	0.283
ˈɑː	ˈoː	0.279
x	ɡ̊	0.247
ˈoː	-	0.243
ʒ̊	ʃ	0.234
ˈɑː	ˈɔː_ɑ	0.214
ɐ	ɾ_ɪ	0.206
p	-	0.189
k	k	0.178
ˈiː	-	0.174
ˈaː	-	0.153
s	ʃ	0.109
ˈɑ	ˈaː	0.09
m	m_ˈeː	0.084
ʃ	ɡ̊	0.076
ə	-	0.065
d̥	t	0.055
