Slovenian	Latvian	probability
́	-	1.0
̀	-	1.0
ʧ	k_t	1.0
ʒ̊	ʣ_ɛ	1.0
ʒ	ʣ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː_̀	ɛ	1.0
ə_́	i	1.0
ə_r	r̩_s	1.0
ə_n	n_s	1.0
ɔ	-	1.0
z̥	z̥	1.0
z_ɛ	z	1.0
x	-	1.0
w	l	1.0
uː	-	1.0
u	au̯	1.0
r_aː	a_r	1.0
r	r	1.0
p	p	1.0
oː_̀	uɔ̯	1.0
m	m	1.0
l_ɔ	l̩	1.0
l_aː	l	1.0
k_o	ʦ	1.0
j	-	1.0
i_́	uː	1.0
e	ɛ	1.0
b̥	b̥	1.0
b	b	1.0
a	ɛ	1.0
ʋ	v	0.898
t	t	0.831
s	s	0.804
k	k	0.801
oː_́	a	0.768
d	d	0.679
l	l	0.663
oː	uɔ̯	0.648
eː_́	i	0.641
n	n	0.541
ə	i	0.521
z	z	0.521
d̥	d̥	0.5
d̥	d_u	0.5
z	z̥_s	0.479
n	s	0.459
aː	-	0.441
iː	-	0.427
ə	-	0.425
eː	-	0.386
ɔː	-	0.383
ɔː	i	0.37
ɛ	ʃ	0.364
eː_́	ɛː	0.359
oː	aː	0.352
l	ʎ	0.337
ɛ	-	0.329
d	-	0.321
aː	a	0.321
ɛ	ɛ	0.307
iː	iː	0.307
eː	æ	0.273
iː	uː	0.267
ɔː	æ	0.247
aː	aː	0.238
oː_́	s	0.232
k	s	0.199
s	s_s	0.196
t	-	0.169
eː	æː	0.141
eː	a	0.141
ʋ	-	0.102
eː	ai̯	0.059
ə	e	0.054
