Macedonian	Polish	probability
ˈɛ_ɫ	ˈa_w	1.0
ˈu	ˈu	1.0
ˈo_r	ˈɔ_ʐ	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɫ_#>	l_#>	1.0
ɡ	ɡ	1.0
ɛ_#>	#>	1.0
u	ɛ	1.0
r	r	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	ɨ	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_t	<#_ʨ	1.0
<#	<#_x	1.0
v	v	0.895
ɫ	w	0.85
p	p	0.846
o	ɔ	0.846
a	a	0.818
#>	ɨ_#>	0.812
d	d	0.688
t	t	0.682
n	n	0.647
ˈr̩	ˈa_r	0.6
s	s	0.6
f	f	0.6
ˈi	ˈɨ	0.556
ˈa	ˈɔ	0.529
ɛ	ɛ	0.5
ˈo	ˈɔ	0.474
ˈi	ˈi	0.444
ˈɛ	ˈɛ	0.424
ˈr̩	ˈɛ_r	0.4
s	ɕ	0.4
f	x	0.4
z	ʑ	0.375
z	z	0.375
n	ɲ	0.353
ˈo	ˈu	0.316
d	ʥ	0.312
z	w̃_z	0.25
ɛ	j	0.222
#>	i_#>	0.188
ˈɛ	j_ˈa	0.182
t	ɲ_ʨ	0.182
ˈa	ˈɛ	0.176
ˈa	ˈa	0.176
ɛ	ʨ	0.167
p	m_p	0.154
o	-	0.154
ɫ	l	0.15
t	ʨ	0.136
ˈɛ	j_ˈɛ	0.121
ˈa	ˈu	0.118
ɛ	ˈɔ	0.111
ˈo	ˈɛ	0.105
ˈo	ɔ	0.105
v	f	0.105
ˈɛ	ˈɔ	0.091
a	ɔ	0.091
a	-	0.091
ˈɛ	ˈa	0.061
ˈɛ	ɛ	0.061
ˈɛ	j	0.061
