Mainland North Frisian	Old English	probability
ˈɔ	ˈo	1.0
ˈœi̯	ˈoː	1.0
ˈu	-	1.0
ˈeː_v	bː	1.0
ˈai̯	-	1.0
ʃ	ʃ	1.0
ʀ_n	r_n	1.0
ɣ̥	e	1.0
ɛi̯	iːy̯	1.0
ə_n	n	1.0
ç	-	1.0
z̥	θ	1.0
w	ɑ	1.0
v_ˈʊ	w	1.0
tʲ	t	1.0
t_ə	t_o	1.0
s	s	1.0
l_ə	ɫ	1.0
j_ˈa	ˈeo̯	1.0
h	h	1.0
dʲ	d	1.0
b	b	1.0
m	m	0.977
ʀ	r	0.92
f	f	0.916
d̥	d	0.854
p	p	0.833
ɡ	ɡ	0.803
l	l	0.788
i	i_j	0.788
t	t	0.745
v	w	0.734
ˈyː	ˈæːɑ̯	0.712
ˈaː	ˈu	0.699
k	k	0.661
ŋ	ŋ_ɡ	0.656
ˈɛː	-	0.648
nʲ	n	0.625
n	n	0.59
ˈœː	-	0.564
ˈeː	-	0.559
ˈɛ	ˈeː	0.554
ˈɔː	-	0.547
ˈuː	ˈæːɑ̯	0.544
ˈʏ	ˈuː	0.533
ˈɔu̯	ˈoː	0.502
x	ç	0.5
x	x	0.5
lʲ	ɫ_d	0.5
lʲ	ɫ	0.5
ˈʊ	ˈu	0.464
ˈi	ˈiː	0.452
ˈœ	-	0.451
ˈɛ	-	0.446
ˈœː	ˈuː	0.436
z	t	0.432
ˈɒ	-	0.408
ˈɛi̯	-	0.399
j	-	0.383
nʲ	n_d	0.375
ˈiː	ˈeːo̯	0.374
ə	ɑ_n	0.368
ˈɛi̯	ˈeː	0.356
ˈɛː	ˈe	0.352
ˈɔː	ˈo	0.338
ˈɒː	ˈæ	0.334
z	z	0.333
ˈœ	ˈɑ	0.328
ˈi	ˈi	0.328
ˈiː	ˈɑː	0.32
j	j	0.317
ˈʊ	-	0.304
ˈɒ	ˈe	0.304
k	ʧ	0.303
ˈaː	ˈi	0.301
j	ɣ	0.3
ˈʏ	-	0.294
ˈyː	-	0.288
ˈa	-	0.287
ˈa	ˈæɑ̯	0.266
ə	e	0.265
ˈɔu̯	-	0.252
ˈɒː	ˈɑ	0.251
ˈɒː	-	0.247
ˈɔu̯	ˈo_v	0.246
ˈɛi̯	ˈæː	0.245
z	-	0.234
ˈuː	w	0.224
ˈœ	ˈoː	0.221
ˈi	-	0.22
n	n_d	0.214
l	ɫ	0.212
i	iː	0.212
t	θ	0.206
d	ð	0.206
d	t	0.206
ɡ	j	0.197
ˈeː	ˈe	0.195
ˈeː	ˈy	0.185
ˈa	ˈi	0.181
ŋ	-	0.181
d	ʤː	0.177
d	d	0.177
ə	o	0.176
ˈʊ	ˈi	0.174
ˈʏ	ˈeːo̯	0.173
ˈɒː	ˈæː	0.167
p	pː	0.167
ŋ	ŋ	0.164
ˈiː	ˈiːy̯	0.157
v	v	0.157
d	θ	0.155
d̥	-	0.146
ˈɒ	ˈi	0.145
ˈɒ	ˈæɑ̯	0.142
ˈuː	-	0.136
ˈa	ˈe	0.134
ˈɔː	ˈeo̯	0.115
v	h_w	0.109
n	nː	0.108
ˈuː	ˈæɑ̯	0.095
ə	-	0.085
f	-	0.084
ˈa	ˈu	0.077
d	dː	0.077
ə	ɑ	0.068
ˈeː	ˈɛ	0.061
n	n_e	0.058
ˈʊ	w_ˈu	0.057
ˈa	ˈeːo̯	0.055
ˈiː	ˈæː	0.053
