Swabian	Alsatian	probability
a	ə	0.925
a	-	0.066
b	b̥	0.843
b	v	0.085
b̥͡f	p͡f	1.0
d	t	0.522
d	d̥	0.446
eə̯	eː	1.0
f	f	1.0
h	h	0.947
h	-	0.053
i	i	1.0
j	j	1.0
kʰ	kʰ	1.0
l	l	1.0
m	m	0.99
n	n	1.0
s	s	1.0
t	t	1.0
x	x	0.889
x	ʃ	0.111
ç	ʃ	0.529
ç	i_ʃ	0.471
ŋ	ŋ	0.912
ŋ	n	0.088
ɡ	j	0.383
ɡ	ɡ̊	0.327
ɡ	k	0.146
ɡ	-	0.082
ɡ	v	0.052
ɪ	i	1.0
ʁ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.842
ʋ	w	0.158
ʌ	ə	0.71
ʌ	-	0.29
ʕ	ʁ	1.0
ʣ	ʦ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.86
ˈa	ˈɒː	0.076
ˈa	ˈeː	0.064
ˈae̯	ˈi	0.685
ˈae̯	ˈiː	0.144
ˈae̯	ˈai̯	0.104
ˈae̯	ˈəi̯	0.053
ˈao̯	ˈyː	0.569
ˈao̯	ˈʊː	0.199
ˈao̯	ˈɔi̯	0.06
ˈao̯	ˈøi̯	0.051
ˈaː	ˈɒː	0.425
ˈaː	ˈɒ	0.307
ˈaː	ˈaː	0.268
ˈe	ˈi	0.866
ˈe	ˈe	0.134
ˈeə̯	ˈeː	0.571
ˈeə̯	ˈiː	0.278
ˈeə̯	ˈæː	0.151
ˈeː	ˈeː	0.581
ˈeː	ˈi	0.293
ˈeː	ˈæː	0.126
ˈi	ˈi	0.62
ˈi	ˈe	0.179
ˈi	ˈiː	0.135
ˈi	ˈeː	0.066
ˈiə̯	ˈiː	0.821
ˈiə̯	ˈaː	0.179
ˈiː	ˈiː	0.656
ˈiː	ˈi	0.344
ˈo	ˈu	0.647
ˈo	ˈo	0.243
ˈo	ˈoː	0.11
ˈoː	ˈoː	0.621
ˈoː	ˈʊː	0.166
ˈoː	ˈu	0.099
ˈoː	ˈø	0.081
ˈu	ˈu	0.924
ˈu	ˈøː	0.076
ˈuə̯	ˈʊː	1.0
ˈuː	ˈøː	1.0
ˈɔ	ˈo	0.445
ˈɔ	ˈu	0.43
ˈɔ	ˈoː	0.125
ˈɔe̯	ˈəi̯	1.0
ˈɔə̯	ˈʊː	1.0
ˈɔː	ˈoː	0.728
ˈɔː	ˈɒ	0.162
ˈɔː	ˈɒː	0.109
ˈəi̯	ˈiː	0.76
ˈəi̯	ˈi	0.23
ˈɛ	ˈe	0.408
ˈɛ	ˈi	0.187
ˈɛ	ˈɛ	0.142
ˈɛ	ˈæ	0.132
ˈɛ	ˈɒ	0.082
ˈɛː	ˈæː	0.421
ˈɛː	ˈæ	0.396
ˈɛː	ˈɛ	0.183
ˈɪ	ˈi	1.0
ˈʌ	ˈiː	0.5
ˈʌ	ˈæ	0.5
