Swabian	Alsatian	probability
a	ə	0.905
a	-	0.093
b	b̥	0.862
b	v	0.083
b	-	0.055
b̥	p	0.251
b̥͡f	p͡f	0.501
d	t	0.568
d	d̥	0.403
e	-	1.0
f	f	1.0
h	h	1.0
i	i	0.501
j	j	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	1.0
m	m	0.956
m	e	0.049
n	n	1.0
p͡f	p͡f	0.501
s	s	1.0
t	t	1.0
x	x	0.857
x	ʃ	0.124
ç	ʃ	0.591
ç	i_ʃ	0.403
ŋ	ŋ	1.0
ɐ	i	0.251
ə	-	1.0
ɡ	ɡ̊	0.373
ɡ	k	0.205
ɡ	-	0.174
ɡ	j	0.107
ɡ	v	0.08
ɪ	i	1.0
ʁ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.831
ʋ	w	0.166
ʌ	ə_ʁ	0.82
ʌ	-	0.169
ʕ	ʁ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.856
ˈa	ˈɒː	0.143
ˈae̯	ˈei̯	0.223
ˈae̯	ˈiː	0.211
ˈae̯	ˈi	0.17
ˈae̯	ˈəi̯	0.102
ˈae̯	ˈai̯	0.096
ˈao̯	ˈyː	0.499
ˈao̯	ˈʊː	0.163
ˈao̯	ˈɔi̯	0.107
ˈao̯	ˈoː	0.084
ˈao̯	ˈœ	0.066
ˈaː	ˈɒː	0.544
ˈaː	ˈaː	0.237
ˈaː	ˈɒ_n	0.206
ˈe	ˈi	0.684
ˈe	ˈe	0.291
ˈeə̯	ˈiː	0.361
ˈeə̯	ˈæː	0.361
ˈeə̯	ˈeː	0.208
ˈeː	ˈeː	0.436
ˈeː	ˈæː	0.315
ˈeː	ˈi	0.19
ˈi	ˈi	0.621
ˈi	ˈiː	0.194
ˈi	ˈe	0.087
ˈi	ˈeː	0.087
ˈiə̯	ˈiː	1.0
ˈiː	ˈi	0.251
ˈo	ˈo	0.484
ˈo	ˈu	0.447
ˈo	ˈoː	0.064
ˈoː	ˈoː	0.586
ˈoː	ˈu	0.122
ˈoː	ˈʊː	0.122
ˈoː	ˈo	0.091
ˈoː	ˈø	0.071
ˈu	ˈu	0.815
ˈu	ˈøː	0.151
ˈuə̯	ˈʊː	1.0
ˈuː	ˈøː	1.0
ˈɔ	ˈo	0.646
ˈɔ	ˈoː	0.158
ˈɔ	ˈu	0.111
ˈɔe̯	ˈəi̯	0.814
ˈɔe̯	ˈəi̯_n	0.176
ˈɔə̯	ˈʊː	1.0
ˈɔː	ˈoː	0.572
ˈɔː	ˈɒ	0.267
ˈɔː	ˈɒː	0.153
ˈəi̯	ˈiː	0.706
ˈəi̯	ˈi	0.156
ˈəi̯	ˈei̯	0.081
ˈɛ	ˈe	0.407
ˈɛ	ˈɛ	0.144
ˈɛ	ˈæ	0.109
ˈɛ	ˈɒ	0.109
ˈɛ	ˈi	0.103
ˈɛː	ˈæː	0.5
ˈɛː	ˈæ	0.392
ˈɛː	ˈɛ	0.086
ˈɪ	ˈi	1.0
ˈʌ	ˈiː	0.219
ˈʌ	ˈæ	0.055
