Xiang	Xiang	probability
⁴⁵	²¹³	1.0
⁴¹	⁵³	1.0
ʦʰ	ʦʰ	1.0
ʐ	z	1.0
ʂ	s_ɛ	1.0
ə_w	u	1.0
ɕ	ɕ	1.0
ɒ	a	1.0
æ	-	1.0
¹³	²¹	1.0
³³	⁵⁵	1.0
²⁴	²¹	1.0
²¹	²¹³	1.0
z̩	z̩	1.0
x	x	1.0
w	w	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
nʲ	nʲ	1.0
m	m	1.0
l̃	n	1.0
kʰ	kʰ	1.0
k	k	1.0
i	i	1.0
e	e	1.0
a_²⁴	a_²¹	1.0
a	a	1.0
<#_ŋ	<#_ŋ	1.0
<#_l	<#_n	1.0
j	j	0.885
ɸ	f	0.8
ɤ	ɛ	0.778
o	o	0.778
ʨʰ	ʨʰ	0.75
ʦ	ʦ	0.75
ʨ	ʨ	0.714
t	t	0.714
p	p	0.714
ə	ə	0.68
u	u	0.667
n	n	0.614
ɥ	ɥ	0.6
y	y	0.556
ẽ	ɛ_n	0.5
ẽ	a_n	0.5
ɥ	-	0.4
n	ŋ	0.386
u	v_u	0.333
ə	o	0.32
ʨ	-	0.286
t	tʰ	0.286
p	pʰ	0.286
ʨʰ	ʦʰ_w	0.25
ʦ	ʦʰ	0.25
ɤ	ɚ	0.222
y	u	0.222
y	-	0.222
o	u	0.222
ɸ	x_w	0.2
j	ɥ	0.115
