Old Frisian	Mecklenburgisch-Vorpommersch	probability
θ	d	1.0
ˈoː	ˈaʊ̯	1.0
ˈe_r	ˈaː	1.0
ˈa_r	ˈaː	1.0
ʦ	kʰ	1.0
ʣ	ŋ	1.0
ɣ_ə	ç	1.0
ɡː	ç	1.0
ə_r	æ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	ɾ	1.0
v_ə	m	1.0
v	v̥	1.0
tː	t	1.0
s_w	z	1.0
s_k	ʃ	1.0
r_ə	æ	1.0
r_n	æ_n	1.0
pː	p	1.0
n_t	n_t	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	-	1.0
k_ə	k	1.0
k_s	s	1.0
k	k	1.0
j_ə	n	1.0
iː	ae̯	1.0
i	ɪ	1.0
h_w	v	1.0
h_r	r	1.0
h_l	l	1.0
h	h	1.0
f	f	1.0
e	-	1.0
dː	ɾ	1.0
bː	b	1.0
b	b	1.0
a	n	1.0
t	t	0.886
ˈiː	ˈiː	0.823
p	p	0.796
w	v	0.793
ˈuː	ˈuː	0.778
d	d̥	0.765
ɡ	ɡ	0.763
d_ə	ɾ	0.737
ˈi	ˈɪ	0.731
j	-	0.72
ˈa	ˈa	0.717
z	z̥	0.709
ə	-	0.708
ˈi̯aː	ˈae̯	0.69
ˈɛː	ˈae̯	0.605
nː_ə	n	0.562
ˈu	ˈʊ	0.545
ˈi̯uː	ˈyː	0.541
r	æ	0.468
ˈi̯uː	-	0.459
x	ç	0.456
s	z	0.452
x	x	0.44
nː_ə	n_n	0.438
ɣ	ŋ	0.419
ɣ	ɡ	0.372
r	r	0.367
ˈɔː	ˈa	0.357
ˈaː	ˈaʊ̯	0.342
ˈo	-	0.333
ˈi̯aː	-	0.31
ˈɔː	ˈuː	0.309
ˈo	ˈœː	0.3
ˈeː	ˈɔʏ̯	0.3
ˈɛː	-	0.296
z	-	0.291
j	ɡ	0.28
s	ʃ	0.277
ˈaː	-	0.271
s	s	0.271
ˈeː	ˈoː	0.268
d_ə	n	0.263
ˈe	ˈɛ	0.257
ˈo	ˈɔ	0.245
ˈeː	-	0.244
ɡ	j	0.237
ˈɔː	ˈɒː	0.214
ˈaː	ˈoː	0.212
ɣ	ɣ	0.209
w	w	0.207
p	-	0.204
ˈu	-	0.197
ˈeː	ˈɒː	0.189
ˈe	ˈʏ	0.179
ˈaː	ˈae̯	0.174
ə	n	0.173
d	d	0.167
ˈu	ˈœː	0.146
ˈe	ˈa	0.142
ˈe	-	0.141
ˈiː	-	0.125
ˈa	ˈɒː	0.125
ˈo	ˈʊ	0.122
ˈɔː	-	0.119
t	-	0.114
ˈu	ˈɔ	0.112
ˈuː	ˈʊ_n	0.111
ˈuː	-	0.111
ˈe	ˈoː	0.108
x	-	0.104
ˈi	-	0.101
ˈɛː	ˈɪ	0.099
ˈa	ˈɔ	0.08
ˈa	-	0.078
r	-	0.078
ˈi	ˈɛ	0.074
d	t	0.069
ˈe	ˈɛː	0.065
ˈiː	ˈɛɪ̯	0.052
r	ˈiː_æ	0.052
