Gallurese	Gallurese	probability
ʦ	ʦ	1.0
ʣ	ɲ	1.0
ʃː	ʃ_t	1.0
ɲː	ʤ	1.0
ɟː	ʦ_ˈɔ	1.0
ɟ	z	1.0
z	s	1.0
u_#>	#>	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r	r	1.0
pː	p	1.0
o	u	1.0
nː	n	1.0
n_u_#>	n_#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
kː	k	1.0
k_u_#>	k_#>	1.0
k	k	1.0
f	f	1.0
c	ʎ_ˈe	1.0
bː	b_ˈi	1.0
b	b	1.0
a_r	i_r	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
v	v	0.875
p	p	0.846
a	ə	0.815
ˈu	ˈu	0.8
d	d	0.778
ʧ	ʦ	0.75
l	r	0.75
i	i	0.727
ˈa	ˈa	0.72
ɡ	ɡ	0.625
tː	p_t	0.625
ŋ	-	0.6
j	-	0.6
cː	k_ʎ	0.6
ˈɔ	ˈo	0.588
ˈo	ˈu	0.571
ˈi	ˈi	0.5
u	u	0.5
<#	<#_w	0.5
ɖː	-	0.444
ˈɛ	ˈe	0.429
ˈo	o̯ˈa	0.429
ŋ	ŋ	0.4
u	i	0.4
j	l	0.4
cː	ʎ	0.4
ɡ	-	0.375
tː	t	0.375
ˈi	e̯ˈa	0.357
ˈɛ	ˈi	0.333
ɖː	l	0.333
ˈe	ˈa	0.273
ˈe	i	0.273
ˈe	e̯ˈa	0.273
ʧ	-	0.25
l	l	0.25
<#	<#_n	0.25
<#	<#_k	0.25
ˈɔ	o̯ˈa	0.235
ɖː	ʎ	0.222
d	z	0.222
ˈu	ˈo	0.2
ˈa	ˈɔ	0.2
ˈe	-	0.182
ˈɔ	ˈu_k	0.176
p	kʲ	0.154
ˈɛ	ˈa	0.143
ˈi	-	0.143
v	ɔ	0.125
i	-	0.121
a	u	0.111
u	n	0.1
ˈɛ	-	0.095
i	ə	0.091
ˈa	ˈɔ_j	0.08
a	-	0.074
i	w_ə	0.061
