Gascon	Gascon	probability
ˈɛ_t	ˈɛ_ɖː	1.0
ˈy	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_t	ˈi_tː	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa_i	1.0
ˈa_#>	ˈa_#>	1.0
ʤ	d	1.0
ʃ	-	1.0
ɲ	ɲː	1.0
ɔ_#>	#>	1.0
t_ɔ	t_a	1.0
s_ˈa	s_ˈa	1.0
s_e	s_i	1.0
p_ˈu	p_u	1.0
p	p	1.0
n_d	nː	1.0
n	n	1.0
m_u	m_u	1.0
l_ˈe	l_ˈi	1.0
k_l	c	1.0
k_a	k_a	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ˈe	1.0
j_ʃ	ʃː	1.0
j_t	tː_i	1.0
h	f	1.0
f	fː	1.0
b_ˈa	b_ˈa	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a_r	<#_r	1.0
ˈa	ˈa	0.952
ɔ	a	0.917
k	k	0.905
ˈi	ˈi	0.895
m	m	0.833
ɡ	ɡ	0.778
ˈɔ	ˈɔ	0.765
#>	u_#>	0.753
ʦ	ʧ_i	0.75
ɣ	ɡ	0.75
<#_ˈa	<#_ˈa	0.75
s	s	0.719
<#_a	<#_a	0.714
ɾ	r	0.667
u	u	0.667
s_#>	#>	0.667
j	-	0.667
i	i	0.625
ˈe	ˈɛ	0.6
ʒ	ɟ	0.6
z	z	0.6
n_#>	n_t_u_#>	0.571
e_#>	ˈi_#>	0.571
ʎ	cː	0.556
w_ˈe	ˈɔ	0.556
ð	t	0.545
ŋ	n	0.538
b	v	0.533
t	t	0.515
r	l	0.474
b	b	0.467
ð	d	0.455
w_ˈe	ˈo	0.444
n_#>	n_t_i_#>	0.429
e_#>	#>	0.429
l	j	0.412
ˈu	ˈɔ	0.406
ˈɛ	ˈe	0.4
z	j	0.4
i	u	0.375
e	i	0.368
l	l	0.353
ˈu	ˈu	0.344
s_#>	i_#>	0.333
r	r	0.316
t	tː	0.303
<#_a	<#	0.286
ŋ	ŋ	0.269
β	b	0.267
β	-	0.267
ʦ	-	0.25
ɣ	k	0.25
u	o	0.25
<#_ˈa	<#	0.25
w	u	0.241
ˈɛ	ˈɛ	0.24
ˈɛ	ˈa	0.24
e	-	0.237
l	ɖː	0.235
ʎ	ɖː	0.222
ʎ	-	0.222
ɡ	ɟ	0.222
r	rː	0.211
w	-	0.207
β	p	0.2
ʒ	ɟː	0.2
ʒ	-	0.2
j	ˈe	0.2
#>	i_#>	0.2
ŋ	n_i	0.192
ˈu	ˈo	0.188
w	l_u	0.172
w	l	0.172
ˈe	ˈi	0.171
m	mː	0.167
ɾ	a_r	0.152
β	p_a	0.133
β	a	0.133
j	j	0.133
s	sː	0.125
ɾ	-	0.121
t	ɖː	0.121
ˈɛ	-	0.12
ˈɔ	ˈɔ_l	0.118
ˈɔ	ˈo	0.118
ˈi	ˈi_n	0.105
e	ˈe	0.105
e	u	0.105
e	r_u	0.105
s	ʧː	0.094
ˈe	ˈe	0.086
ˈe	i	0.086
u	ɔ	0.083
e	a	0.079
w	ˈo	0.069
w	l_i	0.069
w	i	0.069
ˈu	ˈɔ_r	0.062
s	p	0.062
ɾ	ɖː	0.061
t	d_u	0.061
ˈe	-	0.057
