Bavarian	Bavarian	probability
β	v	1.0
ˈɑː	-	1.0
ˈoɐ̯	ˈeː	1.0
ˈou̯	ˈəʊ̯	1.0
ˈo_ɐ	ˈaː	1.0
ˈiː	-	1.0
ˈiɐ̯	ˈɜɪ̯	1.0
ˈeɐ̯	-	1.0
ˈai̯_#>	ˈæːɪ̯_#>	1.0
ʦ	ʦ	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɡ̊_l	l	1.0
ɡ̊_a	k	1.0
ə	-	1.0
ɐ_n	ʀ	1.0
ç	ɕ	1.0
n_d̥	n_ə	1.0
l	l	1.0
kʰ	kʰ	1.0
j_#>	l_#>	1.0
i	ə_ɕ	1.0
h	h	1.0
f	f	1.0
eɐ̯	e_ŋ	1.0
d̥_a	ɐ	1.0
d̥_#>	#>	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_s	<#_z	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d̥	<#_d	1.0
r	ʀ	0.926
m	m	0.867
n	n	0.844
ˈɑ	ˈaː	0.727
ɐ	ɐ	0.722
ʋ	v	0.696
ˈau̯	ˈæːʊ̯	0.667
ˈa	ˈɑ	0.667
ˈaː	ˈaː	0.625
x	ɕ	0.625
#>	n_#>	0.625
ˈoː	-	0.6
j	l_ə	0.6
ˈai̯	ˈæːɪ̯	0.588
ɡ̊	k	0.583
ɡ̊_#>	#>	0.571
a	ɐ	0.564
ˈɒː	ˈaː	0.5
ŋ	ŋ	0.5
b̥͡v̥	pʰ	0.5
b̥͡v̥	-	0.5
s	s	0.469
d̥	d̥	0.462
ɡ̊_#>	ɕ_#>	0.429
d̥	t	0.404
ˈoː	ˈəʊ̯	0.4
ˈeː	ˈɜɪ̯	0.4
j	l	0.4
ˈo	ˈo	0.375
ˈaː	-	0.375
x	χ	0.375
#>	ɐ_#>	0.375
ˈi	ˈɑ	0.37
a	ə_n	0.359
ˈɒː	ˈoː	0.333
ˈau̯	-	0.333
ˈa	-	0.333
ŋ	ə_n	0.333
ˈu	-	0.318
ʋ	w	0.304
ˈuɐ̯	ˈʊ	0.3
ˈuɐ̯	ˈəʊ̯	0.3
ˈi	ˈə	0.296
ˈai̯	ˈɑɪ̯	0.294
s	z̥	0.281
ˈɑ	-	0.273
ˈeː	-	0.267
ɡ̊	-	0.25
ˈu	ˈo	0.227
ˈe	ˈɛː	0.211
ˈe	ˈɛ	0.211
ˈe	ˈiə̯	0.211
ˈo	ˈɑ	0.208
ˈo	ˈaː	0.208
ˈuɐ̯	ˈu	0.2
ˈuɐ̯	-	0.2
ˈeː	ˈiː	0.2
ˈu	ˈu	0.182
ˈu	ˈe	0.182
ˈɒː	-	0.167
ɡ̊	ɡ̊	0.167
ɐ	-	0.167
ŋ	n	0.167
ˈe	ˈə	0.158
ˈi	ˈiː	0.148
ˈeː	ˈiə̯	0.133
m	n	0.133
ˈo	-	0.125
s	s_ə	0.125
ˈai̯	ˈeː	0.118
ˈi	-	0.111
ɐ	ʀ	0.111
n	-	0.111
ˈe	ˈiː	0.105
ˈe	-	0.105
ˈu	ˈɔ	0.091
ˈo	ˈuə̯	0.083
d̥	d	0.077
a	-	0.077
ˈi	ˈi	0.074
r	-	0.074
s	z	0.062
s	-	0.062
d̥	d_ə	0.058
