Icelandic	Northern Low Saxon	probability
a	-	0.656
a	n	0.305
a	m	0.037
a	ŋ	0.033
b̥	b	0.956
b̥	-	0.052
c	ʃ	0.589
c	k	0.16
c	ɡ	0.122
cʰ	kʰ	1.0
d̥	d	0.893
d̥	t	0.102
d̥_ʏ	d	1.0
f	f	1.0
h	h	0.985
h	-	0.037
i	n	0.5
j	-	0.551
j	ˈɛ	0.182
j	ˈɪ	0.124
j	ˈaɪ̯	0.1
j_a	n	1.0
j_ˈoːu̯	ˈaɪ̯	0.596
j_ˈoːu̯	ˈeɪ̯	0.275
j_ˈuː	ˈaɪ̯	1.0
k	ɡ	0.809
k	-	0.187
kʰ	kʰ	0.57
kʰ	-	0.389
l	l	0.928
l	-	0.07
l̥	l	1.0
m	m	1.0
m_ʏ	m	1.0
n	n	0.937
n	t	0.042
n	-	0.038
nː	n	0.899
nː	-	0.083
n̥	-	0.393
n̥	m	0.334
n̥	n	0.167
p	-	0.425
p	b	0.37
p	p	0.115
p_ʏ	b	1.0
r	r	0.545
r	ɐ	0.243
r	-	0.126
r	ˈɔ	0.042
r	s	0.04
r_t	ɐ	1.0
rː̥	ç	0.5
r̥	-	0.872
r̥	ɐ	0.074
r̥	ç	0.032
s	s	0.363
s	z	0.311
s	ʃ	0.198
s	-	0.095
s	ç	0.033
s_k	ʃ	1.0
s_t	s	1.0
sː	s	0.125
t	d	0.42
t	t	0.287
t	-	0.28
t_n̥	n	1.0
t_ʏ	d	1.0
tʰ	tʰ	1.0
u	i	0.5
u	ˈɪ	0.5
v	v	0.816
v	-	0.123
v	s	0.051
v	b	0.036
v_a	m	1.0
v_ʏ	f	1.0
x	ɡ	0.5
x	-	0.5
ç	h	1.0
ð	d	0.796
ð	-	0.198
ŋ	ŋ	0.715
ŋ	-	0.203
ŋ	n	0.07
ɑu̯	ɪ	1.0
ɛ	m	0.574
ɛ	-	0.287
ɛː	ɪ	1.0
ɟ̊	ɡ	0.506
ɟ̊	-	0.362
ɟ̊	ç	0.088
ɡ̊	-	0.516
ɡ̊	ɡ	0.385
ɡ̊	ç	0.051
ɡ̊	ŋ	0.042
ɡ̊	x	0.034
ɡ̊_ʏ	ɪ	1.0
ɣ	x	0.488
ɣ	d	0.28
ɣ	ç	0.175
ɣ_ʏ	ç	1.0
ɪ	ɐ	0.566
ɪ	-	0.427
ɲ	ŋ	0.5
ʏ	-	0.956
ʏ	l	0.047
ʏ_r̥	ç	1.0
ʰk	ɡ	0.871
ʰk	k	0.076
ʰp	b	0.5
ʰt	-	0.287
ʰt	x	0.25
ʰt	x_d	0.25
ʰt	v	0.143
ʰt	d	0.056
ˈa	ˈa	0.43
ˈa	ˈaʊ̯	0.156
ˈa	ˈoː	0.094
ˈa	ˈɔ	0.09
ˈa	ˈɛɪ̯	0.074
ˈa_r	ˈaː	1.0
ˈa_r̥	ˈa	0.5
ˈai̯	ˈʏ	0.402
ˈai̯	ˈɔʏ̯	0.175
ˈaː	ˈa	0.533
ˈaː	ˈoː	0.33
ˈaː	ˈɛ	0.103
ˈaːi̯	ˈɔʏ̯	0.265
ˈaːi̯	ˈa	0.185
ˈaːi̯	ˈaʊ̯	0.175
ˈaːi̯	ˈeː	0.122
ˈaːu̯	ˈaʊ̯	0.574
ˈaːu̯	ˈoː	0.287
ˈeːi̯	ˈɔʏ̯	0.574
ˈeːi̯	j	0.287
ˈi	ˈɪ	0.691
ˈi	ˈyː	0.142
ˈi	ˈøː	0.098
ˈiː	ˈiː	0.579
ˈiː	ˈyː	0.123
ˈiː	ˈɪ	0.081
ˈiː	ˈaɪ̯	0.069
ˈiː	ˈaʊ̯	0.065
ˈou̯	ˈʊ	0.225
ˈou̯	ˈœ	0.225
ˈou̯	ˈɔʏ̯	0.13
ˈoːu̯	ˈaʊ̯	0.625
ˈoːu̯	-	0.22
ˈoːu̯	ˈuː	0.093
ˈoːu̯	ɐ	0.052
ˈu	ˈʊ	0.618
ˈu	-	0.211
ˈu	ˈyː	0.139
ˈuː	ˈuː	1.0
ˈœ	ˈoː	0.478
ˈœ	ˈa	0.158
ˈœ	ˈeː	0.158
ˈœ	-	0.104
ˈœy̯	ˈɔʏ̯	1.0
ˈœː	ˈaɪ̯	0.231
ˈœː	ˈøː	0.231
ˈœː	ə	0.231
ˈœː	ˈɔ	0.048
ˈœːy̯	ˈaʊ̯	0.823
ˈœːy̯	ˈoː	0.171
ˈɑu̯	ˈa	0.805
ˈɑu̯	ˈaː	0.158
ˈɑːu̯	ˈoː	0.728
ˈɑːu̯	ˈeː	0.193
ˈɑːu̯	ˈaʊ̯	0.063
ˈɔ	ˈaʊ̯	0.492
ˈɔ	ˈɔː	0.133
ˈɔ	ˈoː	0.133
ˈɔ	ˈɔ	0.092
ˈɔ	ˈʊ	0.066
ˈɔu̯	ˈa	0.297
ˈɔu̯	-	0.185
ˈɔu̯	ˈɔ	0.185
ˈɔu̯	ˈaʊ̯	0.185
ˈɔː	ˈøː	0.25
ˈɛ	ˈɪ	0.264
ˈɛ	ˈeː	0.148
ˈɛ	ˈa	0.112
ˈɛ	-	0.085
ˈɛ	ˈœː	0.085
ˈɛi̯	ˈaɪ̯	0.218
ˈɛi̯	ˈɛɪ̯	0.218
ˈɛː	ˈiː	0.231
ˈɛː	ˈeː	0.201
ˈɛː	ˈɛ	0.201
ˈɛː	-	0.153
ˈɛː	ˈoː	0.095
ˈɛːi̯	ˈaʊ̯	0.354
ˈɛːi̯	ˈaɪ̯	0.203
ˈɛːi̯	ˈɔʏ̯	0.14
ˈɛːi̯	ˈɪ	0.134
ˈɛːi̯	-	0.044
ˈɪ	ˈɪ	0.536
ˈɪ	ˈʏ	0.178
ˈɪ	ˈaʊ̯	0.117
ˈɪ	ˈɔ	0.087
ˈɪ	ˈaː	0.066
ˈɪː	ˈɪ	0.425
ˈɪː	ˈeː	0.28
ˈɪː	ˈiː	0.28
ˈʏ	ˈʊ	0.348
ˈʏ	ˈuː	0.224
ˈʏ	ˈoː	0.109
ˈʏ	ˈɔʏ̯	0.106
ˈʏ	ˈœː	0.08
ˈʏ_t	ˈʊ	1.0
ˈʏː	ˈʏ	0.263
ˈʏː	ˈaɪ̯	0.173
ˈʏː	ˈɔ	0.151
ˈʏː	ˈeː	0.151
ˈʏː	ˈyː	0.1
θ	d	1.0
