Icelandic	Northern Low Saxon	probability
a	n	0.757
a	m	0.084
a	ŋ	0.062
aːu̯	aɪ̯	1.0
b̥	b	0.95
b̥	-	0.05
c	ʃ	0.561
c	k	0.258
c	ɡ	0.181
cʰ	kʰ	1.0
d̥	d	0.859
d̥	-	0.106
f	f	1.0
h	h	0.923
h	-	0.077
i	-	1.0
j	-	0.528
j	ˈaɪ̯	0.292
j	ˈɛ	0.075
k	ɡ	0.694
k	-	0.253
k	k	0.053
kʰ	kʰ	0.761
kʰ	-	0.239
l	l	0.909
l	-	0.091
l̥	l	1.0
m	m	0.894
m	-	0.106
n	n	0.899
n	-	0.07
nː	n	0.942
nː	-	0.058
n̥	-	0.758
n̥	kʰ	0.19
n̥	n	0.052
p	b	0.504
p	p	0.276
p	m	0.219
pʰ	pʰ	1.0
r	r	0.437
r	ɐ	0.251
r	-	0.245
rː̥	ç	1.0
r̥	-	0.837
r̥	ɐ	0.102
s	z	0.382
s	s	0.267
s	ʃ	0.217
s	-	0.129
sː	s	1.0
t	d	0.573
t	-	0.291
t	t	0.136
tʰ	tʰ	0.963
u	i	0.5
u	ˈɪ	0.5
v	v	0.699
v	f	0.137
v	b	0.068
v	-	0.052
x	ɡ	0.466
x	-	0.267
x	ç	0.267
ç	h	1.0
ð	d	0.723
ð	-	0.221
ð	t	0.056
ŋ	ŋ	0.609
ŋ	-	0.332
ŋ	n	0.059
ɑu̯	ɪ	1.0
ɛ	-	0.801
ɛ	m	0.199
ɛː	ɪ	1.0
ɟ̊	ɡ	0.782
ɟ̊	-	0.127
ɟ̊	j	0.09
ɟ̊ː	ç	0.801
ɟ̊ː	ŋ	0.199
ɡ̊	-	0.514
ɡ̊	ɡ	0.368
ɡ̊	x	0.052
ɡ̊ː	-	0.67
ɡ̊ː	ç	0.166
ɡ̊ː	ɡ	0.164
ɣ	ç	0.547
ɣ	x	0.429
ɪ	ɐ	0.91
ɪ	-	0.09
ɲ	ŋ	1.0
ʏ	-	0.983
ʰc	ɡ	1.0
ʰk	ɡ	0.898
ʰk	k	0.102
ʰp	b	1.0
ʰt	t	0.545
ʰt	x	0.163
ʰt	-	0.148
ʰt	d	0.132
ˈa	ˈa	0.464
ˈa	ˈɛɪ̯	0.154
ˈa	ˈaː	0.15
ˈa	ˈoː	0.114
ˈa	ˈɪ	0.062
ˈai̯	ˈʏ	0.817
ˈai̯	ˈɔʏ̯	0.183
ˈau̯	ˈoː	0.332
ˈau̯	ˈaː	0.243
ˈau̯	ˈœ	0.243
ˈau̯	ˈʏ	0.183
ˈaː	ˈa	0.451
ˈaː	ˈoː	0.311
ˈaː	ˈeɪ̯	0.123
ˈaː	ˈɛ	0.115
ˈaːi̯	ˈɔʏ̯	0.545
ˈaːi̯	ˈa	0.312
ˈaːi̯	ˈaʊ̯	0.072
ˈaːi̯	ˈeː	0.071
ˈaːu̯	ˈoː	0.673
ˈaːu̯	ˈaʊ̯	0.327
ˈeːi̯	ˈɔʏ̯	0.909
ˈeːi̯	ˈɪ	0.091
ˈi	ˈɪ	0.86
ˈi	ˈøː	0.089
