Campidanese	Campidanese	probability
ˈɔ_z	ˈo	1.0
ˈɔ_i	ˈo_w	1.0
ˈi_ɭː	ˈi	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ɲ	n_j	1.0
ɭː	-	1.0
ɣ_u_#>	k_#>	1.0
ɣ_u	kʲ	1.0
ɣ	k	1.0
ɛ	-	1.0
ɔ̆	-	1.0
ɔ_z	nʲ	1.0
ð	t	1.0
z_ŭ_#>	#>	1.0
z_u_#>	s_#>	1.0
ŭ_#>	j_#>	1.0
u_#>	#>	1.0
t_ɔ	ʦʲ	1.0
s_u_#>	s_#>	1.0
p_u_z_ŭ_#>	p_#>	1.0
p	p	1.0
o	u	1.0
nː	n	1.0
n_ʤ	m_n	1.0
n_u_#>	n_#>	1.0
m	m	1.0
l_u_#>	r_#>	1.0
l	r	1.0
k_ɾ	k	1.0
k_w	p	1.0
k	k	1.0
j	-	1.0
ĭ	-	1.0
i_ɾ	e_r	1.0
i_#>	#>	1.0
f	f	1.0
e	e	1.0
ă	-	1.0
a_ɾ	a_r	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_ʧ	1.0
<#_a_r	<#_r	1.0
n	n	0.865
ˈu	ˈu	0.815
i	e	0.782
z	-	0.778
t	t	0.75
s	s	0.75
ɡ	ɡ	0.714
#>	e_#>	0.714
a	ə	0.704
ˈo	ˈo	0.667
ʤ	ʤ	0.667
ʃ	ʃ_t	0.667
ɖː	l	0.667
ɔ	u	0.667
d	d	0.667
ɾ	r	0.633
β	b	0.6
ʒ	ʧ	0.6
r	r	0.6
ˈɔ	o̯ˈa	0.591
ˈi	ˈi	0.556
ŋ	ŋ	0.5
ŋ	-	0.5
b	b	0.5
<#	<#_z	0.5
<#	<#_j	0.5
ˈa	ˈa	0.465
b	v	0.423
β	p_r	0.4
r	r_n	0.4
ˈe	ˈe	0.333
ˈe	j_ˈe	0.333
ʤ	ʒ	0.333
ʃ	-	0.333
ɖː	-	0.333
ɔ	-	0.333
ˈɛ	ˈe	0.321
ɡ	-	0.286
#>	j_#>	0.286
ˈi	ˈe	0.278
u	ə	0.276
u	u	0.276
t	p_t	0.25
ˈo	ˈu	0.222
z	s	0.222
ˈɛ	ˈi	0.214
ˈa	ˈa_r	0.209
ʒ	ʦ	0.2
ʒ	ʃ	0.2
d	z	0.2
ˈu	ˈo	0.185
ˈɔ	ˈu	0.182
s	ʃ	0.179
u	w	0.172
u	-	0.172
ˈe	ˈi	0.167
ˈe	j	0.167
ˈa	ˈɨ	0.163
ɾ	-	0.143
ˈɔ	ˈo	0.136
n	-	0.135
d	-	0.133
ɾ	l	0.122
ˈo	-	0.111
ˈi	-	0.111
ˈɛ	ˈa	0.107
u	r	0.103
ɾ	e_r	0.102
a	a	0.093
i	-	0.092
ˈɔ	r	0.091
b	-	0.077
a	e	0.074
ˈɛ	ˈɨ	0.071
ˈɛ	j_ˈa	0.071
ˈɛ	e̯ˈa	0.071
ˈɛ	e_d	0.071
ˈɛ	-	0.071
s	-	0.071
ˈa	-	0.07
i	i	0.057
ˈi	ˈu	0.056
a	j_e	0.056
