Pennsylvania German	Northern Low Saxon	probability
b	b	1.0
d	d	0.874
d	l	0.065
d	t	0.037
d	tʰ	0.035
f	f	0.777
f	b	0.176
f	-	0.052
h	h	0.972
h	-	0.043
j	ʒ	0.441
j	ˈeɪ̯	0.253
j	ɡ	0.11
j	-	0.104
k	ɡ	0.421
k	ç	0.257
k	k	0.175
k	x	0.112
k_s	s	1.0
kʰ	kʰ	1.0
l	l	0.972
l	-	0.035
m	m	1.0
n	n	0.929
n	-	0.07
p	f	0.485
p	b	0.38
p	p	0.116
s	d	0.378
s	z	0.318
s	s	0.302
t	d	0.703
t	t	0.153
t	-	0.133
v	v	1.0
v_ə	m	1.0
x	x	0.645
x	ɡ	0.32
ç	ɡ	0.402
ç	ç	0.316
ç	-	0.17
ç	t	0.097
ç_t	ç	1.0
ŋ	ŋ	1.0
ɑ	ɐ	0.85
ɑ	-	0.076
ɑ	ə	0.044
ɑ	ˈɔʏ̯	0.039
ə	-	0.472
ə	n	0.466
ə	ŋ	0.034
ə	ɐ	0.033
ɡ	ɡ	0.916
ɡ	kʰ	0.081
ɣ	ɡ	0.33
ɣ	-	0.19
ɣ	ŋ	0.19
ɪ	-	0.45
ɪ	ɪ	0.361
ɪ	i	0.153
ɾ	r	0.83
ɾ	-	0.111
ɾ	ɐ	0.051
ʃ	ʃ	0.685
ʃ	s	0.311
ʋ	v	0.939
ʋ	ˈʏ	0.06
ʦ	tʰ	0.718
ʦ	d	0.278
ˈa	ˈa	0.542
ˈa	ˈoː	0.129
ˈa	ˈaʊ̯	0.09
ˈa	ˈɪ	0.076
ˈa	ˈaʊ̯_ɐ	0.067
ˈaɪ̯	ˈiː	0.471
ˈaɪ̯	ˈyː	0.186
ˈaɪ̯	ˈɪ	0.133
ˈaɪ̯	ˈʏ	0.061
ˈaɪ̯	ˈaɪ̯	0.055
ˈaʊ̯	ˈuː	0.718
ˈaʊ̯	ˈøː	0.14
ˈaʊ̯	ˈaʊ̯	0.106
ˈaʊ̯	ˈʊ	0.041
ˈaː	ˈaʊ̯_ɐ	0.267
ˈaː	ˈa	0.267
ˈaː	ˈaː	0.267
ˈaː	ˈɔ	0.106
ˈaː	ˈɔː	0.058
ˈeː	ˈaɪ̯	0.323
ˈeː	ˈɔʏ̯	0.18
ˈeː	ˈeɪ̯	0.13
ˈeː	ˈeː	0.113
ˈeː	ˈaɪ̯_n	0.099
ˈiː	ˈaɪ̯	0.588
ˈiː	ˈɔʏ̯	0.299
ˈiː	ˈeɪ̯	0.102
ˈoː	ˈaʊ̯	0.544
ˈoː	ˈoː	0.408
ˈoː	ˈøː	0.05
ˈuː	ˈaʊ̯	0.761
ˈuː	ˈuː	0.224
ˈɔ	ˈʊ	0.536
ˈɔ	ˈɔ	0.299
ˈɔ	ˈoː	0.131
ˈɔɪ̯	ˈaɪ̯	1.0
ˈɔː	ˈoː	0.349
ˈɔː	ˈaʊ̯	0.169
ˈɔː	ˈa	0.09
ˈɔː	ˈuː	0.068
ˈɔː	ˈeː	0.068
ˈɛ	ˈɛ	0.254
ˈɛ	ˈeː	0.182
ˈɛ	-	0.155
ˈɛ	ˈœː	0.117
ˈɛ	ˈœ	0.077
ˈɛː	ˈɛɪ̯	0.262
ˈɛː	ˈa	0.228
ˈɛː	ˈoː	0.188
ˈɛː	r	0.102
ˈɛː	ˈeː	0.089
ˈɛː_ɾ	ˈaː	1.0
ˈɪ	ˈɪ	0.549
ˈɪ	ˈʏ	0.17
ˈɪ	ˈøː	0.083
ˈɪ	ˈiː	0.072
ˈɪ	ˈeː	0.044
ˈʊ	ˈʊ	0.528
ˈʊ	ˈaʊ̯	0.128
ˈʊ	ˈʏ	0.097
ˈʊ	ˈɔ	0.097
ˈʊ	ˈɔʏ̯	0.074
