Standard Serbian	Macedonian	probability
̌_r	ɾ	1.0
̌	-	1.0
̂_o	ɫ	1.0
̂	-	1.0
ʨ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	ɫ	1.0
ʋ_a	v_a	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	k	1.0
ɡ	ɡ	1.0
x_a	v_a	1.0
x	-	1.0
uː_̌	a	1.0
t_eː	t_ɛ	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
o_̂	ɔ	1.0
n_a	n_a	1.0
n	n	1.0
m	m	1.0
l_o	ɫ_o	1.0
k	k	1.0
j	j	1.0
iː	i	1.0
i	i	1.0
eː	ɛ	1.0
e	ɛ	1.0
b	b	1.0
a_t	t	1.0
a_r	a_r	1.0
a_n	ɛ_n	1.0
a_m	u_m	1.0
a_k	o_k	1.0
d	d	0.969
z	z	0.947
ʒ	ʒ	0.826
oː	o	0.816
aː	a	0.781
a	a	0.768
o	o	0.747
t	t	0.681
uː	u	0.579
u	u	0.539
l	l	0.508
l	ɫ	0.492
u	o_ɫ	0.461
t	-	0.319
uː	a	0.273
aː	-	0.219
oː	o_ɫ	0.184
ʒ	ʒ̊	0.174
uː	o_ɫ	0.147
o	ɫ	0.098
o	ɔ	0.096
a	ɔ	0.096
a	ɛ	0.087
o	-	0.059
z	ʣ	0.053
