Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	¹¹	1.0
⁵	²	1.0
⁴⁴	¹¹	1.0
ʨʰ	-	1.0
ʦʰ	ʦʰ	1.0
ɤ	w_ɤ	1.0
ɛ	ɥ	1.0
ɔ̃	ɤ	1.0
ɔ_ŋ	ɒ̃	1.0
ŋ	ŋ	1.0
¹¹	⁴⁵	1.0
³³	⁴⁵	1.0
³²	²	1.0
²⁴	¹¹	1.0
²³	⁴⁵	1.0
²²	⁴⁵	1.0
w̃	ɒ̃	1.0
w_e	i	1.0
w_ã	æ̃	1.0
w	w	1.0
u_j	i	1.0
tʰ	tʰ͡x	1.0
pʰ	-	1.0
l_a	n	1.0
k̚	ʔ	1.0
kʰ_j	ʨʰ	1.0
j̃	a	1.0
j_ɪ	ə	1.0
j_ã	ĩ_ŋ	1.0
ĩ	j_e	1.0
e	a	1.0
b	m	1.0
<#_l	<#_ə	1.0
<#_i	<#_j	1.0
<#_h	<#	1.0
<#	<#_ɣ	1.0
⁵³	⁵³	0.96
⁴	²	0.857
ʔ	ʔ	0.75
n	ŋ	0.75
kʰ	kʰ͡x	0.75
ɕ	s	0.667
l	l	0.667
ʦ	ʦ	0.6
w_a	a	0.6
t̚	ə_ʔ	0.6
m	æ̃	0.6
a_j	a_j	0.6
ŋ̍	ɒ̃	0.556
h	x	0.545
k	ʨ	0.538
ʨ	ʦ	0.5
ʨ	s	0.5
ɪ	ə̃	0.5
ɪ	ə	0.5
ɡ	v	0.5
ɡ	-	0.5
s	ɕ	0.5
s	s	0.5
o	a_w	0.5
j	j	0.462
t	t	0.455
p	p	0.455
ʦ	s	0.4
w_a	ɤ	0.4
t̚	ʔ	0.4
m	ŋ	0.4
a_j	z̩	0.4
j	-	0.385
ɔ	ə	0.375
ɔ	u	0.375
h	f	0.364
ɕ	ɕ	0.333
l	ʐ	0.333
k	k	0.308
i	z̩	0.278
i	ĩ	0.278
t	ʦʰ	0.273
t	ʦ	0.273
p	pʰ͡x	0.273
p	f	0.273
a	ə	0.263
a	ũ	0.263
ʔ	ə_ʔ	0.25
ɔ	ũ	0.25
o	a	0.25
o	-	0.25
n	-	0.25
kʰ	ʨʰ	0.25
u	y	0.235
u	-	0.235
ŋ̍	æ̃	0.222
ŋ̍	-	0.222
a	j	0.211
a	a	0.211
u	ə̃	0.176
u	w	0.176
u	u	0.176
i	ɻ	0.167
i	ə	0.167
k	-	0.154
j	w	0.154
⁴	⁵⁴	0.143
i	-	0.111
h	h	0.091
a	o	0.053
