Eastphalian	Yiddish	probability
b	b	0.859
b	f	0.141
d	t	0.571
d	d	0.419
d	-	0.039
f	f	0.94
f	b	0.057
h	h	1.0
j	ɡ	0.757
j	j	0.231
k	k	0.703
k	χ	0.293
l	l	0.967
m	m	0.769
m	n	0.227
n	n	0.974
p	f	0.768
p	p	0.214
r	ʀ	0.97
r	ʁ	0.045
s	ʃ	0.541
s	z	0.255
s	s	0.187
t	t	0.449
t	s	0.295
t	ʦ	0.252
v	v	0.784
v	b	0.175
v	f	0.049
w	v	1.0
x	χ	0.817
x	ɡ	0.149
z	z	0.927
z	-	0.073
ç	χ	0.481
ç	k	0.377
ç	ɡ	0.125
ŋ	ŋ	0.882
ŋ	n	0.117
ɐ	ə	0.604
ɐ	ʀ	0.321
ɐ	ɛ	0.06
ə	-	0.873
ə	ə	0.075
ə	ɛ	0.056
ɡ	ɡ	1.0
ɣ	ɡ	0.801
ɣ	k	0.142
ɣ	-	0.061
ɪ	ɪ	1.0
ʃ	ʃ	0.834
ʃ	ʧ	0.158
ˈa	ˈa	0.889
ˈa	ˈɔ	0.093
ˈa	ˈɛ	0.04
ˈaʊ̯	ˈʊ	0.856
ˈaʊ̯	ˈa	0.143
ˈaː	ˈɔ	0.699
ˈaː	ˈa	0.165
ˈeo̯	ˈɔɪ̯	1.0
ˈeː	ˈɛ	0.734
ˈeː	ˈɪ	0.17
ˈeː	ˈaɪ̯	0.087
ˈiː	ˈaɪ̯	0.806
ˈiː	ˈɪ	0.186
ˈoː	ˈɔɪ̯	0.307
ˈoː	ˈɔ	0.234
ˈoː	ˈʊ	0.176
ˈoː	ˈi	0.176
ˈuː	ˈɔɪ̯	0.898
ˈuː	ˈʊ	0.099
ˈyː	ˈaɪ̯	1.0
ˈøː	ˈɔɪ̯	0.292
ˈøː	ˈʊ	0.175
ˈøː	ˈɛɪ̯	0.152
ˈœ	ˈɛ	1.0
ˈɒː	ˈɔ	0.678
ˈɒː	ˈa	0.314
ˈɔ	ˈɔ	0.462
ˈɔ	ˈʊ	0.273
ˈɔ	ˈa	0.238
ˈɔʏ̯	ˈɪ	0.786
ˈɔʏ̯	ˈɛ	0.13
ˈɛ	ˈɛ	0.487
ˈɛ	ˈɪ	0.315
ˈɛ	ˈɔ	0.187
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈɛɪ̯	0.432
ˈɛɪ̯	ˈɪ	0.352
ˈɛɪ̯	ˈɛ	0.181
ˈɛɪ̯	ˈaɪ̯	0.047
ˈɛː	ˈɛ	0.511
ˈɛː	ˈɔ	0.406
ˈɛː	ˈɪ	0.08
ˈɪ	ˈɪ	0.773
ˈɪ	ˈaɪ̯	0.1
ˈɪ	ˈɛɪ̯	0.053
ˈɪ	ˈɛ	0.051
ˈɪ	ˈa	0.047
ˈʊ	ˈʊ	0.753
ˈʊ	ˈɔ	0.204
ˈʊ	ˈɔɪ̯	0.05
ˈʏ	ˈɪ	0.588
ˈʏ	ˈaɪ̯	0.349
