Gothic	Old English	probability
θ_u	θ	1.0
θ_a	ð_e	1.0
ˈɛː	ˈɑː	1.0
ˈuː	ˈuː	1.0
ˈi_n	ˈi_n	1.0
ˈa_n	ˈoː	1.0
ʍ	h_w	1.0
ɡʷː	-	1.0
ɡʷ	ɡ	1.0
ɔː	ɑ	1.0
ð_j	dː	1.0
ð	-	1.0
z_ɡ	ʃː	1.0
x	j	1.0
w	w	1.0
s_u	z	1.0
s_k	ʃ	1.0
oː	e	1.0
nː	nː	1.0
n	n	1.0
m	m	1.0
lː	ɫː	1.0
j_a	ɑ	1.0
f	f	1.0
e	e	1.0
d	d	1.0
t	t	0.932
b	b	0.927
u	-	0.914
r	r	0.858
θ	d	0.836
ˈiː	ˈiː	0.812
ˈoː	ˈoː	0.807
ŋ	ŋ	0.797
β	v	0.76
p	p	0.745
a	ɑ	0.725
ˈiu̯	ˈeːo̯	0.711
l	ɫ	0.679
r_n	r_n	0.676
ˈɛ	ˈeo̯	0.639
ˈu	ˈu	0.639
i	-	0.617
iː	e	0.6
ɣ	ɣ	0.584
j	-	0.584
h	h	0.579
k	ʧ	0.557
ˈɔ	ˈo	0.526
ɡ	ɡ	0.525
ˈɔː	ˈæːɑ̯	0.472
ˈi	ˈi	0.465
k	k	0.443
ˈeː	-	0.44
s	r	0.418
ɣ	ʤː	0.416
j	xː	0.416
iː	-	0.4
s	s	0.385
i	e	0.383
ˈɛ	-	0.361
ˈa	ˈɑ	0.336
r_n	rː	0.324
l	l	0.321
ɡ	j	0.316
ˈeː	ˈoː	0.303
ˈɔ	ˈæːɑ̯	0.298
h	-	0.296
ˈiu̯	-	0.289
ˈɔː	ˈo	0.266
ˈeː	ˈæː	0.257
p	pː	0.255
β	bː	0.24
ˈi	-	0.235
ˈa	ˈæɑ̯	0.217
ŋ	-	0.203
ˈɔː	ˈiːy̯	0.198
s	ˈeː	0.198
ˈoː	ˈyː	0.193
ˈiː	-	0.188
ˈɔ	ˈy	0.175
ˈa	ˈæ	0.168
θ	θ	0.164
ˈu	ˈuː	0.161
ˈa	ˈe	0.16
ˈi	ˈe	0.159
ɡ	-	0.159
h	x	0.124
ˈa	-	0.119
ˈu	ˈo	0.104
r	r_ˈeːo̯	0.104
a	-	0.098
ˈu	-	0.097
u	u	0.086
a	o	0.083
a	e	0.083
ˈi	ˈeo̯	0.075
b	f	0.073
t	tː	0.068
ˈɔː	æːɑ̯	0.064
