Nuorese	Ladin	probability
ˈi_ʣ	ˈi	1.0
ʣ_u	j	1.0
ɾ_a	r_a	1.0
ɲ	ɲ	1.0
ɛ_ɾ	e	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ŋ	-	1.0
ŭ	-	1.0
u_z	ˈɛ	1.0
t_u	ʦ	1.0
r	r	1.0
p_ɾ	p_l	1.0
n_ʣ	ɲ	1.0
n	n	1.0
m_ɛ	ŋ_k	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
l	l	1.0
k_ˈa	ʨ_ˈɛ	1.0
j_z	s	1.0
j	-	1.0
i_s	ʃ	1.0
i_k	e	1.0
f	f	1.0
e	e	1.0
ă	-	1.0
a_z	e_s	1.0
a	a	0.943
ɣ	-	0.825
p	p	0.822
d	d	0.819
ˈa_ɾ	ˈe	0.813
ˈe	ˈɛ	0.793
nː	n	0.773
s	s	0.746
ˈa	ˈa	0.712
k_ɛ	ʃ	0.708
ɾ	r	0.685
ˈi	ˈi	0.678
t	t	0.653
k_ɾ	d_l	0.653
k_u	k	0.653
ʦ	-	0.521
ɔ	o	0.52
β	v	0.518
o	-	0.501
o	o	0.499
b	v	0.489
ˈɛ	ˈɛ	0.487
ɔ	e	0.48
ʦ	ʦ	0.479
ɡ	ɡ	0.463
i	-	0.462
ˈu	ˈu	0.458
k	ʨ	0.428
ð	-	0.418
ˈɔ	ˈo	0.411
b	b	0.411
ˈu	ˈo	0.407
ˈo	ˈɔ	0.388
z	-	0.375
ð	d	0.366
ˈɔ	ˈɔ	0.354
k_ɾ	k_l	0.347
k_u	ˈɛ_k	0.347
ɛ	e	0.338
z	ʒ	0.321
z	s	0.304
ˈo	w	0.3
ɡ	-	0.299
k_ɛ	w_ʃ	0.292
ɛ	-	0.277
i	i	0.275
u	e	0.271
u	u	0.263
i	e	0.263
u	-	0.246
k	-	0.239
ˈa	ˈɛ	0.237
ɡ	ʒ	0.237
ɛ	j	0.235
ˈo	ˈo	0.23
nː	-	0.227
k	k	0.222
t	d	0.221
u	n	0.22
ð	t	0.216
ˈi	ˈe	0.197
ˈa_ɾ	ʧ	0.187
β	ˈɛ	0.186
ˈɛ	ˈe_j	0.185
d	t	0.181
ɣ	ʤ	0.175
ˈɛ	ˈe	0.171
ˈɔ	w	0.162
β	ˈɛ_f	0.156
ɛ	ˈe	0.15
β	-	0.14
s	ˈe	0.127
s	ʃ	0.127
t	-	0.126
ˈɛ	j_ˈɛ	0.108
ˈe	j	0.107
ɾ	l	0.107
ˈe	ˈe	0.101
ɾ	e	0.096
p	-	0.096
ˈo	-	0.082
p	w	0.082
ˈu	ˈɔ	0.08
k	ɡ	0.08
ˈi	ˈe_j	0.079
ˈɔ	o	0.073
b	-	0.072
ɾ	-	0.056
ˈu	ˈe	0.054
