Gascon	Gascon	probability
β_ɔ	b_ãː	1.0
ˈɛ_j	ˈa	1.0
ˈu_n	ˈɔ_n	1.0
ˈo	-	1.0
ˈi_w	ˈe	1.0
ˈe_k	ˈɪ_kː	1.0
ʃ	-	1.0
ɡ	ɡ	1.0
z_ˈi	k_ˈiː	1.0
y	i	1.0
w_ˈe	ˈɔ	1.0
t_ˈa	t_ˈaː	1.0
s_ˈe	s_ˈeː	1.0
s_ˈa	s_ˈaː	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
r_k	r_k	1.0
p_ˈa	p_ˈaː	1.0
p_#>	p_ʊ̃ː_#>	1.0
p	p	1.0
mː	p_t	1.0
k_ˈa	k_ˈa	1.0
k_ɔ	k_ãː	1.0
k_#>	k_ʊ̃ː_#>	1.0
j_ˈɛ	ˈɛ_k	1.0
j_ʃ	s_k	1.0
j_t	k_t	1.0
j_r	t_r	1.0
h	f	1.0
f	fː	1.0
b_ˈa	b_ˈa	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_a_r	<#_r	1.0
<#	<#_h	1.0
m	m	0.974
ˈi	ˈiː	0.9
ˈɔ	ˈɔ	0.895
ˈɛ	ˈɛ	0.857
n	n	0.857
ɔ	ãː	0.851
d	d	0.85
<#_e	<#	0.833
r	r	0.8
ʦ	k_ɛ̃ː	0.778
<#_a	<#_a	0.778
l	ɫ	0.743
ɾ	r	0.711
ˈy	ˈuː	0.704
z	s	0.667
a	a	0.65
ð	t	0.643
ɣ	k	0.636
ˈa_w	ˈau̯	0.625
b	w	0.606
ˈa	ˈaː	0.517
ʤ	t	0.5
ʤ	d	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ɛ	0.5
k	kʷ	0.455
ɲ	n_e	0.444
ˈu	ˈʊ	0.441
β	b	0.438
ˈa	ˈa	0.433
s	s	0.433
ŋ	n_ʊ̃ː	0.423
u	ɔ	0.412
ʒ	ɡ	0.4
b	b	0.394
β	p	0.375
ˈa_w	ˈa_ɫ	0.375
t	t	0.371
k	k	0.364
e	ɛ	0.357
ʎ	ɫ	0.353
ʎ	lʲ_i	0.353
ʒ	j	0.333
ɲ	n_i	0.333
z	-	0.333
i	ɛ̃ː	0.333
i	iː	0.333
i	-	0.333
ˈu	ˈoː	0.324
#>	ʊ̃ː_#>	0.32
w	ɫ	0.31
s	k	0.3
ʎ	k_ʊ	0.294
ˈe	ˈɪ	0.286
ð	d	0.286
ˈe	ˈɛ	0.262
j	i	0.25
j	e	0.25
j	d_i	0.25
j	-	0.25
a	aː	0.25
#>	r_ɛ_#>	0.247
w	w	0.241
u	ʊ	0.235
u	oː	0.235
ŋ	n_ɛ̃ː	0.231
t	lʲː_ʊ̃ː	0.229
ˈy	ˈʊ	0.222
ʦ	-	0.222
ɲ	ŋ_n	0.222
<#_a	<#	0.222
e	ɪ	0.214
#>	ɛ̃ː_#>	0.213
r	r_n	0.2
ŋ	ŋ	0.192
β	p_ɛ	0.188
ɣ	ɡ	0.182
ɣ	kʷ	0.182
k	kː	0.182
w	-	0.172
t	tː	0.171
l	lʲ	0.171
ˈe	ˈeː	0.167
<#_e	<#_ae̯	0.167
ŋ	n	0.154
d	ɛ	0.15
n	ŋ_k	0.143
ʒ	ɡ_ɛ	0.133
ʒ	d	0.133
s	sː	0.133
u	-	0.118
ˈɛ	-	0.107
ˈɔ	ˈɔ_r	0.105
ɾ	ɛ_r	0.105
w	w_ɪ	0.103
w	w_ɛ̃ː	0.103
ˈi	ˈi	0.1
a	-	0.1
e	ˈeː	0.095
e	ʊ̃ː	0.095
e	eː	0.095
ˈu	ˈɔ	0.088
ˈu	ˈoː_r	0.088
t	k_t	0.086
t	d_ʊ̃ː	0.086
l	lʲː	0.086
ɾ	-	0.079
ˈy	ˈu	0.074
ˈe	k_ʊ	0.071
ð	tʰ	0.071
e	ɔ_r	0.071
e	r_ɛ̃ː	0.071
w	ˈɔ	0.069
s	p_ʊ	0.067
s	k_i	0.067
ɔ	ɫ_ãː	0.06
ɔ	n_ãː	0.06
ˈu	-	0.059
t	lʲː	0.057
ɾ	ˈɪ	0.053
ɾ	lʲː	0.053
