Latin	Latin	probability
ˈɛ̃ː	ˈi_n	1.0
ˈɛ_n	ˈi_n	1.0
ˈɔ_n	ˈu_n	1.0
ˈyː	ˈu	1.0
ˈuː	ˈu	1.0
ˈiː_r	ˈi_r	1.0
ˈi	-	1.0
ˈe	ˈe	1.0
ˈaː_n	ˈɨ	1.0
ˈau̯	ˈau̯	1.0
ˈae̯	-	1.0
ˈa_p	t_ˈi	1.0
ˈa_k	ˈa_k	1.0
ʊ̃ː	ə	1.0
ʊ_ɫ	kʲ	1.0
ɫ_ʊ̃ː_#>	r_#>	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	e	1.0
ɛ̃	e	1.0
ɛ_k	z	1.0
w_ʊ̃ː	w	1.0
uː	-	1.0
tː	t	1.0
tʰ	t	1.0
t_ˈaː	t_ˈa	1.0
t_ʊ̃ː_#>	t_#>	1.0
t_iː	ʦʲ	1.0
t_i	ʦ	1.0
t_e	ʦ	1.0
s_ˈɛ	ʃ_ˈa	1.0
s_ʊ̃ː_#>	s_#>	1.0
s_ɛ	s_ə	1.0
s_w	b	1.0
s_k	ʃ_t	1.0
s_i	ʃ	1.0
rː	-	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_ãː	r_ə	1.0
p_ʊ̃ː_#>	p_#>	1.0
p_r	p_r	1.0
p	p	1.0
oː_r	r_u	1.0
nː	-	1.0
n_ʊ̃ː_#>	n_#>	1.0
mː	m	1.0
m_ɛ̃ː	m_e	1.0
m	m	1.0
lʲː	l	1.0
lʲ_i	j	1.0
lʲ	-	1.0
kː	k	1.0
k_ʊ̃ː_#>	k_#>	1.0
k_ɪ	ʧ_e	1.0
k_t	p_t	1.0
k_r	k_r	1.0
k_a	k	1.0
j	ʒ	1.0
ĩː	-	1.0
i_ãː	e	1.0
fː	f	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
d_ʊ̃ː_#>	d_#>	1.0
d_i	ʒ	1.0
au̯	-	1.0
<#_ˈɪ	<#_j	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#	<#_s	1.0
r	r	0.949
n	n	0.909
ˈiː	ˈi	0.875
s	s	0.867
ãː	ə	0.865
ʊ̃ː_#>	#>	0.829
ɛ	e	0.82
ˈʊ	ˈu	0.8
t	t	0.788
b	b	0.773
ɛ_r	e_r	0.75
ˈaː	ˈa	0.737
ˈa	ˈa	0.706
ˈɪ	ˈe	0.692
oː	-	0.692
d	d	0.69
sː	s	0.667
iː	-	0.667
s_#>	j_#>	0.625
w	v	0.609
ˈu	ˈu	0.6
ŋ	n	0.6
kʷ	ʧ	0.6
aː	-	0.571
ɫ	l	0.567
ʊ	u	0.556
ˈɔ	ˈo	0.5
#>	w_#>	0.5
#>	e_#>	0.5
ɡ	ɡ	0.48
a	a	0.467
ɔ	u	0.462
ʊ	-	0.444
ɪ	-	0.444
k	ʧ	0.441
ɡ	ʤ	0.44
aː	e	0.429
ˈɔ	o̯ˈa	0.417
ˈu	ˈo	0.4
ˈoː	ˈo	0.4
ˈoː	o̯ˈa	0.4
ˈeː	ˈe	0.4
kʷ	p	0.4
a	ə	0.4
k	k	0.382
s_#>	#>	0.375
i	w	0.375
i	-	0.375
ˈɛ	j_ˈe	0.37
ɪ	i	0.333
sː	ʃ	0.333
iː	nʲ	0.333
ˈɪ	-	0.308
ɔ	o	0.308
oː	u	0.308
ˈaː	ˈɨ	0.263
ˈɛ	ˈe	0.259
i	j	0.25
d	z	0.241
ɔ	-	0.231
ɪ	e	0.222
w	-	0.217
ˈoː	ˈu	0.2
ˈeː	ˈi	0.2
ˈeː	e̯ˈa	0.2
ˈeː	-	0.2
ɫ	r	0.2
ŋ	ŋ	0.2
ŋ	-	0.2
ˈa	ˈɨ	0.176
k	-	0.176
w	j	0.174
ɫ	-	0.167
b	-	0.136
s	ʃ	0.133
a	ˈə	0.133
ˈiː	-	0.125
ɛ_r	ə_r	0.125
ɛ_r	r	0.125
t	ʦ	0.121
ˈa	-	0.118
ʊ̃ː_#>	u_#>	0.114
ˈɛ	ˈa	0.111
ˈɛ	e̯ˈa	0.111
ˈʊ	ˈo	0.1
ˈʊ	o̯ˈa	0.1
ɛ	-	0.1
ãː	e	0.096
t	-	0.091
n	-	0.091
b	r	0.091
ˈɔ	ˈu	0.083
ɡ	-	0.08
ˈɛ	ˈɨ	0.074
ˈɛ	j_ˈa	0.074
d	-	0.069
ɫ	ˈe	0.067
ʊ̃ː_#>	r_#>	0.057
r	-	0.051
