Sassarese	Sassarese	probability
β	β	1.0
ˈɔ_ɬ	ˈɔ_ɾ	1.0
ˈu	ˈu	1.0
ˈa_ɬ	z_ˈa	1.0
ˈa_ɡ	ˈa_k	1.0
ˈa_mː	ˈa_m	1.0
ˈa	ˈa	1.0
ʧː	k_ɾ	1.0
ʧ	k_ɾ	1.0
ʦː_u	t_u	1.0
ʦ_i	k_ɛ	1.0
ʤː	ɣ	1.0
ʤ	ɡ	1.0
ʣ	z	1.0
ʒ	-	1.0
ʎː	ʣ	1.0
ɮ	ɾ	1.0
ɬ	s	1.0
ɡː	k	1.0
ɔ	ɔ	1.0
ŋ	m	1.0
z	z	1.0
x	s_k	1.0
w_ˈa	ˈa	1.0
v	b	1.0
u_r	ɔ_l	1.0
u_#>	#>	1.0
tː	t	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_ˈɔ	ɾ_ˈu	1.0
r_ˈa	ɾ_ˈa	1.0
r_a	ɾ_a	1.0
pː	s_p	1.0
p_j	p_ɾ	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_u	n_u	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
j_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
a_n	a_n	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
a	a	0.91
b	b	0.909
n	n	0.897
k	k	0.889
ʦ	k	0.818
u	u	0.787
ˈi	ˈi	0.718
ˈɛ	ˈɛ	0.645
a_r	ɾ	0.571
ˈɔ	ˈɔ	0.516
ʦː	ʦ	0.5
ʦː	-	0.5
ʃː	s_k	0.5
ʃː	s	0.5
ɲː	ŋ_ɡ	0.5
ɲː	n_ʣ	0.5
ɡ	ɡ	0.5
xː	ɾ_k	0.5
xː	s_k	0.5
i	ɛ	0.5
bː	p	0.5
bː	-	0.5
<#_r	<#_ɾ	0.5
<#_r	<#_r	0.5
d	d	0.481
#>	ɾ_ɛ_#>	0.475
j	ɾ	0.471
ˈe	ˈe	0.467
r	ɾ	0.462
dː	t	0.45
a_r	ɛ_ɾ	0.429
j	j	0.412
ˈɔ	ˈo	0.387
r	l	0.385
ˈo	ˈɔ	0.37
dː	ɖː	0.35
ˈo	ˈo	0.333
d	ð	0.333
#>	ɛ_#>	0.325
ˈo	ˈu	0.296
ˈɛ	ˈe	0.29
ˈe	ˈɛ	0.267
ɡ	ɣ	0.25
ɡ	-	0.25
i	i	0.237
ˈi	ɛ_ɾ	0.205
ʦ	-	0.182
ˈe	ˈi	0.167
#>	ɔ̆_#>	0.15
j	-	0.118
k	-	0.111
d	-	0.111
n	nː	0.103
ˈe	ɛ	0.1
dː	l	0.1
dː	-	0.1
ˈɔ	ˈu	0.097
b	-	0.091
ˈi	i	0.077
d	ɾ	0.074
i	ɔ_z	0.066
ˈɛ	ˈi	0.065
i	e	0.053
i	a	0.053
i	-	0.053
r	ɾ_ˈi	0.051
r	ɛ_ɾ	0.051
r	r	0.051
