Sassarese	Sassarese	probability
β_i	w	1.0
ˈu_n	ˈu	1.0
ˈo_r	ˈɔ_l	1.0
ˈo_n	ˈo	1.0
ˈi_u	ˈi_w	1.0
ˈi_n_u_#>	ˈi_#>	1.0
ˈi_n_i_#>	ˈi_#>	1.0
ˈi_#>	ə_#>	1.0
ˈe_tː	ˈi_t	1.0
ˈe_r	ˈɛ_l	1.0
ˈa_n_i_#>	ˈa_#>	1.0
ˈa_i	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦː_u	w	1.0
ʦ_i	w	1.0
ʤ	ʒ	1.0
ʣ	ʧ	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	ʃ	1.0
ɮ	-	1.0
ɡː	k	1.0
ɔ	ˈo	1.0
ŋ_ɡ	ŋ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z_u	s	1.0
z	z	1.0
xː	k	1.0
x	s_k	1.0
w	w	1.0
v	b	1.0
u_r	ʎ	1.0
u_#>	#>	1.0
t_a	t_ə	1.0
t	t	1.0
sː	s	1.0
rː_u	r_n	1.0
rː	r	1.0
r_u	ɾ_ə	1.0
r_i_#>	#>	1.0
pː	s_p	1.0
p_u	s	1.0
o	u	1.0
nː	n	1.0
n_t_u_#>	n_#>	1.0
n_t_i_#>	n_#>	1.0
n_a	n_ə	1.0
m_u	m_u	1.0
m	m	1.0
lː	-	1.0
l	ʎ	1.0
kː	k	1.0
k	k	1.0
i_ɡː	ə_ɣ	1.0
i_d	w_ɾ	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː_u_#>	ʎ_#>	1.0
bː	β	1.0
a_r	ɾ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʦ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#_ə	1.0
a	ə	0.953
ˈa	ˈa	0.938
p	p	0.909
ˈi	ˈi	0.875
b	b	0.818
mː	m	0.778
ɡ	ɣ	0.75
ˈu	ˈu	0.722
<#_ˈa	<#_ˈa	0.714
ɲː	ɲ	0.7
tː	t	0.7
ʦ	-	0.667
β	β	0.636
ˈɔ	ˈɔ	0.634
ʦː	l_s	0.6
r_u_#>	l_#>	0.6
#>	ə_#>	0.6
ˈɛ	ˈe	0.586
d	d	0.583
ˈo	ˈo	0.579
n	n	0.562
r	ɾ	0.514
ʤː	ʒ	0.5
ʤː	-	0.5
ɬ	s	0.5
j	-	0.5
ˈe	ˈe	0.478
u	u	0.458
n	-	0.438
dː	ð	0.438
dː	t	0.438
ˈe	ˈɛ	0.435
d	-	0.417
ˈɛ	ˈɛ	0.414
ʦː	s	0.4
r_u_#>	#>	0.4
#>	s_#>	0.4
β	w	0.364
i	ə	0.355
ʦ	s_i	0.333
ɬ	l	0.333
j	l	0.333
ɲː	-	0.3
tː	j_t	0.3
<#_ˈa	<#_ə	0.286
ɡ	ɡ	0.25
mː	m_b	0.222
r	l	0.216
ˈo	ˈɔ	0.211
ˈo	ˈu	0.211
u	ə	0.208
ˈɔ	ˈo	0.171
ˈu	ˈo	0.167
ɬ	r	0.167
u	-	0.167
r	r	0.162
i	i	0.129
ˈi	-	0.125
dː	ʎ	0.125
ˈu	ˈo_s	0.111
i	ə_s	0.097
i	w	0.097
p	β	0.091
b	β	0.091
b	-	0.091
ˈe	ˈi	0.087
u	ʎ	0.083
u	w	0.083
j	z	0.083
j	r	0.083
ˈɔ	ˈu	0.073
ˈɔ	-	0.073
i	ˈi	0.065
i	s	0.065
i	r	0.065
i	l	0.065
i	-	0.065
ˈa	ˈe	0.062
r	ɾ_ˈɛ	0.054
r	u	0.054
