Belarusian	Upper Sorbian	probability
ˈɵ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_#>	ɔ_#>	1.0
ʧ	ʧ	1.0
ʦʲ	ʧ	1.0
ʦ	ʦ	1.0
ʣʲ	ʤ	1.0
ʐ	ʒ	1.0
ʂ	ʃ	1.0
ɣ	ɦ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	xʲ	1.0
x	x	1.0
w	w	1.0
vʲ	ɥ	1.0
v	β	1.0
u	ˈu	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
e	ɛ	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
a_ʦʲ	x_ʧ	1.0
ɨ	ɪ	0.857
ɫ	w	0.846
ˈa	a	0.688
ˈi	ˈi	0.667
ˈe	ˈe	0.667
r	ʀ	0.667
i	i	0.667
ˈo	ˈɔ	0.536
ˈɨ	ˈɪ	0.5
ˈæ	ˈɛ	0.5
ˈæ	ˈa	0.5
ʌ_ɫ	w	0.5
ʌ_ɫ	l	0.5
æ	ˈɛ	0.444
a	ɔ	0.389
ˈi	i	0.333
æ	ˈa	0.333
i	-	0.333
ˈo	ˈo	0.321
ˈa	ˈa	0.312
r	ʀʲ	0.259
ˈɨ	ˈi	0.25
ˈɨ	ɪ	0.25
a	ˈɔ	0.25
æ	ˈe	0.222
ˈe	ˈɛ	0.167
ˈe	e	0.167
ɫ	d_w	0.154
ɨ	ˈi	0.143
a	a	0.139
a	-	0.111
r	ʃ	0.074
ˈo	ˈɛ	0.071
ˈo	ˈe	0.071
a	ˈo	0.056
a	ˈa	0.056
