English	East Franconian	probability
θ_ˈɪ	d̥_ˈɪ	1.0
θ	d̥	1.0
ˈɪ_ə	ɐ	1.0
ˈɛ	-	1.0
ˈiː_n	eː	1.0
ʤ	ɡ̊_n	1.0
ʃ	ʃ	1.0
ɹ_ˈe	r	1.0
ɹ	r	1.0
ɡ_ə	ɐ	1.0
ɡ	ɡ̊	1.0
ɜː	r_ˈaɪ̯	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
z	z̥	1.0
tʰ	ʦ	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
pʰ	b̥͡v̥	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	ɡ̊_s	1.0
h	h	1.0
f	f	1.0
d_ˈe	d̥_ˈuː	1.0
d_ə	ɐ	1.0
b	b̥	1.0
w	v	0.914
ɫ	l	0.885
d	d̥	0.881
ə	ɐ	0.858
n	n	0.831
s	s	0.754
ð	ɾ	0.701
ˈuː	-	0.7
ˈæ	ˈɒ	0.686
ˈaʊ̯	ˈaʊ̯	0.681
ɪ	-	0.673
ˈɐ	ˈʊ	0.63
ˈɪ	ˈɪ	0.602
ˈɜː	ɐ	0.588
ʧ	kʰ	0.562
ˈaɪ̯	ˈaɪ̯	0.544
p	v̥	0.53
j	-	0.508
ˈəʊ̯	ˈaː	0.506
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈe	ˈɛ	0.5
j	j	0.492
k	ɡ̊	0.485
ˈɔː	ˈɔ_ɐ	0.474
p	f	0.47
ʧ	ç	0.438
v	m	0.425
ˈɜː	ˈɔ_ɐ	0.412
ˈɔː	ɐ	0.391
ˈɒ	ˈɔ	0.383
ˈiː	ˈiː	0.365
ˈɒ	ˈɒ	0.361
t	s	0.352
ɪ	ɪ	0.327
ˈeɪ̯	ˈoː	0.316
ˈæ	-	0.314
ˈɑː	ˈoː	0.302
v	β	0.302
ˈuː	ˈuː	0.3
ð	-	0.299
k	x	0.297
v	f	0.273
ˈɒ	-	0.255
ˈeɪ̯	-	0.235
ˈiː	ˈaː	0.225
ˈeɪ̯	ˈoː_ŋ	0.223
ˈaɪ̯	ˈɪ	0.219
k	ŋ	0.218
s	ʃ	0.212
ˈɑː	ˈɒ_l	0.202
ˈɑː	ˈɒ	0.202
ˈɑː	ˈɛ_ɐ	0.198
ˈəʊ̯	ˈiː	0.191
ˈəʊ̯	-	0.185
n	n_a	0.169
ˈe	ˈeː	0.168
ˈaʊ̯	ˈuː_ɣ̊	0.16
ˈaʊ̯	ˈuː	0.158
t	z̥	0.151
ˈɪ	ˈiː	0.148
ˈɐ	ˈuː	0.147
t	ʦ	0.147
ə	-	0.142
ˈiː	ˈoː	0.136
t	d̥	0.135
ˈɔː	ˈɒ	0.134
ˈiː	-	0.127
ˈe	ˈaː	0.127
ˈe	ˈɒ	0.125
ˈəʊ̯	ˈɒ	0.119
ˈɐ	ˈaʊ̯	0.116
ˈɪ	ˈeː	0.115
ɫ	l_n	0.115
ˈeɪ̯	ˈɒː	0.113
ˈeɪ̯	ɣ	0.113
ˈɐ	-	0.108
ˈaɪ̯	ˈiː_ŋ	0.106
t	ç_d̥	0.103
ˈɑː	ˈa	0.097
ˈiː	ˈɛː	0.093
w	-	0.086
ˈɪ	-	0.083
ˈe	ˈuː	0.081
ˈaɪ̯	ˈiː	0.073
d	d̥_n	0.065
ˈaɪ̯	ˈɒ_x	0.058
t	x_d̥	0.058
ˈiː	ˈaɪ̯	0.054
t	ʦ_n	0.054
ˈɪ	ˈaɪ̯	0.053
d	-	0.053
