Cantonese	Cantonese	probability
⁵⁵	⁴²	1.0
⁵	⁵	1.0
ʦ	ʦ	1.0
ʊ	u	1.0
ʃ	ɕ_ɥ	1.0
ɵ_ɥ	y	1.0
ɪ_ŋ	i_n	1.0
ɛː	a	1.0
ɔː_j	a_j	1.0
ɐ_j	i	1.0
œː	ɔ	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
¹³	²¹³	1.0
³⁵	²¹³	1.0
³	⁵	1.0
²²	¹¹	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
o_w	u	1.0
o	a	1.0
l	l	1.0
kʷ	k	1.0
kʰ	ʨʰ	1.0
e_j	i	1.0
e	-	1.0
aː_m	a_n	1.0
<#_m_ɐ	<#_u	1.0
<#_j_ɐ	<#_i	1.0
<#_j_iː	<#_ɵ	1.0
<#_j	<#	1.0
<#_h	<#	1.0
w	w	0.909
aː	a	0.857
f	f	0.818
n	n	0.786
s	s	0.765
ʦʰ	ʦʰ	0.75
ʧʰ	ʦʰ	0.667
³³	²¹³	0.667
m	m	0.667
k̚	ʔ	0.667
iː	ɛ	0.643
²¹	³⁵	0.629
j	j	0.615
ɵ	-	0.6
²	⁵	0.6
uː	-	0.6
t	tʰ	0.6
h	h	0.6
<#	<#_ŋ	0.6
k	ʨ	0.556
yː	ɵ	0.5
ɔː	ɔ	0.471
k	k	0.444
ɵ	u	0.4
²	²	0.4
uː	u	0.4
t	t	0.4
h	kʰ	0.4
<#	<#_nʲ	0.4
²¹	²⁴	0.371
iː	z̩	0.357
ɐ	ɛ	0.35
ɐ	i	0.35
ʧʰ	ʨʰ_ɥ	0.333
³³	³⁵	0.333
m	n	0.333
ɔː	o	0.294
ʦʰ	ʨʰ	0.25
yː	ɥ_ɵ	0.25
yː	y	0.25
s	ɕ	0.235
j	nʲ	0.231
ɐ	ɨ	0.2
k̚	ɛ_t̚	0.2
f	kʰ	0.182
j	-	0.154
aː	w_a	0.143
k̚	t̚	0.133
ɔː	ɵ	0.118
ɔː	w	0.118
ɐ	-	0.1
w	-	0.091
n	ɵ_n	0.071
n	nʲ	0.071
n	l	0.071
