Galician	Galician	probability
θ_ˈi	k_ɪ	1.0
θ_ˈe	k_ɛ	1.0
β_ɪ	w_ɛ̃ː	1.0
ˈɛ	ˈɛ	1.0
ˈo_ð	ˈoː_t	1.0
ˈo_w	ˈau̯	1.0
ˈo_j	ˈuː_k	1.0
ˈe_ŋ	ˈɛ̃ː	1.0
ˈe_k	ˈɪ_kː	1.0
ˈa_β	ˈa_p	1.0
ˈa_ʃ	ˈa_sː	1.0
ˈa_ɣ	ˈa_k	1.0
ʃ_e	ɡ_ɛ	1.0
ɾ_ɐ	r_ãː	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_m	r_m	1.0
ɾ_k	r_k	1.0
ɣ_ʊ	k_ʊ̃ː	1.0
ɔ	ɔ	1.0
ɑ	a	1.0
s_ʊ	sː_ʊ̃ː	1.0
s_#>	s_#>	1.0
p	p	1.0
k_ˈa	k_ˈa	1.0
k_w	kʷ	1.0
i_m	ĩː	1.0
f	f	1.0
e_ɾ	oː_r	1.0
d	d	1.0
<#_θ	<#	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_a	<#_a	1.0
m	m	0.975
s	s	0.917
ɾ	r	0.866
ʊ	ʊ̃ː	0.825
<#_l	<#_ɫ	0.81
ɾ_ʊ	r_ʊ̃ː	0.8
ɪ	ɛ̃ː	0.8
t	t	0.795
ɐ	ãː	0.793
θ	k	0.76
ˈi	ˈiː	0.757
w	-	0.75
ˈu	ˈuː	0.739
ð	t	0.739
ˈɔ	ˈɔ	0.714
n	n	0.697
ɣ	k	0.692
ˈe_j	ˈɛ_k	0.667
ɡ	ɡ	0.667
r	r	0.667
<#	<#_h	0.625
#>	ɛ_#>	0.615
b	w	0.571
ɲ	n	0.562
a	a	0.56
ˈɑ	ˈaː	0.545
ˈa	ˈaː	0.527
e	-	0.517
ʧ	p_ɫ	0.5
ɪ_#>	r_#>	0.5
ɪ_#>	#>	0.5
u	ʊ	0.5
u	-	0.5
k	k	0.5
i	-	0.5
l	lʲː	0.484
ˈɑ	ˈa	0.455
o	ɔ	0.45
b	b	0.429
ˈa	ˈa	0.4
ɟ	k_ʊ	0.4
l	ɫ	0.387
ˈo	ˈʊ	0.386
<#	<#_ɡ	0.375
β	b	0.357
j	i	0.353
o	oː	0.35
ˈe_j	k	0.333
ɡ	-	0.333
ɟ	lʲ_i	0.333
r	rː	0.333
k	kʷ	0.333
ŋ	ŋ	0.318
ŋ	n_ʊ̃ː	0.318
ʃ	ɡ	0.308
#>	ɛ̃ː_#>	0.308
i	iː	0.3
j	-	0.294
ˈe	ˈɪ	0.28
ŋ	n_ɛ̃ː	0.273
ɟ	ʊ_ɫ	0.267
ˈu	ˈʊ	0.261
ˈo	ˈɔ	0.25
ʧ	k_ɫ	0.25
ʧ	f_ɫ	0.25
ɲ	n_i	0.25
w	kʷ	0.25
a	aː	0.24
ʃ	j	0.231
ˈo	ˈoː	0.227
ˈe	ˈɛ	0.22
ˈe	ˈeː	0.22
β	w	0.214
β	p	0.214
e	ɪ	0.207
e	ɛ	0.207
ɾ_ʊ	ʊ̃ː	0.2
o	-	0.2
i	ɛ	0.2
<#_l	<#_lʲ	0.19
ɲ	n_e	0.188
ˈɔ	ˈoː	0.179
k	kː	0.167
θ	t_i	0.16
ʃ	sː	0.154
ʃ	s	0.154
ʃ	d_i	0.154
ɣ	ɡ	0.154
ɣ	-	0.154
n	ŋ	0.152
ð	d	0.13
a	ˈa	0.12
j	ɫ	0.118
j	ɛ̃ː	0.118
j	k	0.118
β	p_ɛ	0.107
β	-	0.107
ˈɔ	-	0.107
t	tː	0.103
t	k_t	0.103
ɪ	ɛ̃	0.1
ˈo	ˈɔ_n	0.091
ŋ	n	0.091
n	nː	0.091
ð	ɪ_t	0.087
ɐ	ɫ_ãː	0.085
s	s_ɛ	0.083
ˈi	ˈɪ	0.081
ˈi	ˈi	0.081
θ	t	0.08
ˈe	r	0.08
a	ãː	0.08
e	eː	0.069
ɪ	ʊ̃ː	0.067
l	ʊ_ɫ	0.065
l	-	0.065
ʊ	ɫ_ʊ̃ː	0.062
ʊ	oː	0.062
ɾ	ɛ	0.061
n	-	0.061
ˈe	ˈeː_n	0.06
ˈe	ɛ	0.06
ˈi	ˈiː_w	0.054
