Megleno-Romanian	Megleno-Romanian	probability
ˈu_k	ˈu	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʎ_u_#>	j_#>	1.0
ʃ	s	1.0
ɲ	m	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ	v_ˈẽ	1.0
v	v	1.0
n_t	ŋ	1.0
j_n	ŋ	1.0
e	-	1.0
b	b	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_w	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
ə	ɔ	0.821
s	s	0.812
k	k	0.792
ˈɔ	ˈã	0.75
m	m	0.75
j	-	0.75
ʦ	s	0.727
e̯ˈa	ˈe	0.714
ˈa	ˈa	0.68
i	-	0.676
l	l	0.667
f	f	0.667
o̯ˈa	w_ˈe	0.6
n	ŋ	0.56
d	d	0.556
ˈu	ˈu	0.5
ˈi	ˈẽ	0.5
ʎ	l	0.5
z	ʤ	0.5
z	-	0.5
#>	ɔ_#>	0.5
p	-	0.476
ˈe	ˈe	0.467
t	t	0.458
w	w	0.444
d	-	0.444
p	p	0.429
t	-	0.417
ˈe	ˈɛ	0.4
o̯ˈa	ˈu	0.4
ˈo	w_ˈe	0.375
ˈi	ˈi	0.375
u	e	0.375
u	-	0.375
r	ɾ	0.361
w	-	0.333
r	ʀ	0.333
l	w	0.333
f	f_ɥ	0.333
#>	e_#>	0.333
n	n	0.32
ʎ	j	0.3
e̯ˈa	-	0.286
ʦ	t	0.273
i	e	0.265
ˈɔ	ˈa	0.25
ˈo	ˈu	0.25
ˈo	ˈe	0.25
u	w	0.25
j	ˈe	0.25
ˈa	ˈɛ	0.24
w	ɥ	0.222
k	-	0.208
ʎ	-	0.2
s	e_s	0.188
#>	k_#>	0.167
r	-	0.139
ˈe	ˈa	0.133
ˈu	ˈỹ	0.125
ˈu	ˈy	0.125
ˈu	ˈũ	0.125
ˈu	w_ˈẽ	0.125
ˈo	ˈɔ	0.125
ˈi	ˈĩ	0.125
t	j_ɾ	0.125
m	ɲ	0.125
m	mː	0.125
n	-	0.12
r	w	0.111
ə	e	0.107
p	b	0.095
ˈa	ˈã	0.08
ə	l_ɔ	0.071
i	i	0.059
r	ˈe	0.056
