Swabian	Luxembourgish	probability
a	ə	0.814
a	-	0.154
b	b	0.696
b	-	0.102
b	v	0.093
b̥	p	1.0
b̥͡f	p	1.0
d	t	0.529
d	d	0.374
d	-	0.078
f	f	0.986
h	h	0.92
h	-	0.08
i	e	1.0
j	j	1.0
k	-	1.0
kʰ	kʰ	1.0
l	l	0.976
m	m	0.879
m	-	0.096
n	n	0.896
n	-	0.064
p͡f	p	1.0
s	s	0.63
s	z	0.314
s	t	0.056
t	t	1.0
x	ɕ	0.556
x	χ	0.433
ç	ɕ	1.0
ŋ	ŋ	1.0
ɐ	ə	1.0
ə	-	1.0
ɡ	ɡ	0.366
ɡ	-	0.307
ɡ	k	0.196
ɡ	ɕ	0.069
ɪ	ə	1.0
ʁ	ʀ	0.989
ʃ	ʃ	0.969
ʋ	v	0.651
ʋ	w	0.284
ʋ	-	0.065
ʌ	ɐ	1.0
ʕ	-	0.913
ʕ	ʀ	0.087
ʦ	ʦ	1.0
ˈa	ˈaː	0.586
ˈa	ˈɑ	0.345
ˈae̯	ˈə	0.278
ˈae̯	ˈɑɪ̯	0.248
ˈae̯	ˈeː	0.226
ˈae̯	ˈe	0.152
ˈae̯	ˈæːɪ̯	0.067
ˈao̯	ˈæːʊ̯	0.515
ˈao̯	ˈaː	0.289
ˈao̯	ˈɔ	0.066
ˈao̯	ˈɑ	0.065
ˈao̯	ˈəɪ̯	0.065
ˈaː	ˈaː	0.495
ˈaː	ˈɑ_n	0.196
ˈaː	ˈuə̯	0.13
ˈaː	ˈæ	0.091
ˈaː	ˈoː	0.088
ˈe	ˈɑ	0.787
ˈe	ˈiə̯	0.092
ˈe	ˈɛː	0.062
ˈe	ˈɛ	0.059
ˈeə̯	ˈe	0.659
ˈeə̯	ˈiə̯	0.341
ˈeː	ˈəɪ̯	0.387
ˈeː	ˈi	0.229
ˈeː	ə	0.167
ˈeː	ˈeː	0.132
ˈeː	ˈɑ	0.086
ˈi	ˈə	0.646
ˈi	ˈɑɪ̯	0.119
ˈi	ˈiː	0.112
ˈi	ɐ	0.074
ˈiə̯	ˈəɪ̯	1.0
ˈiː	ə	0.38
ˈiː	ˈi	0.374
ˈiː	ˈiː	0.128
ˈiː	ɐ	0.118
ˈo	ˈo	0.559
ˈo	ˈəʊ̯	0.135
ˈo	ˈʊ	0.128
ˈo	ˈɔ	0.092
ˈo	ˈuː	0.051
ˈoː	ˈəʊ̯	0.472
ˈoː	ˈu	0.194
ˈoː	ˈaː	0.154
ˈoː	ˈoː	0.108
ˈoː	ˈuə̯	0.072
ˈu	ˈe	0.598
ˈu	ˈo	0.209
ˈu	ˈuː	0.193
ˈuə̯	ˈʊ	0.599
ˈuə̯	ˈəʊ̯	0.233
ˈuə̯	ˈu	0.167
ˈuː	ˈu	1.0
ˈɔ	ˈaː	0.628
ˈɔ	ˈo	0.15
ˈɔ	ˈiː	0.084
ˈɔ	ˈʊɪ̯	0.084
ˈɔ	ˈɑ	0.054
ˈɔe̯	ˈeː	0.635
ˈɔe̯	ˈeː_n	0.365
ˈɔə̯	ˈu	1.0
ˈɔː	ˈoː	0.619
ˈɔː	ˈu	0.181
ˈɔː	ˈɑ	0.155
ˈəi̯	ˈæːɪ̯	0.474
ˈəi̯	ˈɑɪ̯	0.298
ˈəi̯	ˈæɪ̯	0.14
ˈəi̯	ˈiː	0.088
ˈɛ	ˈæ	0.255
ˈɛ	ˈə	0.175
ˈɛ	ˈiə̯	0.169
ˈɛ	ˈɛː	0.142
ˈɛ	ˈɑ	0.093
ˈɛ	ˈeː	0.064
ˈɛ	ˈɛ	0.055
ˈɛː	ˈiə̯	0.285
ˈɛː	ˈəɪ̯	0.223
ˈɛː	ˈeː	0.164
ˈɛː	ˈi	0.164
ˈɛː	ˈiː	0.164
ˈɪ	ˈɑ	0.56
ˈɪ	ˈe	0.369
ˈɪ	ˈə	0.071
ˈʌ	ˈiː_ɐ	1.0
