Upper Sorbian	Bulgarian	probability
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
i	ˈi	1.0
kʲ	ɐ_k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
w	ɫ	1.0
xʲ	x	1.0
z	z	1.0
ɲ	n	1.0
ʀ	r	1.0
ʀʲ	r	1.0
ʒ	ʒ	1.0
ʤ	d	1.0
ʦ	ʦ	1.0
ˈɪ	ˈi	1.0
k	ʦ	0.061
ɥ	v	0.81
ɦ	-	0.121
ˈe	ˈɛ	0.21
ˈo	ˈɔ	0.771
ˈɔ	ˈɛ	0.071
ɔ	ˈɔ	0.352
ˈɛ	ɛ	0.492
l	l	0.363
x	k	0.263
ɛ	ˈɛ	0.433
ʧ	ʧ	0.073
ˈa	ˈa	0.703
ˈu	ˈɤ	0.773
a	ˈa	0.554
mʲ	m	0.704
s	s_ɐ	0.054
ʃ	ʃ	0.354
β	f	0.084
t	t_ɐ	0.055
ˈe	ɛ	0.055
ˈi	i	0.245
ˈi	ˈi	0.755
a	ɐ	0.446
mʲ	mʲ	0.296
s	s	0.946
t	t	0.906
ɔ	ɛ	0.126
ʃ	-	0.646
ˈe	ˈa	0.456
ˈɔ	ˈa	0.076
β	v	0.916
x	x	0.577
ɛ	ɛ	0.567
ˈa	ɛ	0.297
ˈu	ˈu	0.227
ˈɔ	ˈɤ	0.217
l	ɫ	0.278
ʧ	t	0.778
ˈe	ˈɤ	0.278
ˈɔ	ɛ	0.198
ˈɔ	o	0.238
ˈɛ	ˈɛ	0.508
k	k	0.939
l	lʲ	0.359
x	k_ɐ	0.159
ɔ	ˈɛ	0.059
ɔ	o	0.419
ɥ	vʲ	0.19
ɦ	ɡ	0.879
ʧ	j	0.149
ˈo	ˈa	0.229
ˈɔ	ˈɔ	0.199
