Belarusian	Kashubian	probability
b	b	1.0
d	d	1.0
e	e	1.0
j	j	1.0
k	k	1.0
kʲ	ʧ	1.0
lʲ	l	1.0
m	m	1.0
n	n	1.0
nʲ	ɲ	1.0
p	p	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
v	v	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɡ	1.0
ɨ	i	1.0
ɫ	w	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʣʲ	ʣ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ˈõ	1.0
ˈɛ	ˈɛ	1.0
ˈɨ	ˈə	1.0
ˈɵ	ˈɛ	1.0
a	ˈɞ	0.071
a	ɛ	0.081
æ	ˈa_ŋ	0.631
ˈa	ˈa	0.151
ˈi	-	0.191
ˈo	ˈɛ	0.101
ˈo	ˈɞ	0.171
a	u̯ɛ	0.12
a	ˈɔ	0.122
vʲ	v_j	0.362
ˈe	ˈɛ	0.32
a	-	0.073
x	x	0.543
ˈe	ˈa	0.203
ˈe	ˈe	0.403
i	i	0.804
mʲ	m	0.324
w	f	0.14
ˈa	a	0.794
ˈæ	j	0.274
a	a	0.125
pʲ	p_j	0.085
pʲ	p	0.915
r	ʐ	0.15
r	r	0.685
ˈe	j	0.075
ˈo	u̯ˈɛ	0.275
a	u̯ˈɛ	0.146
i	-	0.196
mʲ	m_j	0.676
w	w	0.86
ˈo	-	0.126
ˈo	ˈu	0.16
ˈo	ˈɔ	0.166
ˈæ	j_ˈa	0.726
a	ɔ	0.227
x	k	0.457
vʲ	v	0.638
r	-	0.129
æ	j_ˈɞ	0.369
ˈi	ˈi	0.809
